Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
HARSHIT RANA,2022-04-28,1,24,8.0,0.0,0.0,0.0,0.0,0.0,0.0,25
HARSHIT RANA,2022-05-07,0,27,13.5,1.0,24.0,8.0,1.0,24.0,8.0,0
HARSHIT RANA,2023-04-29,1,25,8.33,0.5,25.5,10.75,0.5,25.5,10.75,25
HARSHIT RANA,2023-05-04,1,27,6.75,0.67,25.33,9.94,0.67,25.33,9.94,27
HARSHIT RANA,2023-05-08,2,33,11.0,0.75,25.75,9.14,0.75,25.75,9.14,50
HARSHIT RANA,2023-05-11,0,22,11.0,1.0,27.2,9.52,1.0,28.0,9.9,0
HARSHIT RANA,2023-05-14,0,19,9.5,0.83,26.33,9.76,1.0,26.75,9.27,0
HARSHIT RANA,2023-05-20,1,21,7.0,0.71,25.29,9.73,0.75,25.25,9.56,25
HARSHIT RANA,2024-03-23,3,33,8.25,0.75,24.75,9.38,0.75,23.75,9.62,75
HARSHIT RANA,2024-03-29,2,39,9.75,1.0,25.67,9.26,1.0,23.75,8.94,50
HARSHIT RANA,2024-04-14,0,35,8.75,1.1,27.0,9.31,1.5,28.0,8.62,0
HARSHIT RANA,2024-04-16,2,45,11.25,1.0,27.73,9.26,1.5,32.0,8.44,50
HARSHIT RANA,2024-04-21,2,33,8.25,1.08,29.17,9.42,1.75,38.0,9.5,50
HARSHIT RANA,2024-04-26,0,61,15.25,1.15,29.46,9.33,1.5,38.0,9.5,0
HARSHIT RANA,2024-04-29,2,28,7.0,1.07,31.71,9.76,1.0,43.5,10.88,50
HARSHIT RANA,2024-05-05,3,24,7.74,1.13,31.47,9.57,1.5,41.75,10.44,75
HARSHIT RANA,2024-05-11,2,34,11.33,1.25,31.0,9.46,1.75,36.5,9.56,50
HARSHIT RANA,2024-05-21,1,27,6.75,1.29,31.18,9.57,1.75,36.75,10.33,27
HARSHIT RANA,2024-05-26,2,24,6.0,1.28,30.94,9.41,2.0,28.25,8.2,52
HARSHIT RANA,2025-03-22,0,32,10.67,1.32,30.58,9.23,2.0,27.25,7.96,0
HARSHIT RANA,2025-03-26,2,36,9.0,1.25,30.65,9.3,1.25,29.25,8.69,50
HARSHIT RANA,2025-03-31,0,28,14.0,1.29,30.9,9.29,1.25,29.75,8.1,0
HARSHIT RANA,2025-04-03,1,15,5.0,1.23,30.77,9.5,1.0,30.0,9.92,29
HARSHIT RANA,2025-04-08,2,51,12.75,1.22,30.09,9.31,0.75,27.75,9.67,50
HARSHIT RANA,2025-04-11,2,16,4.0,1.25,30.96,9.45,1.25,32.5,10.19,56
HARSHIT RANA,2025-04-15,3,25,8.33,1.28,30.36,9.23,1.25,27.5,8.94,75
HARSHIT RANA,2025-04-21,1,45,11.25,1.35,30.15,9.2,2.0,26.75,7.52,25
