Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
ISHANT SHARMA,2008-04-18,1,7,2.33,0.0,0.0,0.0,0.0,0.0,0.0,31
ISHANT SHARMA,2008-04-20,1,9,3.0,1.0,7.0,2.33,1.0,7.0,2.33,31
ISHANT SHARMA,2008-04-26,0,26,8.67,1.0,8.0,2.66,1.0,8.0,2.66,0
ISHANT SHARMA,2008-04-29,1,33,9.71,0.67,14.0,4.67,0.67,14.0,4.67,25
ISHANT SHARMA,2008-05-01,1,26,6.5,0.75,18.75,5.93,0.75,18.75,5.93,27
ISHANT SHARMA,2008-05-03,0,41,10.25,0.8,20.2,6.04,0.75,23.5,6.97,0
ISHANT SHARMA,2008-05-08,1,25,6.25,0.67,23.67,6.74,0.5,31.5,8.78,27
ISHANT SHARMA,2008-05-11,0,27,9.0,0.71,23.86,6.67,0.75,31.25,8.18,0
ISHANT SHARMA,2008-05-13,0,18,6.0,0.62,24.25,6.96,0.5,29.75,8.0,2
ISHANT SHARMA,2008-05-16,1,29,12.61,0.56,23.56,6.86,0.25,27.75,7.88,25
ISHANT SHARMA,2008-05-18,0,16,8.0,0.6,24.1,7.43,0.5,24.75,8.46,0
ISHANT SHARMA,2008-05-20,1,23,7.67,0.55,23.36,7.48,0.25,22.5,8.9,25
ISHANT SHARMA,2008-05-25,0,49,12.25,0.58,23.33,7.5,0.5,21.5,8.57,0
ISHANT SHARMA,2009-04-19,0,13,4.33,0.54,25.31,7.86,0.5,29.25,10.13,6
ISHANT SHARMA,2009-04-21,1,24,6.0,0.5,24.43,7.61,0.25,25.25,8.06,27
ISHANT SHARMA,2009-04-23,2,36,9.0,0.53,24.4,7.5,0.5,27.25,7.56,50
ISHANT SHARMA,2009-04-27,1,29,7.25,0.62,25.12,7.6,0.75,30.5,7.9,25
ISHANT SHARMA,2009-04-29,2,15,3.75,0.65,25.35,7.58,1.0,25.5,6.64,56
ISHANT SHARMA,2009-05-01,1,24,6.0,0.72,24.78,7.36,1.5,26.0,6.5,27
ISHANT SHARMA,2009-05-03,2,27,6.75,0.74,24.74,7.29,1.5,26.0,6.5,52
ISHANT SHARMA,2009-05-05,0,43,10.75,0.8,24.85,7.27,1.5,23.75,5.94,0
ISHANT SHARMA,2009-05-10,2,23,5.75,0.76,25.71,7.43,1.25,27.25,6.81,54
ISHANT SHARMA,2009-05-12,0,40,10.0,0.82,25.59,7.36,1.25,29.25,7.31,0
ISHANT SHARMA,2009-05-16,0,23,5.75,0.78,26.22,7.47,1.0,33.25,8.31,4
ISHANT SHARMA,2010-03-12,1,31,7.75,0.75,26.08,7.4,0.5,32.25,8.06,25
ISHANT SHARMA,2010-03-14,0,27,6.75,0.76,26.28,7.41,0.75,29.25,7.31,2
ISHANT SHARMA,2010-03-16,1,38,9.5,0.73,26.31,7.39,0.25,30.25,7.56,25
ISHANT SHARMA,2010-03-20,2,33,8.25,0.74,26.74,7.47,0.5,29.75,7.44,50
ISHANT SHARMA,2010-03-22,2,44,11.0,0.79,26.96,7.49,1.0,32.25,8.06,50
ISHANT SHARMA,2010-03-29,1,17,17.0,0.83,27.55,7.61,1.25,35.5,8.88,25
ISHANT SHARMA,2010-04-10,0,46,11.5,0.83,27.2,7.93,1.5,33.0,11.44,0
ISHANT SHARMA,2011-04-09,0,24,6.0,0.81,27.81,8.04,1.25,35.0,11.94,2
ISHANT SHARMA,2011-04-11,0,27,9.0,0.78,27.69,7.98,0.75,32.75,11.38,0
