Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
JAYDEV UNADKAT,2010-04-04,0,32,14.55,0.0,0.0,0.0,0.0,0.0,0.0,0
JAYDEV UNADKAT,2010-04-17,3,26,6.5,0.0,32.0,14.55,0.0,32.0,14.55,77
JAYDEV UNADKAT,2010-04-19,1,27,6.75,1.5,29.0,10.52,1.5,29.0,10.52,27
JAYDEV UNADKAT,2011-04-11,2,36,9.0,1.33,28.33,9.27,1.33,28.33,9.27,50
JAYDEV UNADKAT,2011-04-22,0,24,8.0,1.5,30.25,9.2,1.5,30.25,9.2,0
JAYDEV UNADKAT,2011-04-28,1,24,6.0,1.2,29.0,8.96,1.5,28.25,7.56,27
JAYDEV UNADKAT,2011-05-05,2,25,6.25,1.17,28.17,8.47,1.0,27.75,7.44,52
JAYDEV UNADKAT,2011-05-07,0,11,11.0,1.29,27.71,8.15,1.25,27.25,7.31,0
JAYDEV UNADKAT,2011-05-14,1,30,15.0,1.12,25.62,8.51,0.75,21.0,7.81,25
JAYDEV UNADKAT,2012-04-15,0,32,10.67,1.11,26.11,9.23,1.0,22.5,9.56,0
JAYDEV UNADKAT,2013-04-04,0,26,6.5,1.0,26.7,9.37,0.75,24.5,10.73,2
JAYDEV UNADKAT,2013-04-07,2,24,6.0,0.91,26.64,9.11,0.25,24.75,10.79,52
JAYDEV UNADKAT,2013-04-09,0,29,7.25,1.0,26.42,8.85,0.75,28.0,9.54,0
JAYDEV UNADKAT,2013-04-11,0,34,8.5,0.92,26.62,8.73,0.5,27.75,7.6,0
JAYDEV UNADKAT,2013-04-16,2,24,6.0,0.86,27.14,8.71,0.5,28.25,7.06,52
JAYDEV UNADKAT,2013-04-20,1,32,8.0,0.93,26.93,8.53,1.0,27.75,6.94,25
JAYDEV UNADKAT,2013-04-23,2,38,9.5,0.94,27.25,8.5,0.75,29.75,7.44,50
JAYDEV UNADKAT,2013-04-27,0,32,8.0,1.0,27.88,8.56,1.25,32.0,8.0,0
JAYDEV UNADKAT,2013-04-29,0,30,10.0,0.94,28.11,8.53,1.25,31.5,7.88,0
JAYDEV UNADKAT,2013-05-10,5,25,6.25,0.89,28.21,8.6,0.75,33.0,8.88,127
JAYDEV UNADKAT,2013-05-12,0,27,6.75,1.1,28.05,8.49,1.75,31.25,8.44,2
JAYDEV UNADKAT,2013-05-14,1,34,8.5,1.05,28.0,8.4,1.25,28.5,7.75,25
JAYDEV UNADKAT,2013-05-18,0,16,8.0,1.05,28.27,8.41,1.5,29.0,7.88,0
JAYDEV UNADKAT,2014-04-19,1,25,6.25,1.0,27.74,8.39,1.5,25.5,7.38,27
JAYDEV UNADKAT,2014-04-21,3,32,8.0,1.0,27.62,8.3,0.5,25.5,7.38,75
JAYDEV UNADKAT,2014-04-25,0,43,10.75,1.08,27.8,8.29,1.25,26.75,7.69,0
JAYDEV UNADKAT,2014-04-27,2,29,7.25,1.04,28.38,8.38,1.0,29.0,8.25,50
JAYDEV UNADKAT,2014-05-03,0,36,10.91,1.07,28.41,8.34,1.5,32.25,8.06,0
JAYDEV UNADKAT,2014-05-05,0,47,13.82,1.04,28.68,8.43,1.25,35.0,9.23,0
JAYDEV UNADKAT,2014-05-19,0,31,7.75,1.0,29.31,8.62,0.5,38.75,10.68,0
JAYDEV UNADKAT,2014-05-23,2,24,12.0,0.97,29.37,8.59,0.5,35.75,9.93,50
JAYDEV UNADKAT,2014-05-25,1,3,1.5,1.0,29.19,8.7,0.5,34.5,11.12,31
JAYDEV UNADKAT,2015-04-12,0,30,10.0,1.0,28.38,8.48,0.75,26.25,8.77,0
JAYDEV UNADKAT,2016-04-28,0,49,16.33,0.97,28.42,8.52,0.75,22.0,7.81,0
JAYDEV UNADKAT,2017-04-16,2,25,6.25,0.94,29.03,8.75,0.75,26.5,9.96,52
JAYDEV UNADKAT,2017-04-22,1,41,10.25,0.97,28.91,8.68,0.75,26.75,8.52,25
JAYDEV UNADKAT,2017-04-24,2,40,10.0,0.97,29.25,8.72,0.75,36.25,10.71,50
JAYDEV UNADKAT,2017-04-26,1,26,8.67,1.0,29.54,8.76,1.25,38.75,10.71,25
JAYDEV UNADKAT,2017-04-29,1,19,4.75,1.0,29.45,8.76,1.5,33.0,8.79,31
JAYDEV UNADKAT,2017-05-01,3,29,8.29,1.0,29.18,8.65,1.25,31.5,8.42,75
JAYDEV UNADKAT,2017-05-03,2,28,7.0,1.05,29.18,8.64,1.75,28.5,7.93,50
JAYDEV UNADKAT,2017-05-06,5,30,7.5,1.07,29.15,8.6,1.75,25.5,7.18,125
JAYDEV UNADKAT,2017-05-12,2,29,7.25,1.17,29.17,8.58,2.75,26.5,6.88,50
JAYDEV UNADKAT,2017-05-14,2,12,4.0,1.19,29.16,8.55,3.0,29.0,7.51,56
JAYDEV UNADKAT,2017-05-16,1,24,6.0,1.2,28.77,8.44,2.75,24.75,6.44,27
JAYDEV UNADKAT,2017-05-21,2,19,4.75,1.2,28.67,8.39,2.5,23.75,6.19,56
JAYDEV UNADKAT,2018-04-09,1,28,9.33,1.22,28.46,8.31,1.75,21.0,5.5,25
JAYDEV UNADKAT,2018-04-11,1,24,12.0,1.21,28.45,8.33,1.5,20.75,6.02,25
JAYDEV UNADKAT,2018-04-15,0,35,11.67,1.21,28.35,8.41,1.25,23.75,8.02,0
JAYDEV UNADKAT,2018-04-18,0,34,11.33,1.18,28.49,8.47,1.0,26.5,9.44,0
JAYDEV UNADKAT,2018-04-20,0,39,9.75,1.16,28.6,8.53,0.5,30.25,11.08,0
JAYDEV UNADKAT,2018-04-22,1,31,7.75,1.14,28.8,8.56,0.25,33.0,11.19,25
JAYDEV UNADKAT,2018-04-29,1,33,11.0,1.13,28.85,8.54,0.25,34.75,10.12,25
JAYDEV UNADKAT,2018-05-02,3,46,11.5,1.13,28.92,8.59,0.5,34.25,9.96,75
JAYDEV UNADKAT,2018-05-06,0,26,6.5,1.17,29.24,8.64,1.25,37.25,10.0,2
JAYDEV UNADKAT,2018-05-08,1,36,9.0,1.15,29.18,8.6,1.25,34.0,9.19,25
JAYDEV UNADKAT,2018-05-11,0,34,8.5,1.14,29.3,8.61,1.25,35.25,9.5,0
JAYDEV UNADKAT,2018-05-13,1,37,9.25,1.12,29.39,8.61,1.0,35.5,8.88,25
JAYDEV UNADKAT,2018-05-15,0,23,7.67,1.12,29.52,8.62,0.5,33.25,8.31,0
JAYDEV UNADKAT,2018-05-19,2,27,8.44,1.1,29.41,8.6,0.5,32.5,8.6,50
JAYDEV UNADKAT,2018-05-23,0,33,16.5,1.12,29.37,8.6,0.75,30.25,8.46,0
JAYDEV UNADKAT,2019-03-25,0,44,14.67,1.1,29.43,8.73,0.75,30.0,10.46,0
JAYDEV UNADKAT,2019-03-29,1,27,6.75,1.08,29.66,8.82,0.5,31.75,11.82,27
JAYDEV UNADKAT,2019-03-31,1,54,13.5,1.08,29.62,8.79,0.75,32.75,11.59,25
JAYDEV UNADKAT,2019-04-11,1,23,7.67,1.08,30.0,8.86,0.5,39.5,12.86,25
JAYDEV UNADKAT,2019-04-13,1,36,9.0,1.08,29.89,8.85,0.75,37.0,10.65,25
JAYDEV UNADKAT,2019-04-16,1,48,12.0,1.08,29.98,8.85,1.0,35.0,9.23,25
JAYDEV UNADKAT,2019-04-20,1,46,11.5,1.07,30.25,8.9,1.0,40.25,10.54,25
JAYDEV UNADKAT,2019-04-22,0,36,11.25,1.07,30.49,8.93,1.0,38.25,10.04,0
JAYDEV UNADKAT,2019-04-25,1,50,12.5,1.06,30.57,8.97,0.75,41.5,10.94,25
JAYDEV UNADKAT,2019-04-27,2,26,6.5,1.06,30.84,9.02,0.75,45.0,11.81,52
JAYDEV UNADKAT,2019-04-30,1,9,9.0,1.07,30.77,8.98,1.0,39.5,10.44,25
JAYDEV UNADKAT,2020-09-22,0,44,11.0,1.07,30.47,8.98,1.0,30.25,9.81,0
JAYDEV UNADKAT,2020-09-27,0,30,10.0,1.05,30.66,9.01,1.0,32.25,9.75,0
JAYDEV UNADKAT,2020-09-30,1,14,7.0,1.04,30.65,9.02,0.75,27.25,9.12,25
JAYDEV UNADKAT,2020-10-03,0,31,10.33,1.04,30.43,9.0,0.5,24.25,9.25,0
JAYDEV UNADKAT,2020-10-11,1,31,7.75,1.03,30.43,9.01,0.25,29.75,9.58,25
JAYDEV UNADKAT,2020-10-14,2,32,10.67,1.03,30.44,9.0,0.5,26.5,8.77,50
JAYDEV UNADKAT,2020-10-17,0,46,11.5,1.04,30.46,9.02,1.0,27.0,8.94,0
JAYDEV UNADKAT,2021-04-15,3,15,3.75,1.03,30.66,9.05,0.75,35.0,10.06,81
JAYDEV UNADKAT,2021-04-19,0,40,10.0,1.05,30.46,8.98,1.5,31.0,8.42,0
JAYDEV UNADKAT,2021-04-24,1,25,6.25,1.04,30.58,9.0,1.25,33.25,8.98,27
JAYDEV UNADKAT,2021-04-29,0,33,8.25,1.04,30.51,8.96,1.0,31.5,7.88,0
JAYDEV UNADKAT,2021-09-27,0,20,10.0,1.02,30.54,8.96,1.0,28.25,7.06,0
