Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
KULDEEP SEN,2022-04-10,1,35,8.75,0.0,0.0,0.0,0.0,0.0,0.0,25
KULDEEP SEN,2022-04-14,1,51,12.75,1.0,35.0,8.75,1.0,35.0,8.75,25
KULDEEP SEN,2022-04-26,4,20,6.06,1.0,43.0,10.75,1.0,43.0,10.75,102
KULDEEP SEN,2022-04-30,1,29,9.06,2.0,35.33,9.19,2.0,35.33,9.19,25
KULDEEP SEN,2022-05-02,1,28,9.03,1.75,33.75,9.15,1.75,33.75,9.16,25
KULDEEP SEN,2022-05-07,0,42,10.5,1.6,32.6,9.13,1.75,32.0,9.22,0
KULDEEP SEN,2022-05-11,0,32,10.32,1.33,34.17,9.36,1.5,29.75,8.66,0
KULDEEP SEN,2023-04-12,0,8,4.0,1.14,33.86,9.5,0.5,32.75,9.73,6
KULDEEP SEN,2023-04-30,0,20,20.0,1.0,30.62,8.81,0.25,27.5,8.46,0
KULDEEP SEN,2024-04-10,3,41,10.25,0.89,29.44,10.05,0.0,25.5,11.2,75
KULDEEP SEN,2024-04-13,1,35,8.75,1.1,30.6,10.07,0.75,25.25,11.14,25
KULDEEP SEN,2024-04-16,2,46,11.5,1.09,31.0,9.95,1.0,26.0,10.75,50
