Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
KUMAR KARTIKEYA SINGH,2022-04-30,1,19,4.75,0.0,0.0,0.0,0.0,0.0,0.0,31
KUMAR KARTIKEYA SINGH,2022-05-06,0,29,9.67,1.0,19.0,4.75,1.0,19.0,4.75,0
KUMAR KARTIKEYA SINGH,2022-05-09,2,32,10.67,0.5,24.0,7.21,0.5,24.0,7.21,50
KUMAR KARTIKEYA SINGH,2022-05-12,2,22,7.33,1.0,26.67,8.36,1.0,26.67,8.36,50
KUMAR KARTIKEYA SINGH,2023-04-08,1,24,6.0,1.25,25.5,8.1,1.25,25.5,8.1,27
KUMAR KARTIKEYA SINGH,2023-04-25,1,39,9.75,1.2,25.2,7.68,1.25,26.75,8.42,25
KUMAR KARTIKEYA SINGH,2023-04-30,0,14,7.0,1.17,27.5,8.03,1.5,29.25,8.44,0
KUMAR KARTIKEYA SINGH,2023-05-03,0,24,8.0,1.0,25.57,7.88,1.0,24.75,7.52,0
KUMAR KARTIKEYA SINGH,2023-05-09,1,35,8.75,0.88,25.38,7.9,0.5,25.25,7.69,25
KUMAR KARTIKEYA SINGH,2023-05-12,2,37,12.33,0.89,26.44,7.99,0.5,28.0,8.38,50
KUMAR KARTIKEYA SINGH,2023-05-21,0,39,9.75,1.0,27.5,8.43,0.75,27.5,9.02,0
KUMAR KARTIKEYA SINGH,2023-05-26,0,15,7.5,0.91,28.55,8.55,0.75,33.75,9.71,0
KUMAR KARTIKEYA SINGH,2025-03-30,0,10,10.0,0.83,27.42,8.46,0.75,31.5,9.58,0
KUMAR KARTIKEYA SINGH,2025-04-05,1,21,10.5,0.77,26.08,8.58,0.5,25.25,9.9,25
KUMAR KARTIKEYA SINGH,2025-04-13,1,25,8.33,0.79,25.71,8.71,0.25,21.25,9.44,25
