Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
LOCKIE FERGUSON,2017-04-14,0,44,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LOCKIE FERGUSON,2017-04-29,2,7,1.75,0.0,44.0,11.0,0.0,44.0,11.0,56
LOCKIE FERGUSON,2017-05-16,1,21,7.0,1.0,25.5,6.38,1.0,25.5,6.38,25
LOCKIE FERGUSON,2017-05-21,0,21,10.5,1.0,24.0,6.58,1.0,24.0,6.58,0
LOCKIE FERGUSON,2019-03-24,0,34,8.5,0.75,23.25,7.56,0.75,23.25,7.56,0
LOCKIE FERGUSON,2019-03-27,1,42,10.5,0.6,25.4,7.75,0.75,20.75,6.94,25
LOCKIE FERGUSON,2019-03-30,1,38,9.5,0.67,28.17,8.21,0.5,29.5,9.12,25
LOCKIE FERGUSON,2019-04-05,0,32,16.0,0.71,29.57,8.39,0.5,33.75,9.75,0
LOCKIE FERGUSON,2019-04-12,0,37,12.33,0.62,29.88,9.34,0.5,36.5,11.12,0
LOCKIE FERGUSON,2020-10-18,3,15,3.75,0.56,30.67,9.68,0.5,37.25,12.08,81
LOCKIE FERGUSON,2020-10-21,1,17,4.25,0.8,29.1,9.08,1.0,30.5,10.4,31
LOCKIE FERGUSON,2020-10-24,1,30,7.5,0.82,28.0,8.64,1.0,25.25,9.08,25
LOCKIE FERGUSON,2020-10-26,1,32,9.14,0.83,28.17,8.55,1.25,24.75,6.96,25
LOCKIE FERGUSON,2020-10-29,0,54,13.5,0.85,28.46,8.59,1.5,23.5,6.16,0
LOCKIE FERGUSON,2021-09-20,2,24,6.0,0.79,30.29,8.94,0.75,33.25,8.6,52
LOCKIE FERGUSON,2021-09-23,2,27,6.75,0.87,29.87,8.75,1.0,35.0,9.04,52
LOCKIE FERGUSON,2021-09-26,1,33,8.25,0.94,29.69,8.62,1.25,34.25,8.85,25
LOCKIE FERGUSON,2021-09-28,2,10,5.0,0.94,29.88,8.6,1.25,34.5,8.62,54
LOCKIE FERGUSON,2021-10-07,3,18,4.5,1.0,28.78,8.4,1.75,23.5,6.5,81
LOCKIE FERGUSON,2021-10-11,2,30,7.5,1.11,28.21,8.2,2.0,22.0,6.12,50
LOCKIE FERGUSON,2021-10-13,1,26,6.5,1.15,28.3,8.16,2.0,22.75,6.31,27
LOCKIE FERGUSON,2021-10-15,0,56,14.0,1.14,28.19,8.08,2.0,21.0,5.88,0
LOCKIE FERGUSON,2022-03-28,0,24,6.0,1.09,29.45,8.35,1.5,32.5,8.12,2
LOCKIE FERGUSON,2022-04-02,4,28,7.0,1.04,29.22,8.25,0.75,34.0,8.5,100
LOCKIE FERGUSON,2022-04-08,1,33,8.25,1.17,29.17,8.2,1.25,33.5,8.38,25
LOCKIE FERGUSON,2022-04-11,0,46,11.5,1.16,29.32,8.2,1.25,35.25,8.81,0
LOCKIE FERGUSON,2022-04-14,3,23,5.75,1.12,29.96,8.33,1.25,32.75,8.19,79
LOCKIE FERGUSON,2022-04-17,0,46,11.5,1.19,29.7,8.23,2.0,32.5,8.12,0
LOCKIE FERGUSON,2022-04-23,1,33,8.25,1.14,30.29,8.35,1.0,37.0,9.25,25
LOCKIE FERGUSON,2022-04-27,0,52,13.0,1.14,30.38,8.34,1.0,37.0,9.25,0
LOCKIE FERGUSON,2022-04-30,1,36,9.0,1.1,31.1,8.5,1.0,38.5,9.62,25
LOCKIE FERGUSON,2022-05-03,1,29,9.67,1.1,31.26,8.52,0.5,41.75,10.44,25
LOCKIE FERGUSON,2022-05-06,1,34,8.5,1.09,31.19,8.55,0.75,37.5,9.98,25
LOCKIE FERGUSON,2022-05-19,0,21,15.0,1.09,31.27,8.55,0.75,37.75,10.04,0
LOCKIE FERGUSON,2022-05-29,0,22,7.33,1.06,30.97,8.74,0.75,30.0,10.54,0
LOCKIE FERGUSON,2023-04-09,0,40,10.0,1.03,30.71,8.7,0.5,26.5,10.12,0
LOCKIE FERGUSON,2023-04-14,0,37,18.5,1.0,30.97,8.74,0.25,29.25,10.21,0
LOCKIE FERGUSON,2023-04-16,1,19,13.57,0.97,31.14,9.0,0.0,30.0,12.71,25
LOCKIE FERGUSON,2024-04-15,2,52,13.0,0.97,30.82,9.12,0.25,29.5,12.35,50
LOCKIE FERGUSON,2024-04-21,1,47,11.75,1.0,31.36,9.22,0.75,37.0,13.77,25
LOCKIE FERGUSON,2024-04-25,0,28,14.0,1.0,31.75,9.28,1.0,38.75,14.2,0
LOCKIE FERGUSON,2024-05-09,2,29,9.67,0.98,31.66,9.4,1.0,36.5,13.08,50
LOCKIE FERGUSON,2024-05-12,2,23,5.75,1.0,31.6,9.4,1.25,39.0,12.1,54
LOCKIE FERGUSON,2024-05-18,1,39,13.0,1.02,31.4,9.32,1.25,31.75,10.29,25
LOCKIE FERGUSON,2024-05-22,1,37,9.25,1.02,31.57,9.4,1.25,29.75,10.6,25
LOCKIE FERGUSON,2025-04-01,1,26,8.67,1.02,31.69,9.4,1.5,32.0,9.42,25
LOCKIE FERGUSON,2025-04-05,2,37,9.25,1.02,31.57,9.38,1.25,31.25,9.17,50
LOCKIE FERGUSON,2025-04-08,2,40,10.0,1.04,31.68,9.38,1.25,34.75,10.04,50
LOCKIE FERGUSON,2025-04-12,0,1,5.0,1.06,31.85,9.39,1.5,35.0,9.29,4
