Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
LUNGISANI NGIDI,2018-04-30,1,26,6.5,0.0,0.0,0.0,0.0,0.0,0.0,27
LUNGISANI NGIDI,2018-05-03,1,36,12.0,1.0,26.0,6.5,1.0,26.0,6.5,25
LUNGISANI NGIDI,2018-05-05,1,24,6.0,1.0,31.0,9.25,1.0,31.0,9.25,27
LUNGISANI NGIDI,2018-05-18,2,14,4.67,1.0,28.67,8.17,1.0,28.67,8.17,56
LUNGISANI NGIDI,2018-05-20,4,10,2.5,1.25,25.0,7.29,1.25,25.0,7.29,106
LUNGISANI NGIDI,2018-05-22,1,20,5.0,1.8,22.0,6.33,2.0,21.0,6.29,29
LUNGISANI NGIDI,2018-05-27,1,26,6.5,1.67,21.67,6.11,2.0,17.0,4.54,27
LUNGISANI NGIDI,2020-09-19,3,38,9.5,1.57,22.29,6.17,2.0,17.5,4.67,75
LUNGISANI NGIDI,2020-09-22,1,56,14.0,1.75,24.25,6.58,2.25,23.5,5.88,25
LUNGISANI NGIDI,2020-10-29,2,34,8.5,1.67,27.78,7.41,1.5,35.0,8.75,50
LUNGISANI NGIDI,2020-11-01,3,39,9.75,1.7,28.4,7.52,1.75,38.5,9.62,75
LUNGISANI NGIDI,2021-04-21,3,28,7.0,1.82,29.36,7.72,2.25,41.75,10.44,75
LUNGISANI NGIDI,2021-04-28,2,35,8.75,1.92,29.25,7.66,2.25,39.25,9.81,50
LUNGISANI NGIDI,2021-05-01,0,62,15.5,1.92,29.69,7.74,2.5,34.0,8.5,0
LUNGISANI NGIDI,2025-05-03,3,30,7.5,1.79,32.0,8.3,2.0,41.0,10.25,75
LUNGISANI NGIDI,2025-05-23,1,51,12.75,1.87,31.87,8.24,2.0,38.75,9.69,25
