Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
MAHIPAL LOMROR,2018-04-29,0,8,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MAHIPAL LOMROR,2018-05-08,0,19,9.5,0.0,8.0,8.0,0.0,8.0,8.0,0
MAHIPAL LOMROR,2021-09-21,0,7,7.0,0.0,13.5,8.75,0.0,13.5,8.75,0
MAHIPAL LOMROR,2021-09-25,0,5,5.0,0.0,11.33,8.17,0.0,11.33,8.17,4
MAHIPAL LOMROR,2021-09-27,1,22,7.33,0.0,9.75,7.38,0.0,9.75,7.38,25
MAHIPAL LOMROR,2021-09-29,0,13,6.5,0.2,12.2,7.37,0.25,13.25,7.21,2
MAHIPAL LOMROR,2022-05-08,0,7,7.0,0.17,12.33,7.22,0.25,11.75,6.46,0
MAHIPAL LOMROR,2022-05-19,0,11,11.0,0.14,11.57,7.19,0.25,11.75,6.46,0
MAHIPAL LOMROR,2023-05-01,0,4,4.0,0.12,11.5,7.67,0.25,13.25,7.96,6
MAHIPAL LOMROR,2023-05-06,0,13,13.0,0.11,10.67,7.26,0.0,8.75,7.12,0
MAHIPAL LOMROR,2024-04-15,0,18,18.0,0.1,10.9,7.83,0.0,8.75,8.75,0
