Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
MITCHELL STARC,2014-04-17,1,33,8.25,0.0,0.0,0.0,0.0,0.0,0.0,25
MITCHELL STARC,2014-04-19,2,21,5.25,1.0,33.0,8.25,1.0,33.0,8.25,54
MITCHELL STARC,2014-04-24,2,33,8.25,1.5,27.0,6.75,1.5,27.0,6.75,50
MITCHELL STARC,2014-04-26,2,29,7.25,1.67,29.0,7.25,1.67,29.0,7.25,50
MITCHELL STARC,2014-04-28,0,15,3.75,1.75,29.0,7.25,1.75,29.0,7.25,6
MITCHELL STARC,2014-05-04,2,21,5.25,1.4,26.2,6.55,1.5,24.5,6.12,54
MITCHELL STARC,2014-05-06,0,29,7.25,1.5,25.33,6.33,1.5,24.5,6.12,0
MITCHELL STARC,2014-05-09,2,43,10.75,1.29,25.86,6.46,1.0,23.5,5.88,50
MITCHELL STARC,2014-05-11,0,33,11.0,1.38,28.0,7.0,1.0,27.0,6.75,0
MITCHELL STARC,2014-05-13,2,26,6.5,1.22,28.56,7.44,1.0,31.5,8.56,52
MITCHELL STARC,2014-05-18,0,23,5.75,1.3,28.3,7.35,1.0,32.75,8.88,4
MITCHELL STARC,2014-05-20,0,31,9.12,1.18,27.82,7.2,1.0,31.25,8.5,0
MITCHELL STARC,2014-05-22,1,32,8.0,1.08,28.08,7.36,0.5,28.25,8.09,25
MITCHELL STARC,2014-05-24,0,33,11.0,1.08,28.38,7.41,0.75,28.0,7.34,0
MITCHELL STARC,2015-04-22,1,24,6.0,1.0,28.71,7.67,0.25,29.75,8.47,27
MITCHELL STARC,2015-04-24,3,22,5.5,1.0,28.4,7.56,0.5,30.0,8.53,79
MITCHELL STARC,2015-04-26,3,20,5.0,1.12,28.0,7.43,1.25,27.75,7.62,79
MITCHELL STARC,2015-05-02,1,15,7.5,1.24,27.53,7.29,1.75,24.75,6.88,25
MITCHELL STARC,2015-05-04,3,24,6.0,1.22,26.83,7.3,2.0,20.25,6.0,77
MITCHELL STARC,2015-05-06,4,15,3.75,1.32,26.68,7.23,2.5,20.25,6.0,106
MITCHELL STARC,2015-05-10,1,41,10.25,1.45,26.1,7.06,2.75,18.5,5.56,25
MITCHELL STARC,2015-05-13,1,20,10.0,1.43,26.81,7.21,2.25,23.75,6.88,25
MITCHELL STARC,2015-05-15,1,26,8.67,1.41,26.5,7.34,2.25,25.0,7.5,25
MITCHELL STARC,2015-05-17,0,35,8.75,1.39,26.48,7.39,1.75,25.5,8.17,0
MITCHELL STARC,2015-05-20,1,22,5.5,1.33,26.83,7.45,0.75,30.5,9.42,29
MITCHELL STARC,2015-05-22,1,27,6.75,1.32,26.64,7.37,0.75,25.75,8.23,27
MITCHELL STARC,2024-03-23,0,53,13.25,1.31,26.65,7.35,0.75,27.5,7.42,0
MITCHELL STARC,2024-03-29,0,47,11.75,1.26,27.63,7.57,0.5,34.25,8.56,0
MITCHELL STARC,2024-04-03,2,25,8.33,1.21,28.32,7.72,0.5,37.25,9.31,50
MITCHELL STARC,2024-04-08,0,29,9.67,1.24,28.21,7.74,0.75,38.0,10.02,0
MITCHELL STARC,2024-04-14,3,28,7.0,1.2,28.23,7.8,0.5,38.5,10.75,75
MITCHELL STARC,2024-04-16,0,50,12.5,1.26,28.23,7.78,1.25,32.25,9.19,0
MITCHELL STARC,2024-04-21,1,55,18.33,1.22,28.91,7.92,1.25,33.0,9.38,25
MITCHELL STARC,2024-04-29,1,43,14.33,1.21,29.7,8.24,1.0,40.5,11.88,25
MITCHELL STARC,2024-05-03,4,33,9.43,1.21,30.09,8.42,1.25,44.0,13.04,100
MITCHELL STARC,2024-05-05,1,22,11.0,1.29,30.17,8.45,1.5,45.25,13.65,25
MITCHELL STARC,2024-05-11,0,11,11.0,1.28,29.94,8.52,1.75,38.25,13.27,0
MITCHELL STARC,2024-05-21,3,34,8.5,1.24,29.43,8.58,1.5,27.25,11.44,75
MITCHELL STARC,2024-05-26,2,14,4.67,1.29,29.55,8.58,2.0,25.0,9.98,56
MITCHELL STARC,2025-03-24,3,42,10.5,1.31,29.15,8.48,1.5,20.25,8.79,75
MITCHELL STARC,2025-03-30,5,35,10.29,1.35,29.48,8.53,2.0,25.25,8.67,125
MITCHELL STARC,2025-04-05,1,27,6.75,1.44,29.61,8.58,3.25,31.25,8.49,27
MITCHELL STARC,2025-04-10,0,35,11.67,1.43,29.55,8.53,2.75,29.5,8.05,0
MITCHELL STARC,2025-04-13,0,43,14.33,1.4,29.67,8.6,2.25,34.75,9.8,0
MITCHELL STARC,2025-04-16,1,36,9.0,1.36,29.98,8.74,1.5,35.0,10.76,25
MITCHELL STARC,2025-04-19,0,49,15.31,1.36,30.11,8.74,0.5,35.25,10.44,0
MITCHELL STARC,2025-04-22,1,25,6.25,1.33,30.52,8.88,0.25,40.75,12.58,27
