Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
MOEEN ALI,2018-05-07,0,19,6.33,0.0,0.0,0.0,0.0,0.0,0.0,2
MOEEN ALI,2018-05-12,1,25,6.25,0.0,19.0,6.33,0.0,19.0,6.33,27
MOEEN ALI,2018-05-14,1,13,6.19,0.5,22.0,6.29,0.5,22.0,6.29,27
MOEEN ALI,2018-05-17,1,21,10.5,0.67,19.0,6.26,0.67,19.0,6.26,25
MOEEN ALI,2018-05-19,0,19,9.5,0.75,19.5,7.32,0.75,19.5,7.32,0
MOEEN ALI,2019-03-23,1,19,4.75,0.6,19.4,7.75,0.75,19.5,8.11,31
MOEEN ALI,2019-03-28,0,13,13.0,0.67,19.33,7.25,0.75,18.0,7.74,0
MOEEN ALI,2019-03-31,0,29,9.67,0.57,18.43,8.07,0.5,18.0,9.44,0
MOEEN ALI,2019-04-02,0,14,14.0,0.5,19.75,8.27,0.25,20.0,9.23,0
MOEEN ALI,2019-04-07,1,22,5.5,0.44,19.11,8.91,0.25,18.75,10.36,29
MOEEN ALI,2019-04-13,1,19,4.75,0.5,19.4,8.57,0.25,19.5,10.54,31
MOEEN ALI,2019-04-15,2,18,4.5,0.55,19.36,8.22,0.5,21.0,8.48,56
MOEEN ALI,2019-04-19,0,13,13.0,0.67,19.25,7.91,1.0,18.25,7.19,0
MOEEN ALI,2019-04-24,1,22,7.33,0.62,18.77,8.3,1.0,18.0,6.94,25
MOEEN ALI,2020-10-05,1,21,10.5,0.64,19.0,8.23,1.0,18.0,7.4,25
MOEEN ALI,2020-10-25,0,17,8.5,0.67,19.13,8.38,1.0,18.5,8.83,0
MOEEN ALI,2020-11-06,0,4,4.0,0.62,19.0,8.39,0.5,18.25,9.83,6
MOEEN ALI,2021-04-10,0,33,11.0,0.59,18.12,8.13,0.5,16.0,7.58,0
MOEEN ALI,2021-04-16,1,17,5.67,0.56,18.94,8.29,0.25,18.75,8.5,29
MOEEN ALI,2021-04-19,3,7,2.33,0.58,18.84,8.15,0.25,17.75,7.29,81
MOEEN ALI,2021-04-28,0,16,8.0,0.7,18.25,7.86,1.0,15.25,5.75,0
MOEEN ALI,2021-05-01,1,1,1.0,0.67,18.14,7.87,1.0,18.25,6.75,31
MOEEN ALI,2021-09-19,0,16,5.33,0.68,17.36,7.56,1.25,10.25,4.25,4
