Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
MOHAMMED SIRAJ,2017-04-19,2,39,9.75,0.0,0.0,0.0,0.0,0.0,0.0,50
MOHAMMED SIRAJ,2017-04-22,0,42,10.5,2.0,39.0,9.75,2.0,39.0,9.75,0
MOHAMMED SIRAJ,2017-04-30,2,26,6.5,1.0,40.5,10.12,1.0,40.5,10.12,52
MOHAMMED SIRAJ,2017-05-02,2,41,10.25,1.33,35.67,8.92,1.33,35.67,8.92,50
MOHAMMED SIRAJ,2017-05-08,0,32,10.67,1.5,37.0,9.25,1.5,37.0,9.25,0
MOHAMMED SIRAJ,2017-05-13,4,32,8.0,1.2,36.0,9.53,1.0,35.25,9.48,100
MOHAMMED SIRAJ,2018-04-17,0,34,8.5,1.67,35.33,9.28,2.0,32.75,8.86,0
MOHAMMED SIRAJ,2018-04-21,0,35,8.75,1.43,35.14,9.17,1.5,34.75,9.36,0
MOHAMMED SIRAJ,2018-04-25,0,48,12.0,1.25,35.12,9.12,1.0,33.25,8.98,0
MOHAMMED SIRAJ,2018-04-29,2,40,10.0,1.11,36.56,9.44,1.0,37.25,9.31,50
MOHAMMED SIRAJ,2018-05-01,2,28,7.0,1.2,36.9,9.49,0.5,39.25,9.81,50
MOHAMMED SIRAJ,2018-05-05,0,18,9.0,1.27,36.09,9.27,1.0,37.75,9.44,0
MOHAMMED SIRAJ,2018-05-07,3,25,6.25,1.17,34.58,9.24,1.0,33.5,9.5,77
MOHAMMED SIRAJ,2018-05-12,1,46,11.5,1.31,33.85,9.01,1.75,27.75,8.06,25
MOHAMMED SIRAJ,2018-05-14,1,17,5.67,1.29,34.71,9.19,1.5,29.25,8.44,29
MOHAMMED SIRAJ,2018-05-17,1,43,10.75,1.27,33.53,8.96,1.25,26.5,8.1,25
MOHAMMED SIRAJ,2018-05-19,1,33,8.25,1.25,34.12,9.07,1.5,32.75,8.54,25
MOHAMMED SIRAJ,2019-03-23,1,5,2.5,1.24,34.06,9.02,1.0,34.75,9.04,31
MOHAMMED SIRAJ,2019-03-28,2,38,9.5,1.22,32.44,8.66,1.0,24.5,6.79,50
MOHAMMED SIRAJ,2019-03-31,0,38,9.5,1.26,32.74,8.7,1.25,29.75,7.75,0
MOHAMMED SIRAJ,2019-04-02,1,25,6.25,1.2,33.0,8.74,1.0,28.5,7.44,27
MOHAMMED SIRAJ,2019-04-05,0,36,16.36,1.19,32.62,8.62,1.0,26.5,6.94,0
MOHAMMED SIRAJ,2019-04-07,1,14,9.33,1.14,32.77,8.98,0.75,34.25,10.4,25
MOHAMMED SIRAJ,2019-04-13,1,54,13.5,1.13,31.96,8.99,0.5,28.25,10.36,25
MOHAMMED SIRAJ,2019-04-15,1,21,10.5,1.12,32.88,9.18,0.75,32.25,11.36,25
MOHAMMED SIRAJ,2019-04-19,0,38,9.5,1.12,32.4,9.23,0.75,31.25,12.42,0
MOHAMMED SIRAJ,2020-10-05,2,34,8.5,1.08,32.62,9.24,0.75,31.75,10.71,50
MOHAMMED SIRAJ,2020-10-12,1,24,8.0,1.11,32.67,9.21,1.0,36.75,10.5,25
MOHAMMED SIRAJ,2020-10-15,0,44,14.67,1.11,32.36,9.17,1.0,29.25,9.12,0
MOHAMMED SIRAJ,2020-10-21,3,8,2.0,1.07,32.76,9.36,0.75,35.0,10.17,81
MOHAMMED SIRAJ,2020-10-25,0,29,14.5,1.13,31.93,9.12,1.5,27.5,8.29,0
MOHAMMED SIRAJ,2020-10-28,2,28,9.03,1.1,31.84,9.29,1.0,26.25,9.79,50
MOHAMMED SIRAJ,2020-10-31,0,12,12.0,1.12,31.72,9.28,1.25,27.25,10.05,0
MOHAMMED SIRAJ,2020-11-02,1,29,9.67,1.09,31.12,9.36,1.25,19.25,9.38,25
MOHAMMED SIRAJ,2020-11-06,2,28,7.0,1.09,31.06,9.37,0.75,24.5,11.3,50
MOHAMMED SIRAJ,2021-04-09,0,22,5.5,1.11,30.97,9.3,1.25,24.25,9.43,4
MOHAMMED SIRAJ,2021-04-14,2,25,6.25,1.08,30.72,9.2,0.75,22.75,8.54,52
MOHAMMED SIRAJ,2021-04-18,0,17,5.67,1.11,30.57,9.12,1.25,26.0,7.1,4
MOHAMMED SIRAJ,2021-04-22,3,27,6.75,1.08,30.21,9.03,1.0,23.0,6.1,77
