Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
MUJEEB-UR-RAHMAN,2018-04-08,2,28,7.0,0.0,0.0,0.0,0.0,0.0,0.0,50
MUJEEB-UR-RAHMAN,2018-04-13,1,29,7.25,2.0,28.0,7.0,2.0,28.0,7.0,25
MUJEEB-UR-RAHMAN,2018-04-15,0,18,6.0,1.5,28.5,7.12,1.5,28.5,7.12,2
MUJEEB-UR-RAHMAN,2018-04-19,0,27,6.75,1.0,25.0,6.75,1.0,25.0,6.75,2
MUJEEB-UR-RAHMAN,2018-04-21,1,32,8.0,0.75,25.5,6.75,0.75,25.5,6.75,25
MUJEEB-UR-RAHMAN,2018-04-23,2,25,6.25,0.8,26.8,7.0,0.5,26.5,7.0,52
MUJEEB-UR-RAHMAN,2018-04-26,1,17,4.25,1.0,26.5,6.88,0.75,25.5,6.75,31
MUJEEB-UR-RAHMAN,2018-05-04,2,37,9.25,1.0,25.14,6.5,1.0,25.25,6.31,50
MUJEEB-UR-RAHMAN,2018-05-06,3,27,6.75,1.12,26.62,6.84,1.5,27.75,6.94,77
MUJEEB-UR-RAHMAN,2018-05-08,2,21,5.25,1.33,26.67,6.83,2.0,26.5,6.62,54
MUJEEB-UR-RAHMAN,2018-05-12,0,28,12.73,1.4,26.1,6.68,2.0,25.5,6.38,0
MUJEEB-UR-RAHMAN,2019-03-25,2,31,7.75,1.27,26.27,7.23,1.75,28.25,8.5,50
MUJEEB-UR-RAHMAN,2019-04-01,0,36,9.0,1.33,26.67,7.27,1.75,26.75,8.12,0
MUJEEB-UR-RAHMAN,2019-04-08,1,34,8.5,1.23,27.38,7.4,1.0,29.0,8.68,25
MUJEEB-UR-RAHMAN,2019-04-16,0,24,8.0,1.21,27.86,7.48,0.75,32.25,9.5,0
MUJEEB-UR-RAHMAN,2019-04-29,0,66,16.5,1.13,27.6,7.52,0.75,31.25,8.31,0
MUJEEB-UR-RAHMAN,2020-10-08,0,39,9.75,1.06,30.0,8.08,0.25,40.0,10.5,0
MUJEEB-UR-RAHMAN,2020-10-10,0,44,11.0,1.0,30.53,8.18,0.25,40.75,10.69,0
MUJEEB-UR-RAHMAN,2021-04-17,2,29,7.25,0.94,31.28,8.33,0.0,43.25,11.31,50
MUJEEB-UR-RAHMAN,2025-03-29,1,28,14.0,1.0,31.16,8.28,0.5,44.5,11.12,25
