Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
MUKESH CHOUDHARY,2022-03-31,0,39,11.82,0.0,0.0,0.0,0.0,0.0,0.0,0
MUKESH CHOUDHARY,2022-04-03,1,52,13.0,0.0,39.0,11.82,0.0,39.0,11.82,25
MUKESH CHOUDHARY,2022-04-09,1,30,7.5,0.5,45.5,12.41,0.5,45.5,12.41,25
MUKESH CHOUDHARY,2022-04-12,1,40,13.33,0.67,40.33,10.77,0.67,40.33,10.77,25
MUKESH CHOUDHARY,2022-04-17,1,18,6.0,0.75,40.25,11.41,0.75,40.25,11.41,27
MUKESH CHOUDHARY,2022-04-21,3,19,6.33,0.8,35.8,10.33,1.0,35.0,9.96,77
MUKESH CHOUDHARY,2022-04-25,0,36,9.0,1.17,33.0,9.66,1.5,26.75,8.29,0
MUKESH CHOUDHARY,2022-05-01,4,46,11.5,1.0,33.43,9.57,1.25,28.25,8.66,100
MUKESH CHOUDHARY,2022-05-04,0,30,10.0,1.38,35.0,9.81,2.0,29.75,8.21,0
MUKESH CHOUDHARY,2022-05-08,2,22,7.33,1.22,34.44,9.83,1.75,32.75,9.21,50
MUKESH CHOUDHARY,2022-05-12,3,23,5.75,1.3,33.2,9.58,1.5,33.5,9.46,79
MUKESH CHOUDHARY,2022-05-15,0,28,9.33,1.45,32.27,9.23,2.25,30.25,8.64,0
MUKESH CHOUDHARY,2022-05-20,0,41,10.25,1.33,31.92,9.24,1.25,25.75,8.1,0
MUKESH CHOUDHARY,2024-04-05,0,27,27.0,1.23,32.62,9.32,1.25,28.5,8.16,0
MUKESH CHOUDHARY,2025-04-05,0,50,12.5,1.14,32.21,10.58,0.75,29.75,13.08,0
MUKESH CHOUDHARY,2025-04-08,1,21,10.5,1.07,33.4,10.71,0.0,36.5,14.77,25
