Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
NITISH RANA,2016-05-15,0,3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6
NITISH RANA,2018-04-08,2,11,11.0,0.0,3.0,3.0,0.0,3.0,3.0,50
NITISH RANA,2018-04-18,2,11,5.5,1.0,7.0,7.0,1.0,7.0,7.0,54
NITISH RANA,2018-04-21,0,0,0.0,1.33,8.33,6.5,1.33,8.33,6.5,6
NITISH RANA,2018-05-06,0,17,8.5,1.0,6.25,4.88,1.0,6.25,4.88,0
NITISH RANA,2018-05-19,0,5,5.0,0.8,8.4,5.6,1.0,9.75,6.25,4
NITISH RANA,2019-03-24,0,9,9.0,0.67,7.83,5.5,0.5,8.25,4.75,0
NITISH RANA,2019-03-30,0,8,8.0,0.57,8.0,6.0,0.0,7.75,5.62,0
NITISH RANA,2019-04-05,1,22,11.0,0.5,8.0,6.25,0.0,9.75,7.62,25
NITISH RANA,2019-04-12,1,12,6.0,0.56,9.56,6.78,0.25,11.0,8.25,27
NITISH RANA,2019-04-25,0,13,13.0,0.6,9.8,6.7,0.5,12.75,8.5,0
NITISH RANA,2019-05-03,1,8,8.0,0.55,10.09,7.27,0.5,13.75,9.5,25
NITISH RANA,2020-10-10,0,7,7.0,0.58,9.92,7.33,0.75,13.75,9.5,0
NITISH RANA,2020-10-29,0,16,16.0,0.54,9.69,7.31,0.5,10.0,8.5,0
NITISH RANA,2021-09-23,0,5,5.0,0.5,10.14,7.93,0.25,11.0,11.0,4
NITISH RANA,2021-10-01,0,7,7.0,0.47,9.8,7.73,0.25,9.0,9.0,0
NITISH RANA,2022-04-28,0,14,14.0,0.44,9.62,7.69,0.0,8.75,8.75,0
NITISH RANA,2022-05-18,0,9,9.0,0.41,9.88,8.06,0.0,10.5,10.5,0
NITISH RANA,2023-04-20,2,17,4.25,0.39,9.83,8.11,0.0,8.75,8.75,56
NITISH RANA,2023-04-26,0,8,8.0,0.47,10.21,7.91,0.5,11.75,8.56,0
NITISH RANA,2023-04-29,0,14,28.0,0.45,10.1,7.91,0.5,12.0,8.81,0
NITISH RANA,2023-05-08,1,7,7.0,0.43,10.29,8.87,0.5,12.0,12.31,25
NITISH RANA,2023-05-11,0,26,26.0,0.45,10.14,8.78,0.75,11.5,11.81,0
NITISH RANA,2023-05-20,0,3,3.0,0.43,10.83,9.53,0.25,13.75,17.25,6
NITISH RANA,2025-03-23,0,9,9.0,0.42,10.5,9.26,0.25,12.5,16.0,0
NITISH RANA,2025-03-26,0,9,9.0,0.4,10.44,9.25,0.25,11.25,11.25,0
