Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
NOOR AHMAD,2023-04-16,1,29,13.18,0.0,0.0,0.0,0.0,0.0,0.0,25
NOOR AHMAD,2023-04-22,2,18,4.5,1.0,29.0,13.18,1.0,29.0,13.18,56
NOOR AHMAD,2023-04-25,3,37,9.25,1.5,23.5,8.84,1.5,23.5,8.84,75
NOOR AHMAD,2023-04-29,2,21,5.25,2.0,28.0,8.98,2.0,28.0,8.98,54
NOOR AHMAD,2023-05-02,0,20,5.0,2.0,26.25,8.04,2.0,26.25,8.04,4
NOOR AHMAD,2023-05-05,2,25,8.33,1.6,25.0,7.44,1.75,24.0,6.0,50
NOOR AHMAD,2023-05-07,1,26,6.5,1.67,25.0,7.58,1.75,25.75,6.96,27
NOOR AHMAD,2023-05-12,0,38,9.5,1.57,25.14,7.43,1.25,23.0,6.27,0
NOOR AHMAD,2023-05-15,0,35,14.0,1.38,26.75,7.69,0.75,27.25,7.33,0
NOOR AHMAD,2023-05-21,2,39,9.75,1.22,27.67,8.39,0.75,31.0,9.58,50
NOOR AHMAD,2023-05-23,1,29,7.25,1.3,28.8,8.53,0.75,34.5,9.94,25
NOOR AHMAD,2023-05-26,0,35,8.75,1.27,28.82,8.41,0.75,35.25,10.12,0
NOOR AHMAD,2023-05-29,2,17,5.67,1.17,29.33,8.44,0.75,34.5,9.94,54
NOOR AHMAD,2024-03-31,1,32,8.0,1.23,28.38,8.23,1.25,30.0,7.86,25
NOOR AHMAD,2024-04-04,2,32,8.0,1.21,28.64,8.21,1.0,28.25,7.42,50
NOOR AHMAD,2024-04-07,0,22,5.5,1.27,28.87,8.2,1.25,29.0,7.6,4
NOOR AHMAD,2024-04-10,0,43,10.75,1.19,28.44,8.03,1.25,25.75,6.79,0
NOOR AHMAD,2024-04-17,0,14,9.33,1.12,29.29,8.19,0.75,32.25,8.06,0
NOOR AHMAD,2024-04-21,2,20,5.0,1.06,28.44,8.25,0.5,27.75,8.4,54
NOOR AHMAD,2024-04-24,1,36,12.0,1.11,28.0,8.08,0.5,24.75,7.64,25
NOOR AHMAD,2024-04-28,0,43,10.75,1.1,28.4,8.28,0.75,28.25,9.27,0
NOOR AHMAD,2024-05-04,2,23,5.75,1.05,29.1,8.39,0.75,28.25,9.27,54
NOOR AHMAD,2024-05-10,0,25,12.5,1.09,28.82,8.27,1.25,30.5,8.38,0
NOOR AHMAD,2025-03-23,4,18,4.5,1.04,28.65,8.46,0.75,31.75,10.25,106
NOOR AHMAD,2025-03-28,3,36,9.0,1.17,28.21,8.29,1.5,27.25,8.38,75
NOOR AHMAD,2025-03-30,2,28,7.0,1.24,28.52,8.32,2.25,25.5,7.94,50
NOOR AHMAD,2025-04-05,1,36,12.0,1.27,28.5,8.27,2.25,26.75,8.25,25
NOOR AHMAD,2025-04-08,1,32,10.67,1.26,28.78,8.41,2.5,29.5,8.12,25
NOOR AHMAD,2025-04-11,1,8,4.0,1.25,28.89,8.49,1.75,33.0,9.67,31
NOOR AHMAD,2025-04-14,0,13,3.25,1.24,28.17,8.33,1.25,26.0,8.42,6
NOOR AHMAD,2025-04-20,0,36,12.0,1.2,27.67,8.16,0.75,22.25,7.48,0
