Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
PAT CUMMINS,2014-05-20,1,29,7.25,0.0,0.0,0.0,0.0,0.0,0.0,25
PAT CUMMINS,2015-04-28,0,25,6.25,1.0,29.0,7.25,1.0,29.0,7.25,2
PAT CUMMINS,2015-04-30,1,54,13.5,0.5,27.0,6.75,0.5,27.0,6.75,25
PAT CUMMINS,2015-05-02,0,18,9.0,0.67,36.0,9.0,0.67,36.0,9.0,0
PAT CUMMINS,2017-04-08,1,29,7.25,0.5,31.5,9.0,0.5,31.5,9.0,25
PAT CUMMINS,2017-04-11,2,24,7.74,0.6,31.0,8.65,0.5,31.5,9.0,50
PAT CUMMINS,2017-04-15,2,23,5.75,0.83,29.83,8.5,1.0,31.25,9.37,54
PAT CUMMINS,2017-04-17,2,39,9.75,1.0,28.86,8.11,1.25,23.5,7.44,50
PAT CUMMINS,2017-04-19,0,37,9.25,1.12,30.12,8.31,1.75,28.75,7.62,0
PAT CUMMINS,2017-04-22,2,20,5.0,1.0,30.89,8.42,1.5,30.75,8.12,54
PAT CUMMINS,2017-04-28,0,22,7.33,1.1,29.8,8.07,1.5,29.75,7.44,0
PAT CUMMINS,2017-05-04,2,30,7.5,1.0,29.09,8.01,1.0,29.5,7.83,50
PAT CUMMINS,2017-05-06,0,59,14.75,1.08,29.17,7.96,1.0,27.25,7.27,0
PAT CUMMINS,2017-05-10,1,38,9.5,1.0,31.46,8.49,1.0,32.75,8.64,25
PAT CUMMINS,2017-05-12,1,31,7.75,1.0,31.93,8.56,0.75,37.25,9.77,25
PAT CUMMINS,2017-05-14,2,21,5.25,1.0,31.87,8.5,1.0,39.5,9.88,54
PAT CUMMINS,2020-09-23,0,49,16.33,1.06,31.19,8.3,1.0,37.25,9.31,0
PAT CUMMINS,2020-09-26,1,19,4.75,1.0,32.24,8.77,1.0,34.75,9.71,31
PAT CUMMINS,2020-09-30,1,13,4.33,1.0,31.5,8.55,1.0,30.0,8.52,31
PAT CUMMINS,2020-10-03,0,49,12.25,1.0,30.53,8.33,1.0,25.5,7.66,0
PAT CUMMINS,2020-10-07,0,25,6.25,0.95,31.45,8.52,0.5,32.5,9.41,2
PAT CUMMINS,2020-10-10,0,29,7.25,0.9,31.14,8.42,0.5,26.5,6.9,0
PAT CUMMINS,2020-10-12,0,38,9.5,0.86,31.05,8.36,0.25,29.0,7.52,0
PAT CUMMINS,2020-10-16,0,28,9.33,0.83,31.35,8.41,0.0,35.25,8.81,0
PAT CUMMINS,2020-10-18,1,28,7.0,0.79,31.21,8.45,0.0,30.0,8.08,25
PAT CUMMINS,2020-10-21,0,18,6.0,0.8,31.08,8.39,0.25,30.75,8.27,2
PAT CUMMINS,2020-10-24,3,17,4.25,0.77,30.58,8.3,0.25,28.0,7.96,81
PAT CUMMINS,2020-10-26,0,31,7.75,0.85,30.07,8.15,1.0,22.75,6.64,0
PAT CUMMINS,2020-10-29,2,31,7.75,0.82,30.11,8.14,1.0,23.5,6.25,50
PAT CUMMINS,2020-11-01,4,34,8.5,0.86,30.14,8.12,1.25,24.25,6.44,100
PAT CUMMINS,2021-04-11,1,30,7.5,0.97,30.27,8.14,2.25,28.25,7.06,25
PAT CUMMINS,2021-04-13,2,24,6.0,0.97,30.26,8.11,1.75,31.5,7.88,52
PAT CUMMINS,2021-04-18,1,34,8.5,1.0,30.06,8.05,2.25,29.75,7.44,25
PAT CUMMINS,2021-04-21,0,58,14.5,1.0,30.18,8.06,2.0,30.5,7.62,0
PAT CUMMINS,2021-04-24,0,36,10.29,0.97,31.0,8.25,1.0,36.5,9.12,0
PAT CUMMINS,2021-04-26,2,31,10.33,0.94,31.14,8.31,0.75,38.0,9.82,50
PAT CUMMINS,2021-04-29,3,24,6.0,0.97,31.14,8.37,0.75,39.75,10.9,77
PAT CUMMINS,2022-04-06,2,49,12.25,1.03,30.95,8.3,1.25,37.25,10.28,50
PAT CUMMINS,2022-04-10,0,51,12.75,1.05,31.42,8.41,1.75,35.0,9.72,0
PAT CUMMINS,2022-04-15,1,40,11.43,1.03,31.92,8.52,1.75,38.75,10.33,25
PAT CUMMINS,2022-04-18,1,50,12.5,1.02,32.12,8.59,1.5,41.0,10.61,25
PAT CUMMINS,2022-05-09,3,22,5.5,1.02,32.56,8.69,1.0,47.5,12.23,79
PAT CUMMINS,2024-03-23,1,32,8.0,1.07,32.31,8.61,1.25,40.75,10.54,25
PAT CUMMINS,2024-03-27,2,35,8.75,1.07,32.3,8.6,1.5,36.0,9.36,50
PAT CUMMINS,2024-03-31,1,28,7.0,1.09,32.36,8.6,1.75,34.75,8.69,25
PAT CUMMINS,2024-04-05,1,29,7.25,1.09,32.27,8.56,1.75,29.25,7.31,25
PAT CUMMINS,2024-04-09,1,22,5.5,1.09,32.2,8.54,1.25,31.0,7.75,29
PAT CUMMINS,2024-04-15,3,43,10.75,1.09,31.98,8.47,1.25,28.5,7.12,75
PAT CUMMINS,2024-04-20,0,35,8.75,1.12,32.21,8.52,1.5,30.5,7.62,0
PAT CUMMINS,2024-04-25,1,55,13.75,1.1,32.27,8.52,1.25,32.25,8.06,25
PAT CUMMINS,2024-04-28,0,49,12.25,1.1,32.72,8.63,1.25,38.75,9.69,0
PAT CUMMINS,2024-05-02,2,34,8.5,1.08,33.04,8.7,1.0,45.5,11.38,50
PAT CUMMINS,2024-05-06,1,35,8.75,1.1,33.06,8.69,0.75,43.25,10.81,25
PAT CUMMINS,2024-05-08,1,47,11.75,1.09,33.09,8.7,1.0,43.25,10.81,25
PAT CUMMINS,2024-05-19,1,36,9.0,1.09,33.35,8.75,1.0,41.25,10.31,25
PAT CUMMINS,2024-05-21,1,38,12.67,1.09,33.4,8.76,1.25,38.0,9.5,25
PAT CUMMINS,2024-05-24,1,30,7.5,1.09,33.48,8.83,1.0,39.0,10.54,25
PAT CUMMINS,2024-05-26,1,18,9.0,1.09,33.42,8.8,1.0,37.75,10.23,25
PAT CUMMINS,2025-03-23,0,60,15.0,1.09,33.16,8.81,1.0,30.5,9.54,0
PAT CUMMINS,2025-03-27,2,29,9.67,1.07,33.61,8.91,0.75,36.5,11.04,50
PAT CUMMINS,2025-03-30,0,27,13.5,1.08,33.53,8.92,1.0,34.25,10.29,0
PAT CUMMINS,2025-04-03,1,44,11.0,1.07,33.43,9.0,0.75,33.5,11.79,25
PAT CUMMINS,2025-04-06,1,26,7.65,1.06,33.6,9.03,0.75,40.0,12.29,25
