Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
RAVI BISHNOI,2020-09-20,1,22,5.5,0.0,0.0,0.0,0.0,0.0,0.0,29
RAVI BISHNOI,2020-09-24,3,32,8.0,1.0,22.0,5.5,1.0,22.0,5.5,75
RAVI BISHNOI,2020-09-27,0,34,8.5,2.0,27.0,6.75,2.0,27.0,6.75,0
RAVI BISHNOI,2020-10-01,0,37,9.25,1.33,29.33,7.33,1.33,29.33,7.33,0
RAVI BISHNOI,2020-10-04,0,33,8.25,1.0,31.25,7.81,1.0,31.25,7.81,0
RAVI BISHNOI,2020-10-08,3,29,9.67,0.8,31.6,7.9,0.75,34.0,8.5,75
RAVI BISHNOI,2020-10-10,1,25,6.25,1.17,31.17,8.2,0.75,33.25,8.92,27
RAVI BISHNOI,2020-10-15,0,29,9.67,1.14,30.29,7.92,1.0,31.0,8.36,0
RAVI BISHNOI,2020-10-18,1,12,6.0,1.0,30.12,8.14,1.0,29.0,8.46,27
RAVI BISHNOI,2020-10-20,0,24,8.0,1.0,28.11,7.9,1.25,23.75,7.9,0
RAVI BISHNOI,2020-10-24,1,13,3.25,0.9,27.7,7.91,0.5,22.5,7.48,31
RAVI BISHNOI,2020-10-26,2,20,5.0,0.91,26.36,7.49,0.5,19.5,6.73,54
RAVI BISHNOI,2020-10-30,0,27,6.75,1.0,25.83,7.28,1.0,17.25,5.56,2
RAVI BISHNOI,2020-11-01,0,39,9.75,0.92,25.92,7.24,0.75,21.0,5.75,0
RAVI BISHNOI,2021-04-23,2,21,5.25,0.86,26.86,7.42,0.75,24.75,6.19,54
RAVI BISHNOI,2021-04-26,0,19,4.75,0.93,26.47,7.27,1.0,26.75,6.69,6
RAVI BISHNOI,2021-04-30,2,17,4.25,0.88,26.0,7.12,0.5,26.5,6.62,56
RAVI BISHNOI,2021-05-02,0,42,10.5,0.94,25.47,6.95,1.0,24.0,6.0,0
RAVI BISHNOI,2021-09-25,3,24,6.0,0.89,26.39,7.14,1.0,24.75,6.19,77
RAVI BISHNOI,2021-09-28,2,25,6.25,1.0,26.26,7.08,1.25,25.5,6.38,52
RAVI BISHNOI,2021-10-01,2,22,5.5,1.05,26.2,7.04,1.75,27.0,6.75,54
RAVI BISHNOI,2021-10-03,0,35,8.75,1.1,26.0,6.97,1.75,28.25,7.06,0
RAVI BISHNOI,2021-10-07,1,25,6.25,1.05,26.41,7.05,1.75,26.5,6.62,27
RAVI BISHNOI,2022-03-28,0,34,8.5,1.04,26.35,7.01,1.25,26.75,6.69,0
RAVI BISHNOI,2022-03-31,2,24,6.0,1.0,26.67,7.08,0.75,29.0,7.25,52
RAVI BISHNOI,2022-04-04,0,29,7.25,1.04,26.56,7.03,0.75,29.5,7.38,0
RAVI BISHNOI,2022-04-07,2,22,5.5,1.0,26.65,7.04,0.75,28.0,7.0,54
