Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
RAVICHANDRAN ASHWIN,2009-05-20,2,13,3.25,0.0,0.0,0.0,0.0,0.0,0.0,56
RAVICHANDRAN ASHWIN,2010-03-14,1,26,6.5,2.0,13.0,3.25,2.0,13.0,3.25,27
RAVICHANDRAN ASHWIN,2010-03-16,1,22,5.5,1.5,19.5,4.88,1.5,19.5,4.88,29
RAVICHANDRAN ASHWIN,2010-03-19,1,40,10.0,1.33,20.33,5.08,1.33,20.33,5.08,25
RAVICHANDRAN ASHWIN,2010-03-21,0,32,8.0,1.25,25.25,6.31,1.25,25.25,6.31,0
RAVICHANDRAN ASHWIN,2010-03-23,0,40,10.0,1.0,26.6,6.65,0.75,30.0,7.5,0
RAVICHANDRAN ASHWIN,2010-04-06,2,22,5.5,0.83,28.83,7.21,0.5,33.5,8.38,54
RAVICHANDRAN ASHWIN,2010-04-10,2,13,3.25,1.0,27.86,6.96,0.75,33.5,8.38,56
RAVICHANDRAN ASHWIN,2010-04-13,3,16,4.0,1.12,26.0,6.5,1.0,26.75,6.69,81
RAVICHANDRAN ASHWIN,2010-04-15,1,24,6.0,1.33,24.89,6.22,1.75,22.75,5.69,27
RAVICHANDRAN ASHWIN,2010-04-18,1,20,5.0,1.3,24.8,6.2,2.0,18.75,4.69,29
RAVICHANDRAN ASHWIN,2010-04-22,1,14,3.5,1.27,24.36,6.09,1.75,18.25,4.56,31
RAVICHANDRAN ASHWIN,2010-04-25,0,24,6.0,1.25,23.5,5.88,1.5,18.5,4.62,2
RAVICHANDRAN ASHWIN,2011-04-08,1,26,6.5,1.15,23.54,5.88,0.75,20.5,5.12,27
RAVICHANDRAN ASHWIN,2011-04-13,0,37,9.25,1.14,23.71,5.93,0.75,21.0,5.25,0
RAVICHANDRAN ASHWIN,2011-04-16,1,23,5.75,1.07,24.6,6.15,0.5,25.25,6.31,29
RAVICHANDRAN ASHWIN,2011-04-18,2,31,7.75,1.06,24.5,6.12,0.5,27.5,6.88,50
RAVICHANDRAN ASHWIN,2011-04-22,0,26,6.5,1.12,24.88,6.22,1.0,29.25,7.31,2
RAVICHANDRAN ASHWIN,2011-04-25,2,19,4.75,1.06,24.94,6.24,0.75,29.25,7.31,56
RAVICHANDRAN ASHWIN,2011-04-27,1,29,7.25,1.11,24.63,6.16,1.25,24.75,6.19,25
RAVICHANDRAN ASHWIN,2011-05-01,0,23,5.75,1.1,24.85,6.21,1.25,26.25,6.56,4
