Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
SAM CURRAN,2019-03-25,2,52,13.0,0.0,0.0,0.0,0.0,0.0,0.0,50
SAM CURRAN,2019-04-01,4,11,5.0,2.0,52.0,13.0,2.0,52.0,13.0,104
SAM CURRAN,2019-04-06,0,35,8.75,3.0,31.5,9.0,3.0,31.5,9.0,0
SAM CURRAN,2019-04-08,0,30,7.5,2.0,32.67,8.92,2.0,32.67,8.92,0
SAM CURRAN,2019-04-10,1,54,13.5,1.5,32.0,8.56,1.5,32.0,8.56,25
SAM CURRAN,2019-04-13,0,31,10.33,1.4,36.4,9.55,1.25,32.5,8.69,0
SAM CURRAN,2019-04-20,0,34,10.0,1.17,35.5,9.68,0.25,37.5,10.02,0
SAM CURRAN,2019-05-03,0,41,10.25,1.0,35.29,9.73,0.25,37.25,10.33,0
SAM CURRAN,2019-05-05,3,35,8.75,0.88,36.0,9.79,0.25,40.0,11.02,75
SAM CURRAN,2020-09-19,1,28,7.0,1.11,35.89,9.68,0.75,35.25,9.83,25
SAM CURRAN,2020-09-22,3,33,8.25,1.1,35.1,9.41,1.0,34.5,9.0,75
SAM CURRAN,2020-09-25,1,27,6.75,1.27,34.91,9.3,1.75,34.25,8.56,27
SAM CURRAN,2020-10-02,0,37,12.33,1.25,34.25,9.09,2.0,30.75,7.69,0
SAM CURRAN,2020-10-04,0,31,10.33,1.15,34.46,9.34,1.25,31.25,8.58,0
SAM CURRAN,2020-10-07,2,26,6.5,1.07,34.21,9.41,1.0,32.0,9.42,52
SAM CURRAN,2020-10-10,1,48,12.0,1.13,33.67,9.22,0.75,30.25,8.98,25
SAM CURRAN,2020-10-13,1,18,6.0,1.12,34.56,9.39,0.75,35.5,10.29,27
SAM CURRAN,2020-10-17,1,35,8.75,1.12,33.59,9.19,1.0,30.75,8.71,25
SAM CURRAN,2020-10-19,0,6,6.0,1.11,33.67,9.17,1.25,31.75,8.31,2
SAM CURRAN,2020-10-25,3,19,6.33,1.05,32.21,9.0,0.75,26.75,8.19,77
SAM CURRAN,2020-10-29,0,21,7.0,1.15,31.55,8.87,1.25,19.5,6.77,0
SAM CURRAN,2020-11-01,0,15,7.5,1.1,31.05,8.78,1.0,20.25,7.02,0
SAM CURRAN,2021-04-10,0,24,12.0,1.05,30.32,8.72,0.75,15.25,6.71,0
SAM CURRAN,2021-04-16,1,12,4.0,1.0,30.04,8.86,0.75,19.75,8.21,31
SAM CURRAN,2021-04-19,2,24,6.0,1.0,29.29,8.66,0.25,18.0,7.62,52
SAM CURRAN,2021-04-21,1,58,14.5,1.04,29.08,8.55,0.75,18.75,7.38,25
SAM CURRAN,2021-04-25,1,35,8.75,1.04,30.19,8.78,1.0,29.5,9.12,25
SAM CURRAN,2021-04-28,1,30,7.5,1.04,30.37,8.78,1.25,32.25,8.31,25
SAM CURRAN,2021-05-01,3,34,8.5,1.04,30.36,8.73,1.25,36.75,9.19,75
SAM CURRAN,2021-09-26,0,56,14.0,1.1,30.48,8.73,1.5,39.25,9.81,0
SAM CURRAN,2021-10-02,0,55,13.75,1.07,31.33,8.9,1.25,38.75,9.69,0
SAM CURRAN,2023-04-01,1,38,12.67,1.03,32.1,9.06,1.0,43.75,10.94,25
SAM CURRAN,2023-04-05,0,44,11.0,1.03,32.28,9.17,1.0,45.75,12.23,0
SAM CURRAN,2023-04-09,0,14,4.67,1.0,32.64,9.23,0.25,48.25,12.86,6
SAM CURRAN,2023-04-13,1,25,7.14,0.97,32.09,9.09,0.25,37.75,10.52,25
SAM CURRAN,2023-04-15,3,31,7.75,0.97,31.89,9.04,0.5,30.25,8.87,75
SAM CURRAN,2023-04-20,0,27,6.75,1.03,31.86,9.0,1.0,28.5,7.64,2
SAM CURRAN,2023-04-22,0,41,13.67,1.0,31.73,8.94,1.0,24.25,6.58,0
SAM CURRAN,2023-04-28,1,38,12.67,0.97,31.97,9.07,1.0,31.0,8.83,25
SAM CURRAN,2023-04-30,1,46,11.5,0.97,32.13,9.16,1.0,34.25,10.21,25
SAM CURRAN,2023-05-03,0,41,13.67,0.98,32.48,9.22,0.5,38.0,11.15,0
SAM CURRAN,2023-05-08,0,44,14.67,0.95,32.68,9.32,0.5,41.5,12.88,0
SAM CURRAN,2023-05-13,0,18,9.0,0.93,32.95,9.45,0.5,42.25,13.13,0
SAM CURRAN,2023-05-17,2,36,9.0,0.91,32.6,9.44,0.25,37.25,12.21,50
SAM CURRAN,2023-05-19,1,46,11.5,0.93,32.68,9.43,0.5,34.75,11.58,25
SAM CURRAN,2024-03-23,0,10,10.0,0.93,32.98,9.48,0.75,36.0,11.04,0
SAM CURRAN,2024-03-25,1,30,10.0,0.91,32.48,9.49,0.75,27.5,9.88,25
SAM CURRAN,2024-03-30,3,28,7.0,0.91,32.43,9.5,1.0,30.5,10.12,75
SAM CURRAN,2024-04-04,0,18,9.0,0.96,32.33,9.45,1.25,28.5,9.62,0
SAM CURRAN,2024-04-09,2,41,10.25,0.94,32.04,9.44,1.0,21.5,9.0,50
SAM CURRAN,2024-04-13,2,25,6.25,0.96,32.22,9.45,1.5,29.25,9.06,52
SAM CURRAN,2024-04-18,2,41,10.25,0.98,32.08,9.39,1.75,28.0,8.12,50
SAM CURRAN,2024-04-21,1,18,9.0,1.0,32.25,9.41,1.5,31.25,8.94,25
SAM CURRAN,2024-04-26,1,60,15.0,1.0,31.98,9.4,1.75,31.25,8.94,25
SAM CURRAN,2024-05-01,0,37,12.33,1.0,32.5,9.5,1.5,36.0,10.12,0
SAM CURRAN,2024-05-05,1,34,8.5,0.98,32.58,9.56,1.0,39.0,11.64,25
SAM CURRAN,2024-05-09,1,50,16.67,0.98,32.61,9.54,0.75,37.25,11.21,25
SAM CURRAN,2024-05-15,2,24,8.0,0.98,32.91,9.66,0.75,45.25,13.12,50
SAM CURRAN,2025-03-23,0,13,13.0,1.0,32.76,9.63,1.0,36.25,11.38,0
SAM CURRAN,2025-03-28,0,34,11.33,0.98,32.42,9.69,1.0,30.25,11.54,0
