Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
SIMARJEET SINGH,2022-05-01,0,24,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SIMARJEET SINGH,2022-05-04,0,21,10.5,0.0,24.0,12.0,0.0,24.0,12.0,0
SIMARJEET SINGH,2022-05-08,2,27,6.75,0.0,22.5,11.25,0.0,22.5,11.25,52
SIMARJEET SINGH,2022-05-12,1,22,5.5,0.67,24.0,9.75,0.67,24.0,9.75,29
SIMARJEET SINGH,2022-05-15,0,26,8.67,0.75,23.5,8.69,0.75,23.5,8.69,0
SIMARJEET SINGH,2022-05-20,1,18,6.0,0.6,24.0,8.68,0.75,24.0,7.86,27
SIMARJEET SINGH,2024-05-05,2,16,5.33,0.67,23.0,8.24,1.0,23.25,6.73,54
SIMARJEET SINGH,2024-05-10,0,60,15.0,0.86,22.0,7.82,1.0,20.5,6.38,0
SIMARJEET SINGH,2024-05-12,3,26,6.5,0.75,26.75,8.72,0.75,30.0,8.75,77
SIMARJEET SINGH,2024-05-18,0,19,19.0,1.0,26.67,8.47,1.5,30.0,8.21,0
SIMARJEET SINGH,2025-03-23,2,46,15.33,0.9,25.9,9.52,1.25,30.25,11.46,50
SIMARJEET SINGH,2025-03-27,0,28,14.0,1.0,27.73,10.05,1.25,37.75,13.96,0
SIMARJEET SINGH,2025-04-03,0,47,11.75,0.92,27.75,10.38,1.25,29.75,13.71,0
SIMARJEET SINGH,2025-04-06,0,20,20.0,0.85,29.23,10.49,0.5,35.0,15.02,0
