Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
SUNIL NARINE,2012-04-08,0,29,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0
SUNIL NARINE,2012-04-13,1,22,5.5,0.0,29.0,7.25,0.0,29.0,7.25,29
SUNIL NARINE,2012-04-15,5,19,4.75,0.5,25.5,6.38,0.5,25.5,6.38,131
SUNIL NARINE,2012-04-18,2,24,6.0,2.0,23.33,5.83,2.0,23.33,5.83,52
SUNIL NARINE,2012-04-22,2,26,6.5,2.0,23.5,5.88,2.0,23.5,5.88,52
SUNIL NARINE,2012-04-28,1,11,2.75,2.0,24.0,6.0,2.5,22.75,5.69,31
SUNIL NARINE,2012-04-30,1,24,6.0,1.83,21.83,5.46,2.5,20.0,5.0,27
SUNIL NARINE,2012-05-05,1,13,3.25,1.71,22.14,5.54,1.5,21.25,5.31,31
SUNIL NARINE,2012-05-07,2,23,5.75,1.62,21.0,5.25,1.25,18.5,4.62,54
SUNIL NARINE,2012-05-12,0,28,7.0,1.67,21.22,5.31,1.25,17.75,4.44,0
SUNIL NARINE,2012-05-14,2,14,3.5,1.5,21.9,5.48,1.0,22.0,5.5,56
SUNIL NARINE,2012-05-16,4,15,4.84,1.55,21.18,5.3,1.25,19.5,4.88,106
SUNIL NARINE,2012-05-19,1,15,3.75,1.75,20.67,5.26,2.0,20.0,5.27,31
SUNIL NARINE,2012-05-22,2,24,6.0,1.69,20.23,5.14,1.75,18.0,4.77,52
SUNIL NARINE,2012-05-27,0,37,9.25,1.71,20.5,5.2,2.25,17.0,4.52,0
SUNIL NARINE,2013-04-03,4,13,3.25,1.6,21.6,5.47,1.75,22.75,5.96,106
SUNIL NARINE,2013-04-08,2,28,7.0,1.75,21.06,5.33,1.75,22.25,5.56,50
SUNIL NARINE,2013-04-11,0,17,4.25,1.76,21.47,5.43,2.0,25.5,6.38,6
SUNIL NARINE,2013-04-14,1,31,7.75,1.67,21.22,5.37,1.5,23.75,5.94,25
SUNIL NARINE,2013-04-16,3,33,8.25,1.63,21.74,5.49,1.75,22.25,5.56,75
SUNIL NARINE,2013-04-20,1,20,5.0,1.7,22.3,5.63,1.5,27.25,6.81,29
SUNIL NARINE,2013-04-24,3,17,4.25,1.67,22.19,5.6,1.25,25.25,6.31,81
SUNIL NARINE,2013-04-26,0,22,5.5,1.73,21.95,5.54,2.0,25.25,6.31,4
SUNIL NARINE,2013-04-28,1,35,8.75,1.65,21.96,5.54,1.75,23.0,5.75,25
SUNIL NARINE,2013-05-01,0,14,3.5,1.62,22.5,5.67,1.25,23.5,5.88,6
SUNIL NARINE,2013-05-03,1,20,5.0,1.56,22.16,5.58,1.0,22.0,5.5,29
SUNIL NARINE,2013-05-07,0,29,7.25,1.54,22.08,5.56,0.5,22.75,5.69,0
SUNIL NARINE,2013-05-09,2,12,3.0,1.48,22.33,5.62,0.5,24.5,6.12,56
SUNIL NARINE,2013-05-12,4,22,5.5,1.5,21.96,5.53,0.75,18.75,4.69,104
SUNIL NARINE,2013-05-15,0,26,6.5,1.59,21.97,5.53,1.75,20.75,5.19,2
SUNIL NARINE,2013-05-19,0,11,2.75,1.53,22.1,5.56,1.5,22.25,5.56,6
SUNIL NARINE,2014-04-16,4,20,5.0,1.48,21.74,5.47,1.5,17.75,4.44,104
SUNIL NARINE,2014-04-19,1,18,4.5,1.56,21.69,5.46,2.0,19.75,4.94,31
SUNIL NARINE,2014-04-24,1,17,4.25,1.55,21.58,5.43,1.25,18.75,4.69,31
SUNIL NARINE,2014-04-26,3,24,6.0,1.53,21.44,5.39,1.5,16.5,4.12,77
SUNIL NARINE,2014-04-29,0,28,7.0,1.57,21.51,5.41,2.25,19.75,4.94,0
SUNIL NARINE,2014-05-02,0,26,6.5,1.53,21.69,5.45,1.25,21.75,5.44,2
SUNIL NARINE,2014-05-05,2,28,7.0,1.49,21.81,5.48,1.0,23.75,5.94,50
SUNIL NARINE,2014-05-07,1,38,9.5,1.5,21.97,5.52,1.25,26.5,6.62,25
SUNIL NARINE,2014-05-11,1,30,7.5,1.49,22.38,5.62,0.75,30.0,7.5,25
SUNIL NARINE,2014-05-14,1,18,4.5,1.48,22.58,5.67,1.0,30.5,7.62,31
SUNIL NARINE,2014-05-18,1,21,5.25,1.46,22.46,5.64,1.25,28.5,7.12,29
SUNIL NARINE,2014-05-20,1,24,6.0,1.45,22.43,5.63,1.0,26.75,6.69,27
SUNIL NARINE,2014-05-22,4,20,5.0,1.44,22.47,5.64,1.0,23.25,5.81,104
SUNIL NARINE,2014-05-24,0,19,4.75,1.5,22.41,5.63,1.75,20.75,5.19,6
SUNIL NARINE,2014-05-28,0,30,7.5,1.47,22.33,5.61,1.5,21.0,5.25,0
SUNIL NARINE,2014-06-01,1,46,11.5,1.43,22.5,5.65,1.25,23.25,5.81,25
SUNIL NARINE,2015-04-08,0,28,7.0,1.43,23.0,5.77,1.25,28.75,7.19,0
SUNIL NARINE,2015-04-11,0,26,6.5,1.4,23.1,5.8,0.25,30.75,7.69,2
SUNIL NARINE,2015-04-18,1,17,4.25,1.37,23.16,5.81,0.25,32.5,8.12,31
SUNIL NARINE,2015-04-20,1,38,9.5,1.36,23.04,5.78,0.5,29.25,7.31,25
SUNIL NARINE,2015-04-22,0,38,9.5,1.35,23.33,5.85,0.5,27.25,6.81,0
SUNIL NARINE,2015-05-07,0,30,7.5,1.33,23.62,5.92,0.5,29.75,7.44,0
SUNIL NARINE,2015-05-09,4,19,4.75,1.3,23.74,5.95,0.5,30.75,7.69,106
SUNIL NARINE,2015-05-14,1,38,9.5,1.35,23.65,5.93,1.25,31.25,7.81,25
SUNIL NARINE,2016-04-16,0,26,6.5,1.35,23.91,6.0,1.25,31.25,7.81,2
SUNIL NARINE,2016-04-19,2,22,5.5,1.32,23.95,6.01,1.25,28.25,7.06,54
SUNIL NARINE,2016-04-24,1,32,8.0,1.33,23.91,6.0,1.75,26.25,6.56,25
SUNIL NARINE,2016-04-28,2,22,5.5,1.33,24.05,6.03,1.0,29.5,7.38,54
SUNIL NARINE,2016-04-30,1,22,7.33,1.34,24.02,6.02,1.25,25.5,6.38,25
SUNIL NARINE,2016-05-02,0,45,11.25,1.33,23.98,6.04,1.5,24.5,6.58,0
SUNIL NARINE,2016-05-14,0,10,2.94,1.31,24.33,6.13,1.0,30.25,8.02,6
SUNIL NARINE,2016-05-16,1,34,8.5,1.29,24.1,6.08,0.75,24.75,6.76,25
SUNIL NARINE,2016-05-19,1,30,7.5,1.29,24.25,6.12,0.5,27.75,7.5,25
SUNIL NARINE,2016-05-22,3,26,6.5,1.28,24.34,6.14,0.5,29.75,7.55,77
SUNIL NARINE,2016-05-25,0,35,8.75,1.31,24.37,6.14,1.25,25.0,6.36,0
SUNIL NARINE,2017-04-07,0,33,8.25,1.29,24.53,6.18,1.25,31.25,7.81,0
SUNIL NARINE,2017-04-09,1,22,5.5,1.27,24.66,6.21,1.0,31.0,7.75,29
SUNIL NARINE,2017-04-13,1,19,4.75,1.26,24.62,6.2,1.0,29.0,7.25,31
SUNIL NARINE,2017-04-15,1,18,4.5,1.26,24.54,6.18,0.5,27.25,6.81,31
SUNIL NARINE,2017-04-17,1,20,5.0,1.26,24.44,6.16,0.75,23.0,5.75,29
SUNIL NARINE,2017-04-21,0,42,10.5,1.25,24.38,6.14,1.0,19.75,4.94,0
