Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
SWAPNIL SINGH,2016-05-04,0,29,9.67,0.0,0.0,0.0,0.0,0.0,0.0,0
SWAPNIL SINGH,2017-04-08,1,14,7.0,0.0,29.0,9.67,0.0,29.0,9.67,25
SWAPNIL SINGH,2017-04-20,0,22,11.0,0.5,21.5,8.34,0.5,21.5,8.34,0
SWAPNIL SINGH,2017-05-09,0,19,9.5,0.33,21.67,9.22,0.33,21.67,9.22,0
SWAPNIL SINGH,2017-05-14,0,6,6.0,0.25,21.0,9.29,0.25,21.0,9.29,2
SWAPNIL SINGH,2023-05-07,0,7,7.0,0.2,18.0,8.63,0.25,15.25,8.38,0
SWAPNIL SINGH,2023-05-16,0,11,11.0,0.17,16.17,8.36,0.0,13.5,8.38,0
SWAPNIL SINGH,2024-04-25,2,40,13.33,0.14,15.43,8.74,0.0,10.75,8.38,50
SWAPNIL SINGH,2024-04-28,1,23,7.67,0.38,18.5,9.31,0.5,16.0,9.33,25
SWAPNIL SINGH,2024-05-04,0,1,1.0,0.44,19.0,9.13,0.75,20.25,9.75,6
SWAPNIL SINGH,2024-05-09,2,28,9.33,0.4,17.2,8.32,0.75,18.75,8.25,50
SWAPNIL SINGH,2024-05-12,1,9,9.0,0.55,18.18,8.41,1.25,23.0,7.83,25
SWAPNIL SINGH,2024-05-18,0,13,6.5,0.58,17.42,8.46,1.0,15.25,6.75,2
SWAPNIL SINGH,2024-05-22,0,19,9.5,0.54,17.08,8.31,0.75,12.75,6.46,0
