Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
VAIBHAV ARORA,2022-04-03,2,21,5.25,0.0,0.0,0.0,0.0,0.0,0.0,54
VAIBHAV ARORA,2022-04-08,0,34,8.5,2.0,21.0,5.25,2.0,21.0,5.25,0
VAIBHAV ARORA,2022-04-13,1,43,10.75,1.0,27.5,6.88,1.0,27.5,6.88,25
VAIBHAV ARORA,2022-04-17,0,35,10.0,1.0,32.67,8.17,1.0,32.67,8.17,0
VAIBHAV ARORA,2022-04-20,0,31,15.5,0.75,33.25,8.62,0.75,33.25,8.62,0
VAIBHAV ARORA,2023-04-26,0,22,11.0,0.6,32.8,10.0,0.25,35.75,11.19,0
VAIBHAV ARORA,2023-05-04,2,32,10.67,0.5,31.0,10.17,0.25,32.75,11.81,50
VAIBHAV ARORA,2023-05-08,0,32,10.67,0.71,31.14,10.24,0.5,30.0,11.79,0
VAIBHAV ARORA,2023-05-14,1,30,7.5,0.62,31.25,10.29,0.5,29.25,11.96,25
VAIBHAV ARORA,2023-05-20,2,30,7.5,0.67,31.11,9.98,0.75,29.0,9.96,50
VAIBHAV ARORA,2024-04-03,3,27,6.75,0.8,31.0,9.73,1.25,31.0,9.09,77
VAIBHAV ARORA,2024-04-08,2,28,7.0,1.0,30.64,9.46,1.5,29.75,8.1,50
VAIBHAV ARORA,2024-04-14,1,34,11.33,1.08,30.42,9.26,2.0,28.75,7.19,25
VAIBHAV ARORA,2024-04-16,1,45,15.0,1.08,30.69,9.42,2.0,29.75,8.14,25
VAIBHAV ARORA,2024-04-29,2,29,7.25,1.07,31.71,9.82,1.75,33.5,10.02,50
VAIBHAV ARORA,2024-05-03,0,35,11.67,1.13,31.53,9.64,1.5,34.0,10.14,0
VAIBHAV ARORA,2024-05-05,0,21,10.5,1.06,31.75,9.77,1.0,35.75,11.31,0
VAIBHAV ARORA,2024-05-11,0,16,8.0,1.0,31.12,9.81,0.75,32.5,11.1,0
VAIBHAV ARORA,2024-05-21,1,17,8.5,0.94,30.28,9.71,0.5,25.25,9.36,25
VAIBHAV ARORA,2024-05-26,1,24,8.0,0.95,29.58,9.65,0.25,22.25,9.67,25
VAIBHAV ARORA,2025-03-22,1,42,14.0,0.95,29.3,9.57,0.5,19.5,8.75,25
VAIBHAV ARORA,2025-03-26,2,33,8.25,0.95,29.9,9.78,0.75,24.75,9.62,50
VAIBHAV ARORA,2025-04-03,3,29,7.25,1.0,30.05,9.71,1.25,29.0,9.69,75
VAIBHAV ARORA,2025-04-08,0,35,8.75,1.09,30.0,9.6,1.75,32.0,9.38,0
VAIBHAV ARORA,2025-04-11,1,31,7.75,1.04,30.21,9.57,1.5,34.75,9.56,25
VAIBHAV ARORA,2025-04-15,1,26,11.3,1.04,30.24,9.49,1.5,32.0,8.0,25
VAIBHAV ARORA,2025-04-21,1,44,11.0,1.04,30.08,9.56,1.25,30.25,8.76,25
