Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
VARUN CHAKARAVARTHY,2019-03-27,1,35,11.67,0.0,0.0,0.0,0.0,0.0,0.0,25
VARUN CHAKARAVARTHY,2020-09-26,1,25,6.25,1.0,35.0,11.67,1.0,35.0,11.67,27
VARUN CHAKARAVARTHY,2020-09-30,2,25,6.25,1.0,30.0,8.96,1.0,30.0,8.96,52
VARUN CHAKARAVARTHY,2020-10-03,1,49,12.25,1.33,28.33,8.06,1.33,28.33,8.06,25
VARUN CHAKARAVARTHY,2020-10-07,1,28,7.0,1.25,33.5,9.1,1.25,33.5,9.1,25
VARUN CHAKARAVARTHY,2020-10-10,0,27,6.75,1.2,32.4,8.68,1.25,31.75,7.94,2
VARUN CHAKARAVARTHY,2020-10-12,0,25,6.25,1.0,31.5,8.36,1.0,32.25,8.06,2
VARUN CHAKARAVARTHY,2020-10-16,1,23,5.75,0.86,30.57,8.06,0.5,32.25,8.06,29
VARUN CHAKARAVARTHY,2020-10-18,1,32,8.0,0.88,29.62,7.77,0.5,25.75,6.44,25
VARUN CHAKARAVARTHY,2020-10-21,0,28,7.0,0.89,29.89,7.8,0.5,26.75,6.69,0
VARUN CHAKARAVARTHY,2020-10-24,5,20,5.0,0.8,29.7,7.72,0.5,27.0,6.75,129
VARUN CHAKARAVARTHY,2020-10-26,1,34,8.5,1.18,28.82,7.47,1.75,25.75,6.44,25
VARUN CHAKARAVARTHY,2020-10-29,2,20,5.0,1.17,29.25,7.56,1.75,28.5,7.12,54
VARUN CHAKARAVARTHY,2020-11-01,2,20,5.0,1.23,28.54,7.36,2.0,25.5,6.38,54
VARUN CHAKARAVARTHY,2021-04-11,0,36,9.0,1.29,27.93,7.19,2.5,23.5,5.88,0
VARUN CHAKARAVARTHY,2021-04-13,1,27,6.75,1.2,28.47,7.31,1.25,27.5,6.88,27
VARUN CHAKARAVARTHY,2021-04-18,2,39,9.75,1.19,28.38,7.28,1.25,25.75,6.44,50
VARUN CHAKARAVARTHY,2021-04-21,1,27,6.75,1.24,29.0,7.42,1.25,30.5,7.62,27
VARUN CHAKARAVARTHY,2021-04-24,2,32,8.0,1.22,28.89,7.38,1.0,32.25,8.06,50
VARUN CHAKARAVARTHY,2021-04-26,1,24,6.0,1.26,29.05,7.42,1.5,31.25,7.81,27
VARUN CHAKARAVARTHY,2021-04-29,0,34,8.5,1.25,28.8,7.35,1.5,30.5,7.62,0
VARUN CHAKARAVARTHY,2021-09-20,3,13,3.25,1.19,29.05,7.4,1.0,29.25,7.31,81
VARUN CHAKARAVARTHY,2021-09-23,0,22,5.5,1.27,28.32,7.21,1.5,25.75,6.44,4
VARUN CHAKARAVARTHY,2021-09-26,1,22,5.5,1.22,28.04,7.14,1.0,23.25,5.81,29
VARUN CHAKARAVARTHY,2021-09-28,0,24,6.0,1.21,27.79,7.07,1.0,22.75,5.69,2
VARUN CHAKARAVARTHY,2021-10-01,2,24,6.0,1.16,27.64,7.03,1.0,20.25,5.06,52
VARUN CHAKARAVARTHY,2021-10-03,2,26,6.5,1.19,27.5,6.99,0.75,23.0,5.75,52
VARUN CHAKARAVARTHY,2021-10-07,1,14,3.5,1.22,27.44,6.97,1.25,24.0,6.0,31
VARUN CHAKARAVARTHY,2021-10-11,0,20,5.0,1.21,26.96,6.85,1.25,22.0,5.5,4
VARUN CHAKARAVARTHY,2021-10-13,2,26,6.5,1.17,26.72,6.78,1.25,21.0,5.25,52
VARUN CHAKARAVARTHY,2021-10-15,0,38,9.5,1.2,26.7,6.77,1.25,21.5,5.38,0
VARUN CHAKARAVARTHY,2022-03-26,1,23,5.75,1.16,27.06,6.86,0.75,24.5,6.12,29
VARUN CHAKARAVARTHY,2022-03-30,1,33,8.25,1.16,26.94,6.83,0.75,26.75,6.69,25
VARUN CHAKARAVARTHY,2022-04-01,0,14,3.5,1.15,27.12,6.87,1.0,30.0,7.5,6
VARUN CHAKARAVARTHY,2022-04-06,1,32,8.0,1.12,26.74,6.77,0.5,27.0,6.75,25
VARUN CHAKARAVARTHY,2022-04-10,1,44,11.0,1.11,26.89,6.8,0.75,25.5,6.38,25
VARUN CHAKARAVARTHY,2022-04-15,0,45,15.0,1.11,27.36,6.92,0.75,30.75,7.69,0
