Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
VIJAY SHANKAR,2014-05-13,0,19,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0
VIJAY SHANKAR,2018-04-16,0,12,12.0,0.0,19.0,19.0,0.0,19.0,19.0,0
VIJAY SHANKAR,2018-04-27,0,10,10.0,0.0,15.5,15.5,0.0,15.5,15.5,0
VIJAY SHANKAR,2018-04-30,1,22,11.0,0.0,13.67,13.67,0.0,13.67,13.67,25
VIJAY SHANKAR,2018-05-10,0,14,14.0,0.25,15.75,13.0,0.25,15.75,13.0,0
VIJAY SHANKAR,2019-03-29,0,13,13.0,0.2,15.4,13.2,0.25,14.5,11.75,0
VIJAY SHANKAR,2019-03-31,0,13,6.5,0.17,15.0,13.17,0.25,14.75,12.0,2
VIJAY SHANKAR,2019-04-14,0,17,8.5,0.14,14.71,12.21,0.25,15.5,11.12,0
VIJAY SHANKAR,2019-04-17,1,11,5.5,0.12,15.0,11.75,0.0,14.25,10.5,29
VIJAY SHANKAR,2019-05-04,0,16,16.0,0.22,14.56,11.06,0.25,13.5,8.38,0
VIJAY SHANKAR,2020-09-21,1,14,11.67,0.2,14.7,11.55,0.25,14.25,9.12,25
VIJAY SHANKAR,2020-10-11,0,22,7.33,0.27,14.64,11.56,0.5,14.5,10.42,0
VIJAY SHANKAR,2020-10-18,1,20,5.0,0.25,15.25,11.21,0.5,15.75,10.12,29
VIJAY SHANKAR,2020-10-22,1,15,5.0,0.31,15.62,10.73,0.5,18.0,10.0,29
VIJAY SHANKAR,2020-10-27,1,11,7.33,0.36,15.57,10.32,0.75,17.75,7.25,25
VIJAY SHANKAR,2021-04-11,0,14,14.0,0.4,15.27,10.12,0.75,17.0,6.16,0
VIJAY SHANKAR,2021-04-17,2,19,6.33,0.38,15.19,10.36,0.75,15.0,7.83,52
VIJAY SHANKAR,2021-04-21,0,6,6.0,0.47,15.41,10.13,1.0,14.75,8.16,2
VIJAY SHANKAR,2021-04-25,0,19,6.33,0.44,14.89,9.9,0.75,12.5,8.41,2
VIJAY SHANKAR,2021-05-02,1,42,14.0,0.42,15.11,9.71,0.5,14.5,8.17,25
VIJAY SHANKAR,2022-04-02,0,14,14.0,0.45,16.45,9.92,0.75,21.5,8.17,0
VIJAY SHANKAR,2022-04-14,0,1,3.33,0.43,16.33,10.12,0.25,20.25,10.08,6
