Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
VIRAT KOHLI,2008-04-30,0,11,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0
VIRAT KOHLI,2008-05-12,0,9,9.0,0.0,11.0,11.0,0.0,11.0,11.0,0
VIRAT KOHLI,2008-05-17,0,16,8.0,0.0,10.0,10.0,0.0,10.0,10.0,0
VIRAT KOHLI,2008-05-25,2,25,7.35,0.0,12.0,9.33,0.0,12.0,9.33,50
VIRAT KOHLI,2009-04-20,0,9,9.0,0.5,15.25,8.84,0.5,15.25,8.84,0
VIRAT KOHLI,2009-05-19,0,12,6.0,0.4,14.0,8.87,0.5,14.75,8.34,2
VIRAT KOHLI,2009-05-21,0,25,8.33,0.33,13.67,8.39,0.5,15.5,7.59,0
VIRAT KOHLI,2010-03-14,0,1,5.0,0.29,15.29,8.38,0.5,17.75,7.67,4
VIRAT KOHLI,2010-03-16,0,23,11.5,0.25,13.5,7.96,0.0,11.75,7.08,0
VIRAT KOHLI,2010-04-12,0,16,8.0,0.22,14.56,8.35,0.0,15.25,7.71,0
VIRAT KOHLI,2010-04-21,0,10,10.0,0.2,14.7,8.32,0.0,16.25,8.21,0
VIRAT KOHLI,2011-04-09,1,14,7.0,0.18,14.27,8.47,0.0,12.5,8.62,25
VIRAT KOHLI,2011-04-12,0,15,7.5,0.25,14.25,8.35,0.25,15.75,9.12,0
VIRAT KOHLI,2011-04-16,0,23,7.67,0.23,14.31,8.28,0.25,13.75,8.12,0
VIRAT KOHLI,2011-04-22,0,9,9.0,0.21,14.93,8.24,0.25,15.5,8.04,0
VIRAT KOHLI,2011-05-06,0,7,7.0,0.2,14.53,8.29,0.25,15.25,7.79,0
VIRAT KOHLI,2011-05-11,0,17,5.67,0.19,14.06,8.21,0.0,13.5,7.79,4
VIRAT KOHLI,2011-05-14,0,14,14.0,0.18,14.24,8.06,0.0,14.0,7.34,0
VIRAT KOHLI,2011-05-17,0,13,13.0,0.17,14.22,8.39,0.0,11.75,8.92,0
VIRAT KOHLI,2011-05-22,1,8,8.0,0.16,14.16,8.63,0.0,12.75,9.92,25
VIRAT KOHLI,2011-05-24,0,19,9.5,0.2,13.85,8.6,0.25,13.0,10.17,0
VIRAT KOHLI,2012-04-10,0,13,13.0,0.19,14.1,8.64,0.25,13.5,11.12,0
VIRAT KOHLI,2012-04-12,0,36,18.0,0.18,14.05,8.84,0.25,13.25,10.88,0
VIRAT KOHLI,2015-04-24,0,4,8.0,0.17,15.0,9.24,0.25,19.0,12.12,0
VIRAT KOHLI,2015-05-04,0,6,6.0,0.17,14.54,9.19,0.0,18.0,12.12,2
VIRAT KOHLI,2016-05-14,0,13,13.0,0.16,14.2,9.06,0.0,14.75,11.25,0
