Name,Date,Wickets,Runs Conceded,Bowling E/R,Career Wickets Avg,Career Runs Conceded Avg,Career Bowling E/R Avg,Rolling Wickets Avg,Rolling Runs Conceded Avg,Rolling Bowling E/R Avg,Bowling Match Points
WANINDU HASARANGA,2021-09-20,0,20,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WANINDU HASARANGA,2021-09-24,0,40,10.0,0.0,20.0,10.0,0.0,20.0,10.0,0
WANINDU HASARANGA,2022-03-27,1,40,10.0,0.0,30.0,10.0,0.0,30.0,10.0,25
WANINDU HASARANGA,2022-03-30,4,20,5.0,0.33,33.33,10.0,0.33,33.33,10.0,104
WANINDU HASARANGA,2022-04-05,1,32,8.0,1.25,30.0,8.75,1.25,30.0,8.75,25
WANINDU HASARANGA,2022-04-09,2,28,7.0,1.2,30.4,8.6,1.5,33.0,8.25,50
WANINDU HASARANGA,2022-04-12,2,35,11.67,1.33,30.0,8.33,2.0,30.0,7.5,50
WANINDU HASARANGA,2022-04-16,1,40,10.0,1.43,30.71,8.81,2.25,28.75,7.92,25
WANINDU HASARANGA,2022-04-19,0,20,10.0,1.38,31.88,8.96,1.5,33.75,9.17,0
WANINDU HASARANGA,2022-04-23,0,7,7.0,1.22,30.56,9.07,1.25,30.75,9.67,0
WANINDU HASARANGA,2022-04-26,2,23,5.75,1.1,28.2,8.87,0.75,25.5,9.67,54
WANINDU HASARANGA,2022-04-30,2,28,7.0,1.18,27.73,8.58,0.75,22.5,8.19,50
WANINDU HASARANGA,2022-05-04,1,31,10.33,1.25,27.75,8.45,1.0,19.5,7.44,25
WANINDU HASARANGA,2022-05-08,5,18,4.5,1.23,28.0,8.6,1.25,22.25,7.52,131
WANINDU HASARANGA,2022-05-13,2,15,3.75,1.5,27.29,8.3,2.5,25.0,6.9,56
WANINDU HASARANGA,2022-05-19,1,25,6.25,1.53,26.47,8.0,2.5,23.0,6.4,27
WANINDU HASARANGA,2022-05-25,1,42,10.5,1.5,26.38,7.89,2.25,22.25,6.21,25
WANINDU HASARANGA,2022-05-27,1,26,6.5,1.47,27.29,8.04,2.25,25.0,6.25,27
WANINDU HASARANGA,2023-04-15,1,37,12.33,1.44,27.22,7.96,1.25,27.0,6.75,25
WANINDU HASARANGA,2023-04-17,1,21,10.5,1.42,27.74,8.19,1.0,32.5,8.9,25
WANINDU HASARANGA,2023-04-20,2,39,9.75,1.4,27.4,8.3,1.0,31.5,9.96,50
WANINDU HASARANGA,2023-04-23,0,32,8.0,1.43,27.95,8.37,1.25,30.75,9.77,0
WANINDU HASARANGA,2023-04-26,2,24,6.0,1.36,28.14,8.36,1.0,32.25,10.14,52
WANINDU HASARANGA,2023-05-01,1,20,5.0,1.39,27.96,8.25,1.25,29.0,8.56,29
WANINDU HASARANGA,2023-05-06,0,32,8.0,1.38,27.62,8.12,1.25,28.75,7.19,0
WANINDU HASARANGA,2023-05-09,2,53,13.25,1.32,27.8,8.11,0.75,27.0,6.75,50
WANINDU HASARANGA,2025-03-26,1,34,11.33,1.35,28.77,8.31,1.25,32.25,8.06,25
WANINDU HASARANGA,2025-03-30,4,35,8.75,1.33,28.96,8.42,1.0,34.75,9.4,100
WANINDU HASARANGA,2025-04-05,1,36,9.0,1.43,29.18,8.43,1.75,38.5,10.33,25
WANINDU HASARANGA,2025-04-13,0,33,11.0,1.41,29.41,8.45,2.0,39.5,10.58,0
WANINDU HASARANGA,2025-04-16,1,38,9.5,1.37,29.53,8.54,1.5,34.5,10.02,25
WANINDU HASARANGA,2025-04-19,2,31,7.75,1.35,29.81,8.57,1.5,35.5,9.56,50
