Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,12/05/2018,1st,6,Royal Challengers Bengaluru,Arun Jaitley Stadium,not out,46*,19,242.11,,46,19,,242.11
2,2,18/05/2018,1st,6,Chennai Super Kings,Arun Jaitley Stadium,c Harbhajan Singh b S N Thakur,2,4,50.00,,48,23,48.00,208.70
3,3,20/05/2018,1st,6,Mumbai Indians,Arun Jaitley Stadium,not out,15*,10,150.00,,63,33,63.00,190.91
4,4,14/04/2019,2nd,7,Delhi Capitals,Rajiv Gandhi International Stadium,c K M A Paul b C H Morris,2,3,66.67,,65,36,32.50,180.56
5,5,29/04/2019,1st,8,Punjab Kings,Rajiv Gandhi International Stadium,not out,5*,3,166.67,,70,39,35.00,179.49
6,6,02/05/2019,2nd,6,Mumbai Indians,Wankhede Stadium,c †Q de Kock b H H Pandya,2,3,66.67,,72,42,24.00,171.43
7,7,21/09/2020,2nd,6,Royal Challengers Bengaluru,Dubai International Cricket Stadium,run out,7,4,175.00,,79,46,19.75,171.74
8,8,26/09/2020,1st,6,Kolkata Knight Riders,Sheikh Zayed Stadium,not out,2*,3,66.67,,81,49,20.25,165.31
9,9,29/09/2020,1st,6,Delhi Capitals,Sheikh Zayed Stadium,not out,1*,1,100.00,,82,50,20.50,164.00
10,10,02/10/2020,1st,6,Chennai Super Kings,Dubai International Cricket Stadium,c †M S Dhoni b D L Chahar,31,24,129.17,,113,74,22.60,152.70
11,11,04/10/2020,2nd,6,Mumbai Indians,Sharjah Cricket Stadium,b J J Bumrah,10,13,76.92,,123,87,20.50,141.38
12,12,08/10/2020,1st,7,Punjab Kings,Dubai International Cricket Stadium,c G J Maxwell b Mohammed Shami,12,6,200.00,,135,93,19.29,145.16
13,,11/10/2020,1st,-,Rajasthan Royals,Dubai International Cricket Stadium,did not bat,-,-,-,,135,93,19.29,145.16
14,13,31/10/2020,2nd,5,Royal Challengers Bengaluru,Sharjah Cricket Stadium,c Gurkeerat Singh b N A Saini,8,5,160.00,,143,98,17.88,145.92
15,14,17/04/2021,2nd,6,Mumbai Indians,MA Chidambaram Stadium,c A F Milne b R D Chahar,2,4,50.00,,145,102,16.11,142.16
16,,21/04/2021,2nd,-,Punjab Kings,MA Chidambaram Stadium,did not bat,-,-,-,,145,102,16.11,142.16
17,15,25/04/2021,2nd,6,Delhi Capitals,MA Chidambaram Stadium,lbw b A R Patel,5,6,83.33,,150,108,15.00,138.89
18,16,27/09/2021,2nd,5,Rajasthan Royals,Dubai International Cricket Stadium,not out,21*,16,131.25,,171,124,17.10,137.90
