Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,27/04/2008,1st,3,Deccan Chargers,Dr DY Patil Sports Academy,c P P Ojha b S B Bangar,0,7,0.00,,0,7,0.00,0.00
2,2,29/04/2008,2nd,1,Kolkata Knight Riders,Eden Gardens,c D J Hussey b A B Agarkar,4,10,40.00,,4,17,2.00,23.53
3,3,01/05/2009,1st,7,Kolkata Knight Riders,Buffalo Park,c C H Gayle b I Sharma,10,8,125.00,,14,25,4.67,56.00
4,4,03/05/2009,1st,3,Royal Challengers Bengaluru,Wanderers Stadium,c R V Uthappa b D  du Preez,0,1,0.00,,14,26,3.50,53.85
5,5,08/05/2009,1st,8,Delhi Capitals,Buffalo Park,c P J Sangwan b R Bhatia,12,12,100.00,,26,38,5.20,68.42
6,6,10/05/2009,1st,3,Royal Challengers Bengaluru,St George's Park,not out,62*,49,126.53,,88,87,17.60,101.15
7,7,12/05/2009,2nd,3,Punjab Kings,SuperSport Park,lbw b P P Chawla,1,5,20.00,,89,92,14.83,96.74
8,8,14/05/2009,2nd,3,Rajasthan Royals,Kingsmead,c A S  Raut b S K Warne,3,7,42.86,,92,99,13.14,92.93
9,,16/05/2009,1st,-,Chennai Super Kings,St George's Park,did not bat,-,-,-,,92,99,13.14,92.93
10,9,21/05/2009,1st,5,Delhi Capitals,SuperSport Park,c A B de Villiers b P J Sangwan,56,41,136.59,,148,140,18.50,105.71
11,10,12/04/2011,2nd,5,Delhi Capitals,Sawai Mansingh Stadium,b M Morkel,18,17,105.88,,166,157,18.44,105.73
12,11,17/04/2011,1st,7,Kolkata Knight Riders,Eden Gardens,b L Balaji,6,9,66.67,,172,166,17.20,103.61
13,,24/04/2011,2nd,-,Kochi Tuskers Kerala,Sawai Mansingh Stadium,did not bat,-,-,-,,172,166,17.20,103.61
14,,29/04/2011,2nd,-,Mumbai Indians,Sawai Mansingh Stadium,did not bat,-,-,-,,172,166,17.20,103.61
15,12,01/05/2011,2nd,6,Pune Warriors,Sawai Mansingh Stadium,not out,15*,9,166.67,,187,175,18.70,106.86
16,13,04/05/2011,1st,6,Chennai Super Kings,MA Chidambaram Stadium,c & b J A Morkel,4,8,50.00,,191,183,17.36,104.37
17,14,09/05/2011,2nd,3,Chennai Super Kings,Sawai Mansingh Stadium,c S K Raina b D J J Bravo,52,36,144.44,,243,219,20.25,110.96
18,15,11/05/2011,1st,3,Royal Challengers Bengaluru,Sawai Mansingh Stadium,run out,17,10,170.00,,260,229,20.00,113.54
