Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,27/03/2022,1st,-,Punjab Kings,Dr DY Patil Sports Academy,did not bat,-,-,-,,0,0,,-
2,,30/03/2022,2nd,-,Kolkata Knight Riders,Dr DY Patil Sports Academy,did not bat,-,-,-,,0,0,,-
3,,05/04/2022,2nd,-,Rajasthan Royals,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
4,,09/04/2022,2nd,-,Mumbai Indians,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,0,0,,-
5,1,12/04/2022,2nd,9,Chennai Super Kings,Dr DY Patil Sports Academy,c A T Rayudu b R A Jadeja,0,2,0.00,,0,2,0.00,0.00
6,,02/04/2023,2nd,-,Mumbai Indians,M Chinnaswamy Stadium,did not bat,-,-,-,,0,2,0.00,0.00
7,2,06/04/2023,2nd,11,Kolkata Knight Riders,Eden Gardens,c & b C V Varun,17,8,212.50,,17,10,8.50,170.00
8,3,11/04/2024,1st,10,Mumbai Indians,Wankhede Stadium,not out,2*,2,100.00,,19,12,9.50,158.33
9,4,04/04/2025,1st,9,Mumbai Indians,BRSABV Ekana Cricket Stadium,c M J Santner b H H Pandya,0,1,0.00,,19,13,6.33,146.15
10,,08/04/2025,1st,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,19,13,6.33,146.15
11,,12/04/2025,2nd,-,Gujarat Titans,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,19,13,6.33,146.15
12,,14/04/2025,1st,-,Chennai Super Kings,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,19,13,6.33,146.15
13,5,19/05/2025,1st,9,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,not out,6*,1,600.00,,25,14,8.33,178.57
14,,22/05/2025,1st,-,Gujarat Titans,Narendra Modi Stadium,did not bat,-,-,-,,25,14,8.33,178.57
