Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,02/05/2021,1st,-,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bat,-,-,-,,0,0,,-
2,1,07/10/2021,2nd,5,Kolkata Knight Riders,Sharjah Cricket Stadium,lbw b L H Ferguson,0,1,0.00,,0,1,0.00,0.00
3,2,27/03/2022,1st,2,Punjab Kings,Dr DY Patil Sports Academy,b R D Chahar,21,20,105.00,,21,21,10.50,100.00
4,3,30/03/2022,2nd,2,Kolkata Knight Riders,Dr DY Patil Sports Academy,c †S P Jackson b U T Yadav,0,2,0.00,,21,23,7.00,91.30
5,4,05/04/2022,2nd,2,Rajasthan Royals,Wankhede Stadium,c †S V Samson b N A Saini,26,25,104.00,,47,48,11.75,97.92
6,5,09/04/2022,2nd,2,Mumbai Indians,Maharashtra Cricket Association Stadium,run out,66,47,140.43,,113,95,22.60,118.95
7,6,12/04/2022,2nd,2,Chennai Super Kings,Dr DY Patil Sports Academy,lbw b M M Theekshana,12,16,75.00,,125,111,20.83,112.61
8,7,16/04/2022,1st,2,Delhi Capitals,Wankhede Stadium,lbw b S N Thakur,0,1,0.00,,125,112,17.86,111.61
9,8,19/04/2022,1st,1,Lucknow Super Giants,Dr DY Patil Sports Academy,c K L Rahul b P V D Chameera,4,5,80.00,,129,117,16.13,110.26
10,9,23/04/2022,1st,2,Sunrisers Hyderabad,Brabourne Stadium,c A K Markram b M Jansen,0,2,0.00,,129,119,14.33,108.40
11,10,06/04/2023,2nd,8,Kolkata Knight Riders,Eden Gardens,c S P Narine b S Sharma,1,5,20.00,,130,124,13.00,104.84
12,,10/04/2023,1st,-,Lucknow Super Giants,M Chinnaswamy Stadium,did not bat,-,-,-,,130,124,13.00,104.84
13,11,15/04/2023,1st,8,Delhi Capitals,M Chinnaswamy Stadium,not out,15*,22,68.18,,145,146,14.50,99.32
14,12,01/05/2023,1st,3,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,c K R Mayers b K Gowtham,9,11,81.82,,154,157,14.00,98.09
15,13,06/05/2023,1st,6,Delhi Capitals,Arun Jaitley Stadium,not out,8*,3,266.67,,162,160,14.73,101.25
16,14,09/05/2023,1st,3,Mumbai Indians,Wankhede Stadium,c C Green b J P Behrendorff,6,4,150.00,,168,164,14.00,102.44
17,15,14/05/2023,1st,7,Rajasthan Royals,Sawai Mansingh Stadium,not out,29*,11,263.64,,197,175,16.42,112.57
18  (k),,18/05/2023,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,197,175,16.42,112.57
19,16,21/05/2023,1st,7,Gujarat Titans,M Chinnaswamy Stadium,not out,23*,15,153.33,,220,190,18.33,115.79
20  (k),17,22/03/2024,1st,6,Chennai Super Kings,MA Chidambaram Stadium,run out,48,25,192.00,,268,215,20.62,124.65
21  (k),18,25/03/2024,2nd,6,Punjab Kings,M Chinnaswamy Stadium,lbw b S M Curran,11,14,78.57,,279,229,19.93,121.83
22  (k),19,29/03/2024,1st,6,Kolkata Knight Riders,M Chinnaswamy Stadium,c †P D Salt b H P Rana,3,3,100.00,,282,232,18.80,121.55
23  (k),20,02/04/2024,2nd,6,Lucknow Super Giants,M Chinnaswamy Stadium,c D Padikkal b M P Stoinis,11,21,52.38,,293,253,18.31,115.81
24,21,15/04/2024,2nd,8,Sunrisers Hyderabad,M Chinnaswamy Stadium,not out,25*,14,178.57,,318,267,19.88,119.10
