Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,04/04/2024,2nd,8,Gujarat Titans,Narendra Modi Stadium,c Rashid Khan b D G Nalkande,31,17,182.35,,31,17,31.00,182.35
2,2,09/04/2024,2nd,8,Sunrisers Hyderabad,Maharaja Yadavindra Singh International Cricket St,not out,33*,15,220.00,,64,32,64.00,200.00
3,3,13/04/2024,1st,8,Rajasthan Royals,Maharaja Yadavindra Singh International Cricket St,c K A Maharaj b T A Boult,31,16,193.75,,95,48,47.50,197.92
4,4,18/04/2024,2nd,8,Mumbai Indians,Maharaja Yadavindra Singh International Cricket St,c Mohammad Nabi b G Coetzee,61,28,217.86,,156,76,52.00,205.26
5,5,21/04/2024,1st,7,Gujarat Titans,Maharaja Yadavindra Singh International Cricket St,c M M Sharma b R S Kishore,3,8,37.50,,159,84,39.75,189.29
6,,26/04/2024,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,159,84,39.75,189.29
7,,01/05/2024,2nd,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,159,84,39.75,189.29
8,6,05/05/2024,2nd,7,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,c Simarjeet Singh b R A Jadeja,3,10,30.00,,162,94,32.40,172.34
9,7,09/05/2024,2nd,8,Royal Challengers Bengaluru,Himachal Pradesh Cricket Association Stadium,lbw b Mohammed Siraj,8,5,160.00,,170,99,28.33,171.72
10,8,15/05/2024,2nd,7,Rajasthan Royals,Barsapara Cricket Stadium,not out,17*,11,154.55,,187,110,31.17,170.00
11,9,19/05/2024,1st,6,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Sanvir Singh b T Natarajan,2,3,66.67,,189,113,27.00,167.26
12,10,24/03/2025,2nd,7,Lucknow Super Giants,Dr YS Rajasekhara Reddy Cricket Stadium,not out,66*,31,212.90,,255,144,36.43,177.08
13,11,05/04/2025,1st,7,Chennai Super Kings,MA Chidambaram Stadium,run out,1,1,100.00,,256,145,32.00,176.55
14,,10/04/2025,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,256,145,32.00,176.55
15,12,13/04/2025,2nd,7,Mumbai Indians,Arun Jaitley Stadium,run out,17,14,121.43,,273,159,30.33,171.70
16,13,16/04/2025,1st,7,Rajasthan Royals,Arun Jaitley Stadium,not out,15*,11,136.36,,288,170,32.00,169.41
17,14,19/04/2025,1st,6,Gujarat Titans,Narendra Modi Stadium,c sub b R S Kishore,37,19,194.74,,325,189,32.50,171.96
18,,22/04/2025,2nd,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,325,189,32.50,171.96
