Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,18/04/2014,2nd,4,Chennai Super Kings,Sheikh Zayed Stadium,lbw b R Ashwin,2,3,66.67,,2,3,2.00,66.67
2,,20/04/2014,2nd,-,Rajasthan Royals,Sharjah Cricket Stadium,did not bat,-,-,-,,2,3,2.00,66.67
3,2,22/04/2014,1st,7,Sunrisers Hyderabad,Sharjah Cricket Stadium,not out,0*,0,-,,2,3,2.00,66.67
4,3,26/04/2014,1st,8,Kolkata Knight Riders,Sheikh Zayed Stadium,st R V Uthappa b S P Narine,7,10,70.00,,9,13,4.50,69.23
5,,28/04/2014,2nd,-,Royal Challengers Bengaluru,Dubai International Cricket Stadium,did not bat,-,-,-,,9,13,4.50,69.23
6,,03/05/2014,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,9,13,4.50,69.23
7,,07/05/2014,1st,-,Chennai Super Kings,Barabati Stadium,did not bat,-,-,-,,9,13,4.50,69.23
8,4,09/05/2014,1st,8,Royal Challengers Bengaluru,M Chinnaswamy Stadium,b M A Starc,2,3,66.67,,11,16,3.67,68.75
9,5,11/05/2014,1st,9,Kolkata Knight Riders,Barabati Stadium,run out,1,1,100.00,,12,17,3.00,70.59
10,,14/05/2014,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,12,17,3.00,70.59
11,6,19/05/2014,2nd,6,Delhi Capitals,Arun Jaitley Stadium,not out,42*,35,120.00,,54,52,13.50,103.85
12,7,21/05/2014,1st,7,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,c R G Sharma b P Kumar,6,6,100.00,,60,58,12.00,103.45
13,,23/05/2014,1st,-,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,60,58,12.00,103.45
14,,25/05/2014,2nd,-,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,60,58,12.00,103.45
15,8,28/05/2014,2nd,6,Kolkata Knight Riders,Eden Gardens,run out,2,2,100.00,,62,60,10.33,103.33
16,,30/05/2014,1st,-,Chennai Super Kings,Wankhede Stadium,did not bat,-,-,-,,62,60,10.33,103.33
17,,01/06/2014,1st,-,Kolkata Knight Riders,M Chinnaswamy Stadium,did not bat,-,-,-,,62,60,10.33,103.33
18,9,10/04/2015,2nd,5,Rajasthan Royals,Maharashtra Cricket Association Stadium,b T G Southee,24,28,85.71,,86,88,12.29,97.73
19,,12/04/2015,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,86,88,12.29,97.73
20,10,15/04/2015,1st,7,Delhi Capitals,Maharashtra Cricket Association Stadium,c A D Mathews b Imran Tahir,13,10,130.00,,99,98,12.38,101.02
