Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,08/05/2011,2nd,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,0,0,,-
2,,10/05/2011,2nd,-,Deccan Chargers,Rajiv Gandhi International Stadium,did not bat,-,-,-,,0,0,,-
3,1,16/05/2011,1st,10,Deccan Chargers,Dr DY Patil Sports Academy,not out,1*,1,100.00,,1,1,,100.00
4,,19/05/2011,1st,-,Kolkata Knight Riders,Dr DY Patil Sports Academy,did not bat,-,-,-,,1,1,,100.00
5,2,06/04/2012,1st,8,Mumbai Indians,Wankhede Stadium,b P P Ojha,2,4,50.00,,3,5,3.00,60.00
6,3,17/04/2012,1st,8,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,0*,0,-,,3,5,3.00,60.00
7,4,19/04/2012,2nd,8,Chennai Super Kings,MA Chidambaram Stadium,not out,2*,4,50.00,,5,9,5.00,55.56
8,5,26/04/2012,2nd,9,Deccan Chargers,Maharashtra Cricket Association Stadium,not out,7*,4,175.00,,12,13,12.00,92.31
9,,01/05/2012,2nd,-,Deccan Chargers,Barabati Stadium,did not bat,-,-,-,,12,13,12.00,92.31
10,6,03/05/2012,2nd,8,Mumbai Indians,Maharashtra Cricket Association Stadium,not out,10*,6,166.67,,22,19,22.00,115.79
11,7,05/05/2012,2nd,9,Kolkata Knight Riders,Eden Gardens,not out,11*,7,157.14,,33,26,33.00,126.92
12,,08/05/2012,1st,-,Rajasthan Royals,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,33,26,33.00,126.92
13,8,11/05/2012,2nd,8,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,b M Muralitharan,2,4,50.00,,35,30,17.50,116.67
14,9,13/05/2012,2nd,8,Rajasthan Royals,Sawai Mansingh Stadium,b S W Tait,3,5,60.00,,38,35,12.67,108.57
15,10,19/05/2012,2nd,9,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,not out,3*,6,50.00,,41,41,13.67,100.00
16,11,05/04/2013,2nd,9,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b D W Steyn,3,3,100.00,,44,44,11.00,100.00
17,12,07/04/2013,1st,9,Punjab Kings,Maharashtra Cricket Association Stadium,b Azhar Mahmood,8,12,66.67,,52,56,10.40,92.86
18,,11/04/2013,2nd,-,Rajasthan Royals,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,52,56,10.40,92.86
19,13,13/04/2013,2nd,9,Mumbai Indians,Wankhede Stadium,not out,6*,11,54.55,,58,67,11.60,86.57
20,,15/04/2013,1st,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,58,67,11.60,86.57
21,14,17/04/2013,2nd,9,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,lbw b A Mishra,0,1,0.00,,58,68,9.67,85.29
22,,21/04/2013,1st,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,58,68,9.67,85.29
23,15,23/04/2013,2nd,8,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c †K B A Arun Karthik b R P Singh,6,12,50.00,,64,80,9.14,80.00
24,,28/04/2013,2nd,-,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,did not bat,-,-,-,,64,80,9.14,80.00
25,16,30/04/2013,2nd,9,Chennai Super Kings,Maharashtra Cricket Association Stadium,not out,24*,24,100.00,,88,104,12.57,84.62
26,17,02/05/2013,2nd,8,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,c V Kohli b R P Singh,2,3,66.67,,90,107,11.25,84.11
27,,05/05/2013,1st,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,90,107,11.25,84.11
