Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,12/04/2021,2nd,-,Punjab Kings,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
2,,15/04/2021,2nd,-,Delhi Capitals,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
3,1,19/04/2021,2nd,10,Chennai Super Kings,Wankhede Stadium,not out,0*,0,-,,0,0,,-
4,2,22/04/2021,1st,10,Royal Challengers Bengaluru,Wankhede Stadium,c †A B de Villiers b H V Patel,0,1,0.00,,0,1,0.00,0.00
5,,24/04/2021,2nd,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,0,1,0.00,0.00
6,,29/04/2021,1st,-,Mumbai Indians,Arun Jaitley Stadium,did not bat,-,-,-,,0,1,0.00,0.00
7,,02/05/2021,1st,-,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bat,-,-,-,,0,1,0.00,0.00
8,3,21/09/2021,1st,9,Punjab Kings,Dubai International Cricket Stadium,c & b Arshdeep Singh,7,6,116.67,,7,7,3.50,100.00
9,,25/09/2021,2nd,-,Delhi Capitals,Sheikh Zayed Stadium,did not bat,-,-,-,,7,7,3.50,100.00
10,,27/09/2021,1st,-,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bat,-,-,-,,7,7,3.50,100.00
11,4,29/09/2021,1st,9,Royal Challengers Bengaluru,Dubai International Cricket Stadium,c A B de Villiers b H V Patel,2,2,100.00,,9,9,3.00,100.00
12,,02/10/2021,2nd,-,Chennai Super Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,9,9,3.00,100.00
13,5,05/10/2021,1st,9,Mumbai Indians,Sharjah Cricket Stadium,b N M Coulter-Nile,6,11,54.55,,15,20,3.75,75.00
14,6,07/10/2021,2nd,10,Kolkata Knight Riders,Sharjah Cricket Stadium,run out,1,5,20.00,,16,25,3.20,64.00
15,,28/04/2022,2nd,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,16,25,3.20,64.00
16,,01/05/2022,2nd,-,Lucknow Super Giants,Wankhede Stadium,did not bat,-,-,-,,16,25,3.20,64.00
17,,11/05/2022,2nd,-,Rajasthan Royals,Dr DY Patil Sports Academy,did not bat,-,-,-,,16,25,3.20,64.00
18,7,01/04/2023,2nd,10,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,c K H Pandya b M A Wood,4,4,100.00,,20,29,3.33,68.97
19,8,20/05/2023,2nd,11,Chennai Super Kings,Arun Jaitley Stadium,not out,0*,2,0.00,,20,31,3.33,64.52
