Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,20/04/2012,1st,5,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,c Z Khan b A B McDonald,8,13,61.54,,8,13,8.00,61.54
2,2,22/04/2012,2nd,6,Mumbai Indians,Wankhede Stadium,not out,5*,5,100.00,,13,18,13.00,72.22
3,3,25/04/2012,1st,5,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,not out,34*,17,200.00,,47,35,47.00,134.29
4,4,28/04/2012,1st,4,Chennai Super Kings,MA Chidambaram Stadium,c †M S Dhoni b J A Morkel,19,15,126.67,,66,50,33.00,132.00
5,5,08/05/2012,1st,6,Deccan Chargers,Rajiv Gandhi International Stadium,not out,28*,18,155.56,,94,68,47.00,138.24
6,6,15/05/2012,1st,5,Delhi Capitals,Arun Jaitley Stadium,run out,4,7,57.14,,98,75,32.67,130.67
7,7,16/04/2013,1st,5,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,b S M S M Senanayake,20,17,117.65,,118,92,29.50,128.26
8,8,21/04/2013,2nd,5,Pune Warriors,Punjab Cricket Association IS Bindra Stadium,not out,80*,41,195.12,,198,133,49.50,148.87
9,9,23/04/2013,2nd,4,Delhi Capitals,Arun Jaitley Stadium,not out,34*,39,87.18,,232,172,58.00,134.88
10,10,26/04/2013,1st,5,Kolkata Knight Riders,Eden Gardens,b S Ladda,10,8,125.00,,242,180,48.40,134.44
11,11,29/04/2013,2nd,5,Mumbai Indians,Wankhede Stadium,c S R Tendulkar b M G Johnson,56,34,164.71,,298,214,49.67,139.25
12,12,02/05/2013,2nd,5,Chennai Super Kings,MA Chidambaram Stadium,not out,51*,26,196.15,,349,240,58.17,145.42
13,13,06/05/2013,2nd,5,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,not out,101*,38,265.79,,450,278,75.00,161.87
14,14,09/05/2013,1st,5,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,c A M Rahane b K  Cooper,8,11,72.73,,458,289,65.43,158.48
15,15,11/05/2013,2nd,5,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,c C L White b D J G Sammy,6,7,85.71,,464,296,58.00,156.76
16,16,14/05/2013,2nd,4,Royal Challengers Bengaluru,M Chinnaswamy Stadium,b M Muralitharan,2,4,50.00,,466,300,51.78,155.33
17,17,16/05/2013,1st,4,Delhi Capitals,Himachal Pradesh Cricket Association Stadium,not out,44*,24,183.33,,510,324,56.67,157.41
18,18,18/05/2013,1st,5,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,c N M Coulter-Nile b K A Pollard,6,5,120.00,,516,329,51.60,156.84
19,19,18/04/2014,2nd,5,Chennai Super Kings,Sheikh Zayed Stadium,not out,54*,37,145.95,,570,366,57.00,155.74
20,20,20/04/2014,2nd,5,Rajasthan Royals,Sharjah Cricket Stadium,not out,51*,19,268.42,,621,385,62.10,161.30
21,21,22/04/2014,1st,4,Sunrisers Hyderabad,Sharjah Cricket Stadium,c D A Warner b B Kumar,10,10,100.00,,631,395,57.36,159.75
22,22,26/04/2014,1st,5,Kolkata Knight Riders,Sheikh Zayed Stadium,c M Morkel b P P Chawla,14,10,140.00,,645,405,53.75,159.26
23,23,28/04/2014,2nd,5,Royal Challengers Bengaluru,Dubai International Cricket Stadium,c †P A Patel b Y S Chahal,26,20,130.00,,671,425,51.62,157.88
24,24,03/05/2014,1st,6,Mumbai Indians,Wankhede Stadium,c B R Dunk b S L Malinga,16,12,133.33,,687,437,49.07,157.21
25,25,07/05/2014,1st,4,Chennai Super Kings,Barabati Stadium,b D R Smith,47,32,146.88,,734,469,48.93,156.50
26,26,09/05/2014,1st,4,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c Y S Chahal b V R Aaron,66,29,227.59,,800,498,50.00,160.64
27,27,11/05/2014,1st,5,Kolkata Knight Riders,Barabati Stadium,b U T Yadav,13,14,92.86,,813,512,47.82,158.79
28,28,14/05/2014,2nd,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,24*,24,100.00,,837,536,49.24,156.16
29,29,19/05/2014,2nd,4,Delhi Capitals,Arun Jaitley Stadium,b J-P Duminy,2,6,33.33,,839,542,46.61,154.80
30,30,23/05/2014,1st,5,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,not out,29*,20,145.00,,868,562,48.22,154.45
31,31,25/05/2014,2nd,4,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,not out,47*,34,138.24,,915,596,50.83,153.52
32,32,28/05/2014,2nd,5,Kolkata Knight Riders,Eden Gardens,b P P Chawla,8,12,66.67,,923,608,48.58,151.81
33,33,30/05/2014,1st,4,Chennai Super Kings,Wankhede Stadium,run out,38,19,200.00,,961,627,48.05,153.27
34,34,01/06/2014,1st,6,Kolkata Knight Riders,M Chinnaswamy Stadium,not out,1*,1,100.00,,962,628,48.10,153.18
35,35,10/04/2015,2nd,6,Rajasthan Royals,Maharashtra Cricket Association Stadium,c J P Faulkner b D S Kulkarni,23,21,109.52,,985,649,46.90,151.77
36,36,12/04/2015,1st,4,Mumbai Indians,Wankhede Stadium,c †A P Tare b S L Malinga,24,23,104.35,,1009,672,45.86,150.15
37,37,15/04/2015,1st,4,Delhi Capitals,Maharashtra Cricket Association Stadium,b J-P Duminy,5,7,71.43,,1014,679,44.09,149.34
38,38,21/04/2015,2nd,5,Rajasthan Royals,Narendra Modi Stadium,c S T R Binny b D J Hooda,54,30,180.00,,1068,709,44.50,150.63
39,39,25/04/2015,2nd,5,Chennai Super Kings,MA Chidambaram Stadium,c S K Raina b R A Jadeja,3,9,33.33,,1071,718,42.84,149.16
40,40,27/04/2015,2nd,5,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,c T A Boult b K V Sharma,15,14,107.14,,1086,732,41.77,148.36
41,41,01/05/2015,1st,5,Delhi Capitals,Arun Jaitley Stadium,c S S Tiwary b N M Coulter-Nile,42,41,102.44,,1128,773,41.78,145.92
42,42,03/05/2015,2nd,4,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,c R G Sharma b S L Malinga,43,37,116.22,,1171,810,41.82,144.57
43,43,06/05/2015,2nd,5,Royal Challengers Bengaluru,M Chinnaswamy Stadium,b S Aravind,7,10,70.00,,1178,820,40.62,143.66
44,44,09/05/2015,1st,5,Kolkata Knight Riders,Eden Gardens,not out,27*,11,245.45,,1205,831,41.55,145.01
45,45,11/05/2015,2nd,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,89*,44,202.27,,1294,875,44.62,147.89
46,46,13/05/2015,1st,4,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,st K D Karthik b Y S Chahal,14,4,350.00,,1308,879,43.60,148.81
47,47,16/05/2015,1st,6,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,c R A Jadeja b P Negi,11,15,73.33,,1319,894,42.55,147.54
48  (c),48,11/04/2016,1st,3,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,b D J J Bravo,15,10,150.00,,1334,904,41.69,147.57
49  (c),49,15/04/2016,1st,4,Delhi Capitals,Arun Jaitley Stadium,lbw b A Mishra,9,9,100.00,,1343,913,40.70,147.10
50  (c),50,17/04/2016,2nd,4,Rising Pune Supergiant,Punjab Cricket Association IS Bindra Stadium,c K P Pietersen b M Ashwin,7,6,116.67,,1350,919,39.71,146.90
51  (c),51,19/04/2016,1st,5,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,c †R V Uthappa b Y K Pathan,6,6,100.00,,1356,925,38.74,146.59
52  (c),52,23/04/2016,1st,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †N V Ojha b M C Henriques,9,11,81.82,,1365,936,37.92,145.83
53  (c),53,25/04/2016,2nd,5,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,not out,30*,17,176.47,,1395,953,38.75,146.38
54,54,01/05/2016,1st,6,Gujarat Lions,Saurashtra Cricket Association Stadium,c D R Smith b D S Kulkarni,31,27,114.81,,1426,980,38.54,145.51
55,55,04/05/2016,2nd,6,Kolkata Knight Riders,Eden Gardens,c sub b A D Russell,13,18,72.22,,1439,998,37.87,144.19
56,56,07/05/2016,1st,6,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,not out,11*,6,183.33,,1450,1004,38.16,144.42
57,57,09/05/2016,2nd,4,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,st K L Rahul b Y S Chahal,0,1,0.00,,1450,1005,37.18,144.28
58,,13/05/2016,2nd,-,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-,-,,1450,1005,37.18,144.28
59,58,15/05/2016,1st,5,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,not out,20*,9,222.22,,1470,1014,37.69,144.97
60,59,18/05/2016,2nd,4,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c A B de Villiers b S R Watson,3,6,50.00,,1473,1020,36.83,144.41
61,60,21/05/2016,1st,5,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,lbw b R Ashwin,7,5,140.00,,1480,1025,36.10,144.39
62,61,08/04/2017,2nd,6,Rising Pune Supergiant,Holkar Cricket Stadium,not out,30*,27,111.11,,1510,1052,36.83,143.54
63,,10/04/2017,2nd,-,Royal Challengers Bengaluru,Holkar Cricket Stadium,did not bat,-,-,-,,1510,1052,36.83,143.54
64,62,13/04/2017,1st,5,Kolkata Knight Riders,Eden Gardens,c M K Pandey b U T Yadav,28,19,147.37,,1538,1071,36.62,143.60
65,63,15/04/2017,2nd,5,Delhi Capitals,Arun Jaitley Stadium,lbw b C J Anderson,24,28,85.71,,1562,1099,36.33,142.13
66,64,17/04/2017,2nd,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b Rashid Khan,1,6,16.67,,1563,1105,35.52,141.45
67,65,08/04/2018,2nd,5,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,not out,24*,23,104.35,,1587,1128,36.07,140.69
68,66,23/04/2018,1st,6,Delhi Capitals,Arun Jaitley Stadium,c L E Plunkett b D T Christian,26,19,136.84,,1613,1147,35.84,140.63
69,67,20/05/2018,1st,5,Chennai Super Kings,Maharashtra Cricket Association Stadium,b D J J Bravo,24,22,109.09,,1637,1169,35.59,140.03
70,68,27/03/2019,2nd,5,Kolkata Knight Riders,Eden Gardens,not out,59*,40,147.50,,1696,1209,36.87,140.28
71,69,30/03/2019,2nd,4,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,handled ball,15,10,150.00,,1711,1219,36.40,140.36
72,70,01/04/2019,1st,5,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,c †R R Pant b C H Morris,43,30,143.33,,1754,1249,36.54,140.43
73,71,06/04/2019,2nd,5,Chennai Super Kings,MA Chidambaram Stadium,b D L Chahar,6,5,120.00,,1760,1254,35.92,140.35
74,72,08/04/2019,2nd,4,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,c D J Hooda b Sandeep Sharma,1,3,33.33,,1761,1257,35.22,140.10
75,73,10/04/2019,1st,3,Mumbai Indians,Wankhede Stadium,c †Q de Kock b H H Pandya,7,8,87.50,,1768,1265,34.67,139.76
76,74,16/04/2019,1st,4,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,c J C Buttler b D S Kulkarni,40,27,148.15,,1808,1292,34.77,139.94
77,75,20/04/2019,1st,4,Delhi Capitals,Arun Jaitley Stadium,c P P Shaw b A R Patel,7,5,140.00,,1815,1297,34.25,139.94
