Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,28/03/2022,1st,8,Gujarat Titans,Wankhede Stadium,not out,1*,1,100.00,,1,1,,100.00
2,,31/03/2022,2nd,-,Chennai Super Kings,Brabourne Stadium,did not bat,-,-,-,,1,1,,100.00
3,2,10/04/2022,2nd,9,Rajasthan Royals,Wankhede Stadium,lbw b Y S Chahal,13,7,185.71,,14,8,14.00,175.00
4,,16/04/2022,1st,-,Mumbai Indians,Brabourne Stadium,did not bat,-,-,-,,14,8,14.00,175.00
5,3,19/04/2022,2nd,9,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,not out,1*,3,33.33,,15,11,15.00,136.36
6,,24/04/2022,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,15,11,15.00,136.36
7,4,29/04/2022,1st,8,Punjab Kings,Maharashtra Cricket Association Stadium,c R D Chahar b K Rabada,17,10,170.00,,32,21,16.00,152.38
8,,01/05/2022,1st,-,Delhi Capitals,Wankhede Stadium,did not bat,-,-,-,,32,21,16.00,152.38
9,5,07/05/2022,1st,8,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,run out,0,1,0.00,,32,22,10.67,145.45
10,6,10/05/2022,2nd,10,Gujarat Titans,Maharashtra Cricket Association Stadium,not out,0*,0,-,,32,22,10.67,145.45
11,7,15/05/2022,2nd,8,Rajasthan Royals,Brabourne Stadium,b O C McCoy,0,2,0.00,,32,24,8.00,133.33
12,8,25/05/2022,2nd,8,Royal Challengers Bengaluru,Eden Gardens,not out,11*,4,275.00,,43,28,10.75,153.57
13,,26/04/2024,1st,-,Punjab Kings,Eden Gardens,did not bat,-,-,-,,43,28,10.75,153.57
14,,22/04/2025,2nd,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,43,28,10.75,153.57
