Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,05/04/2012,2nd,4,Kolkata Knight Riders,Eden Gardens,not out,3*,7,42.86,,3,7,,42.86
2,2,07/04/2012,2nd,5,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c Z Khan b M Muralitharan,3,4,75.00,,6,11,6.00,54.55
3,3,11/05/2013,2nd,6,Pune Warriors,Maharashtra Cricket Association Stadium,not out,13*,7,185.71,,19,18,19.00,105.56
4,4,15/05/2013,1st,1,Rajasthan Royals,Wankhede Stadium,lbw b S R Watson,23,17,135.29,,42,35,21.00,120.00
5,5,18/05/2013,2nd,1,Punjab Kings,Himachal Pradesh Cricket Association Stadium,c M Vohra b P Kumar,0,3,0.00,,42,38,14.00,110.53
6,6,18/04/2014,2nd,3,Chennai Super Kings,Sheikh Zayed Stadium,b D R Smith,95,43,220.93,,137,81,34.25,169.14
7,7,20/04/2014,2nd,4,Rajasthan Royals,Sharjah Cricket Stadium,c S P D Smith b K W Richardson,89,45,197.78,,226,126,45.20,179.37
8,8,22/04/2014,1st,3,Sunrisers Hyderabad,Sharjah Cricket Stadium,c D J G Sammy b A Mishra,95,43,220.93,,321,169,53.50,189.94
9,9,26/04/2014,1st,4,Kolkata Knight Riders,Sheikh Zayed Stadium,b M Morkel,15,12,125.00,,336,181,48.00,185.64
10,10,28/04/2014,2nd,4,Royal Challengers Bengaluru,Dubai International Cricket Stadium,c M A Starc b V R Aaron,6,6,100.00,,342,187,42.75,182.89
11,11,03/05/2014,1st,4,Mumbai Indians,Wankhede Stadium,c B R Dunk b Harbhajan Singh,45,27,166.67,,387,214,43.00,180.84
12,12,07/05/2014,1st,3,Chennai Super Kings,Barabati Stadium,c R A Jadeja b M M Sharma,90,38,236.84,,477,252,47.70,189.29
13,13,09/05/2014,1st,3,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c M A Starc b Y S Chahal,25,11,227.27,,502,263,45.64,190.87
14,14,11/05/2014,1st,4,Kolkata Knight Riders,Barabati Stadium,c M Morkel b P P Chawla,14,14,100.00,,516,277,43.00,186.28
15,15,14/05/2014,2nd,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c D W Steyn b A Mishra,43,22,195.45,,559,299,43.00,186.96
16,16,19/05/2014,2nd,3,Delhi Capitals,Arun Jaitley Stadium,b Imran Tahir,14,11,127.27,,573,310,40.93,184.84
17,17,21/05/2014,1st,4,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,c & b S Gopal,2,3,66.67,,575,313,38.33,183.71
18,18,25/05/2014,2nd,3,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,c K P Pietersen b J D Unadkat,0,3,0.00,,575,316,35.94,181.96
19,19,28/05/2014,2nd,4,Kolkata Knight Riders,Eden Gardens,lbw b U T Yadav,6,9,66.67,,581,325,34.18,178.77
20,20,30/05/2014,1st,3,Chennai Super Kings,Wankhede Stadium,c S K Raina b R Ashwin,13,6,216.67,,594,331,33.00,179.46
21,21,01/06/2014,1st,5,Kolkata Knight Riders,M Chinnaswamy Stadium,c M Morkel b P P Chawla,0,1,0.00,,594,332,31.26,178.92
22,22,10/04/2015,2nd,4,Rajasthan Royals,Maharashtra Cricket Association Stadium,c T G Southee b J P Faulkner,7,5,140.00,,601,337,30.05,178.34
23,23,12/04/2015,1st,3,Mumbai Indians,Wankhede Stadium,c A T Rayudu b J Suchith,6,4,150.00,,607,341,28.90,178.01
24,24,15/04/2015,1st,5,Delhi Capitals,Maharashtra Cricket Association Stadium,c M K Tiwary b Imran Tahir,15,5,300.00,,622,346,28.27,179.77
25,25,18/04/2015,1st,4,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,c A D Russell b U T Yadav,33,26,126.92,,655,372,28.48,176.08
26,26,21/04/2015,2nd,4,Rajasthan Royals,Narendra Modi Stadium,c S P D Smith b R Tewatia,1,6,16.67,,656,378,27.33,173.54
27,27,03/05/2015,2nd,3,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,c R Vinay Kumar b J Suchith,12,9,133.33,,668,387,26.72,172.61
28,28,06/05/2015,2nd,4,Royal Challengers Bengaluru,M Chinnaswamy Stadium,b S Aravind,1,5,20.00,,669,392,25.73,170.66
29,29,09/05/2015,1st,4,Kolkata Knight Riders,Eden Gardens,c J Botha b S P Narine,43,22,195.45,,712,414,26.37,171.98
30,30,11/05/2015,2nd,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †N V Ojha b T A Boult,11,6,183.33,,723,420,25.82,172.14
31,31,13/05/2015,1st,3,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,c A B de Villiers b H V Patel,10,10,100.00,,733,430,25.28,170.47
32,32,16/05/2015,1st,4,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,b R A Jadeja,6,14,42.86,,739,444,24.63,166.44
33,33,11/04/2016,1st,4,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,b D J J Bravo,2,4,50.00,,741,448,23.90,165.40
34,34,15/04/2016,1st,5,Delhi Capitals,Arun Jaitley Stadium,c C R Brathwaite b A Mishra,0,3,0.00,,741,451,23.16,164.30
35,35,17/04/2016,2nd,5,Rising Pune Supergiant,Punjab Cricket Association IS Bindra Stadium,not out,32*,14,228.57,,773,465,24.16,166.24
36,36,19/04/2016,1st,6,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,c P P Chawla b S P Narine,4,7,57.14,,777,472,23.55,164.62
37,37,23/04/2016,1st,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Mustafizur Rahman b M C Henriques,1,2,50.00,,778,474,22.88,164.14
38,38,25/04/2016,2nd,4,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,b J J Bumrah,56,39,143.59,,834,513,23.83,162.57
39,39,01/05/2016,1st,4,Gujarat Lions,Saurashtra Cricket Association Stadium,c †K D Karthik b S  Kaushik,0,1,0.00,,834,514,23.17,162.26
40,40,04/05/2016,2nd,5,Kolkata Knight Riders,Eden Gardens,lbw b P P Chawla,68,42,161.90,,902,556,24.38,162.23
41,41,07/05/2016,1st,5,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,b C H Morris,16,11,145.45,,918,567,24.16,161.90
42,42,13/05/2016,2nd,4,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,c K A Pollard b M J McClenaghan,0,1,0.00,,918,568,23.54,161.62
43,43,15/05/2016,1st,6,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,not out,0*,0,-,,918,568,23.54,161.62
44  (c),44,08/04/2017,2nd,5,Rising Pune Supergiant,Holkar Cricket Stadium,not out,44*,20,220.00,,962,588,24.67,163.61
45  (c),45,10/04/2017,2nd,4,Royal Challengers Bengaluru,Holkar Cricket Stadium,not out,43*,22,195.45,,1005,610,25.77,164.75
46  (c),46,13/04/2017,1st,4,Kolkata Knight Riders,Eden Gardens,c †R V Uthappa b U T Yadav,25,14,178.57,,1030,624,25.75,165.06
47  (c),47,15/04/2017,2nd,6,Delhi Capitals,Arun Jaitley Stadium,c S W Billings b A Mishra,0,2,0.00,,1030,626,25.12,164.54
48  (c),48,17/04/2017,2nd,3,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c D A Warner b B Kumar,10,12,83.33,,1040,638,24.76,163.01
49  (c),49,20/04/2017,1st,4,Mumbai Indians,Holkar Cricket Stadium,b J J Bumrah,40,18,222.22,,1080,656,25.12,164.63
50  (c),50,23/04/2017,1st,4,Gujarat Lions,Saurashtra Cricket Association Stadium,lbw b R A Jadeja,31,18,172.22,,1111,674,25.25,164.84
51  (c),51,28/04/2017,2nd,4,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,c A Nehra b S Kaul,0,2,0.00,,1111,676,24.69,164.35
52  (c),,30/04/2017,2nd,-,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,1111,676,24.69,164.35
53  (c),52,05/05/2017,1st,6,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c S Badree b Y S Chahal,6,11,54.55,,1117,687,24.28,162.59
54  (c),53,07/05/2017,1st,4,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,not out,20*,11,181.82,,1137,698,24.72,162.89
55  (c),54,09/05/2017,1st,5,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,c C R Woakes b Kuldeep Yadav,44,25,176.00,,1181,723,25.13,163.35
56  (c),55,11/05/2017,1st,3,Mumbai Indians,Wankhede Stadium,b J J Bumrah,47,21,223.81,,1228,744,25.58,165.05
57  (c),56,14/05/2017,1st,6,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c A M Rahane b S N Thakur,0,3,0.00,,1228,747,25.06,164.39
58,57,11/04/2018,2nd,1,Rajasthan Royals,Sawai Mansingh Stadium,c †J C Buttler b B Laughlin,17,12,141.67,,1245,759,24.90,164.03
59,58,14/04/2018,2nd,4,Mumbai Indians,Wankhede Stadium,c H H Pandya b K H Pandya,13,6,216.67,,1258,765,24.67,164.44
60,59,16/04/2018,2nd,5,Kolkata Knight Riders,Eden Gardens,c R V Uthappa b Kuldeep Yadav,47,22,213.64,,1305,787,25.10,165.82
61,60,21/04/2018,1st,5,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c Mohammed Siraj b Y S Chahal,4,6,66.67,,1309,793,24.70,165.07
62,61,23/04/2018,2nd,3,Punjab Kings,Arun Jaitley Stadium,c A J Tye b A S Rajpoot,12,10,120.00,,1321,803,24.46,164.51
63,62,27/04/2018,1st,5,Kolkata Knight Riders,Arun Jaitley Stadium,run out,27,18,150.00,,1348,821,24.51,164.19
64,63,30/04/2018,2nd,5,Chennai Super Kings,Maharashtra Cricket Association Stadium,b R A Jadeja,6,5,120.00,,1354,826,24.18,163.92
65,64,02/05/2018,1st,5,Rajasthan Royals,Arun Jaitley Stadium,lbw b J C Archer,5,5,100.00,,1359,831,23.84,163.54
66,65,05/05/2018,1st,2,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,run out,2,3,66.67,,1361,834,23.47,163.19
67,66,10/05/2018,1st,6,Sunrisers Hyderabad,Arun Jaitley Stadium,c A D Hales b B Kumar,9,8,112.50,,1370,842,23.22,162.71
68,67,18/05/2018,1st,4,Chennai Super Kings,Arun Jaitley Stadium,b R A Jadeja,5,7,71.43,,1375,849,22.92,161.96
69,68,20/05/2018,1st,2,Mumbai Indians,Arun Jaitley Stadium,b J J Bumrah,22,18,122.22,,1397,867,22.90,161.13
70,69,20/09/2020,2nd,5,Delhi Capitals,Dubai International Cricket Stadium,c S S Iyer b K Rabada,1,4,25.00,,1398,871,22.55,160.51
71,70,24/09/2020,1st,4,Royal Challengers Bengaluru,Dubai International Cricket Stadium,c A J Finch b S Dube,5,6,83.33,,1403,877,22.27,159.98
72,71,27/09/2020,1st,3,Rajasthan Royals,Sharjah Cricket Stadium,not out,13*,9,144.44,,1416,886,22.48,159.82
73,72,01/10/2020,2nd,5,Mumbai Indians,Sheikh Zayed Stadium,c T A Boult b R D Chahar,11,18,61.11,,1427,904,22.30,157.85
74,73,04/10/2020,1st,5,Chennai Super Kings,Dubai International Cricket Stadium,not out,11*,7,157.14,,1438,911,22.47,157.85
75,74,08/10/2020,2nd,5,Sunrisers Hyderabad,Dubai International Cricket Stadium,run out,7,12,58.33,,1445,923,22.23,156.55
76,75,10/10/2020,2nd,5,Kolkata Knight Riders,Sheikh Zayed Stadium,not out,10*,5,200.00,,1455,928,22.38,156.79
77,,15/10/2020,2nd,-,Royal Challengers Bengaluru,Sharjah Cricket Stadium,did not bat,-,-,-,,1455,928,22.38,156.79
78,76,18/10/2020,2nd,5,Mumbai Indians,Dubai International Cricket Stadium,c R G Sharma b R D Chahar,0,2,0.00,,1455,930,22.05,156.45
79,77,20/10/2020,2nd,5,Delhi Capitals,Dubai International Cricket Stadium,c †R R Pant b K Rabada,32,24,133.33,,1487,954,22.19,155.87
80,78,24/10/2020,1st,5,Sunrisers Hyderabad,Dubai International Cricket Stadium,c D A Warner b Sandeep Sharma,12,13,92.31,,1499,967,22.04,155.02
81,,26/10/2020,2nd,-,Kolkata Knight Riders,Sharjah Cricket Stadium,did not bat,-,-,-,,1499,967,22.04,155.02
82,79,30/10/2020,1st,5,Rajasthan Royals,Sheikh Zayed Stadium,not out,6*,6,100.00,,1505,973,22.13,154.68
83,80,09/04/2021,2nd,4,Mumbai Indians,MA Chidambaram Stadium,c C A Lynn b M Jansen,39,28,139.29,,1544,1001,22.38,154.25
84,81,14/04/2021,1st,4,Sunrisers Hyderabad,MA Chidambaram Stadium,c †W P Saha b J O Holder,59,41,143.90,,1603,1042,22.90,153.84
85,82,18/04/2021,1st,4,Kolkata Knight Riders,MA Chidambaram Stadium,c Harbhajan Singh b P J Cummins,78,49,159.18,,1681,1091,23.68,154.08
86,,22/04/2021,2nd,-,Rajasthan Royals,Wankhede Stadium,did not bat,-,-,-,,1681,1091,23.68,154.08
87,83,25/04/2021,2nd,4,Chennai Super Kings,Wankhede Stadium,b R A Jadeja,22,15,146.67,,1703,1106,23.65,153.98
88,84,27/04/2021,1st,4,Delhi Capitals,Narendra Modi Stadium,c S P D Smith b A Mishra,25,20,125.00,,1728,1126,23.67,153.46
89,85,30/04/2021,2nd,4,Punjab Kings,Narendra Modi Stadium,b Harpreet Brar,0,1,0.00,,1728,1127,23.35,153.33
90,86,20/09/2021,1st,4,Kolkata Knight Riders,Sheikh Zayed Stadium,b C V Varun,10,17,58.82,,1738,1144,23.17,151.92
91,87,24/09/2021,1st,4,Chennai Super Kings,Sharjah Cricket Stadium,c R A Jadeja b D J J Bravo,11,9,122.22,,1749,1153,23.01,151.69
92,88,26/09/2021,1st,4,Mumbai Indians,Dubai International Cricket Stadium,c T A Boult b J J Bumrah,56,37,151.35,,1805,1190,23.44,151.68
93,89,29/09/2021,2nd,4,Rajasthan Royals,Dubai International Cricket Stadium,not out,50*,30,166.67,,1855,1220,24.09,152.05
94,90,03/10/2021,1st,4,Punjab Kings,Sharjah Cricket Stadium,c S N Khan b Mohammed Shami,57,33,172.73,,1912,1253,24.51,152.59
95,91,06/10/2021,2nd,5,Sunrisers Hyderabad,Sheikh Zayed Stadium,run out,40,25,160.00,,1952,1278,24.71,152.74
