Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,19/04/2015,1st,8,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,16*,6,266.67,,16,6,,266.67
2,2,23/04/2015,2nd,7,Delhi Capitals,Arun Jaitley Stadium,c N M Coulter-Nile b Imran Tahir,0,1,0.00,,16,7,16.00,228.57
3,3,05/05/2015,2nd,3,Delhi Capitals,Wankhede Stadium,c Imran Tahir b N M Coulter-Nile,5,8,62.50,,21,15,10.50,140.00
4,4,08/05/2015,2nd,6,Chennai Super Kings,MA Chidambaram Stadium,not out,21*,8,262.50,,42,23,21.00,182.61
5,5,10/05/2015,2nd,5,Royal Challengers Bengaluru,Wankhede Stadium,st K D Karthik b Y S Chahal,8,4,200.00,,50,27,16.67,185.19
6,6,14/05/2015,1st,6,Kolkata Knight Riders,Wankhede Stadium,not out,61*,31,196.77,,111,58,37.00,191.38
7,,17/05/2015,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,111,58,37.00,191.38
8,7,19/05/2015,1st,5,Chennai Super Kings,Wankhede Stadium,c R A Jadeja b A Nehra,1,2,50.00,,112,60,28.00,186.67
9,8,24/05/2015,1st,6,Chennai Super Kings,Eden Gardens,c S K Raina b D J J Bravo,0,2,0.00,,112,62,22.40,180.65
10,9,09/04/2016,1st,3,Rising Pune Supergiant,Wankhede Stadium,c †M S Dhoni b M R Marsh,9,11,81.82,,121,73,20.17,165.75
11,10,13/04/2016,2nd,3,Kolkata Knight Riders,Eden Gardens,c M K Pandey b P P Chawla,9,10,90.00,,130,83,18.57,156.63
12,11,16/04/2016,1st,3,Gujarat Lions,Wankhede Stadium,c S B Jakati b D S Kulkarni,2,6,33.33,,132,89,16.50,148.31
13,12,18/04/2016,1st,7,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b Mustafizur Rahman,2,5,40.00,,134,94,14.89,142.55
14,13,20/04/2016,2nd,6,Royal Challengers Bengaluru,Barabati Stadium,not out,2*,3,66.67,,136,97,15.11,140.21
15,14,23/04/2016,2nd,7,Delhi Capitals,Arun Jaitley Stadium,not out,2*,2,100.00,,138,99,15.33,139.39
16,15,25/04/2016,1st,6,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c D A Miller b M M Sharma,4,2,200.00,,142,101,14.20,140.59
17,,28/04/2016,2nd,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,142,101,14.20,140.59
18,,01/05/2016,2nd,-,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,142,101,14.20,140.59
19,16,08/05/2016,2nd,7,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,c †N V Ojha b Mustafizur Rahman,7,16,43.75,,149,117,13.55,127.35
20,17,21/05/2016,1st,7,Gujarat Lions,Green Park,c R A Jadeja b P Kumar,7,8,87.50,,156,125,13.00,124.80
21,18,06/04/2017,1st,8,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,not out,35*,15,233.33,,191,140,15.92,136.43
22,19,09/04/2017,2nd,7,Kolkata Knight Riders,Wankhede Stadium,not out,29*,11,263.64,,220,151,18.33,145.70
23,20,12/04/2017,2nd,7,Sunrisers Hyderabad,Wankhede Stadium,not out,2*,3,66.67,,222,154,18.50,144.16
24,21,14/04/2017,2nd,8,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,9*,4,225.00,,231,158,19.25,146.20
25,22,16/04/2017,2nd,6,Gujarat Lions,Wankhede Stadium,not out,6*,3,200.00,,237,161,19.75,147.20
26,23,20/04/2017,2nd,4,Punjab Kings,Holkar Cricket Stadium,not out,15*,4,375.00,,252,165,21.00,152.73
27,24,22/04/2017,1st,7,Delhi Capitals,Wankhede Stadium,run out,24,23,104.35,,276,188,21.23,146.81
28,25,24/04/2017,2nd,7,Rising Pune Supergiant,Wankhede Stadium,c B A Stokes b J D Unadkat,13,11,118.18,,289,199,20.64,145.23
29,26,29/04/2017,2nd,7,Gujarat Lions,Saurashtra Cricket Association Stadium,c Ishan Kishan b Basil Thampi,4,5,80.00,,293,204,19.53,143.63
30,27,01/05/2017,2nd,8,Royal Challengers Bengaluru,Wankhede Stadium,not out,14*,9,155.56,,307,213,20.47,144.13
31,28,06/05/2017,1st,5,Delhi Capitals,Barabati Stadium,not out,29*,14,207.14,,336,227,22.40,148.02
32,29,08/05/2017,1st,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c M C Henriques b Rashid Khan,15,24,62.50,,351,251,21.94,139.84
33,30,11/05/2017,2nd,6,Punjab Kings,Wankhede Stadium,c †W P Saha b Sandeep Sharma,30,13,230.77,,381,264,22.41,144.32
34,31,13/05/2017,1st,6,Kolkata Knight Riders,Eden Gardens,not out,1*,2,50.00,,382,266,22.47,143.61
35,32,16/05/2017,2nd,6,Rising Pune Supergiant,Wankhede Stadium,c D T Christian b L H Ferguson,14,10,140.00,,396,276,22.00,143.48
36,,19/05/2017,2nd,-,Kolkata Knight Riders,M Chinnaswamy Stadium,did not bat,-,-,-,,396,276,22.00,143.48
37,33,21/05/2017,1st,7,Rising Pune Supergiant,Rajiv Gandhi International Stadium,lbw b D T Christian,10,9,111.11,,406,285,21.37,142.46
38,34,07/04/2018,1st,5,Chennai Super Kings,Wankhede Stadium,not out,22*,20,110.00,,428,305,22.53,140.33
39,35,14/04/2018,1st,7,Delhi Capitals,Wankhede Stadium,c S S Iyer b T A Boult,2,3,66.67,,430,308,21.50,139.61
40,36,17/04/2018,1st,7,Royal Challengers Bengaluru,Wankhede Stadium,not out,17*,5,340.00,,447,313,22.35,142.81
41,37,22/04/2018,1st,7,Rajasthan Royals,Sawai Mansingh Stadium,b J C Archer,4,2,200.00,,451,315,21.48,143.17
42,38,24/04/2018,2nd,7,Sunrisers Hyderabad,Wankhede Stadium,c Basil Thampi b S Kaul,3,19,15.79,,454,334,20.64,135.93
43,39,28/04/2018,2nd,4,Chennai Super Kings,Maharashtra Cricket Association Stadium,not out,13*,8,162.50,,467,342,21.23,136.55
44,40,01/05/2018,2nd,6,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c V Kohli b T G Southee,50,42,119.05,,517,384,22.48,134.64
45,41,04/05/2018,2nd,4,Punjab Kings,Holkar Cricket Stadium,b A J Tye,23,13,176.92,,540,397,22.50,136.02
