Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,11/04/2016,2nd,6,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c M M Sharma b M G Johnson,11,8,137.50,,11,8,11.00,137.50
2,2,27/04/2016,1st,6,Delhi Capitals,Arun Jaitley Stadium,c J-P Duminy b Imran Tahir,2,6,33.33,,13,14,6.50,92.86
3,3,29/04/2016,2nd,8,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,run out,0,1,0.00,,13,15,4.33,86.67
4,4,01/05/2016,2nd,7,Punjab Kings,Saurashtra Cricket Association Stadium,run out,27,24,112.50,,40,39,10.00,102.56
5,5,03/05/2016,1st,8,Delhi Capitals,Saurashtra Cricket Association Stadium,run out,2,2,100.00,,42,41,8.40,102.44
6,,14/04/2017,2nd,-,Rising Pune Supergiant,Saurashtra Cricket Association Stadium,did not bat,-,-,-,,42,41,8.40,102.44
7,6,16/04/2017,1st,4,Mumbai Indians,Wankhede Stadium,c K H Pandya b M J McClenaghan,11,14,78.57,,53,55,8.83,96.36
8,7,18/04/2017,2nd,7,Royal Challengers Bengaluru,Saurashtra Cricket Association Stadium,c Y S Chahal b A F Milne,39,16,243.75,,92,71,13.14,129.58
9,8,21/04/2017,2nd,5,Kolkata Knight Riders,Eden Gardens,c U T Yadav b Kuldeep Yadav,4,11,36.36,,96,82,12.00,117.07
10,9,27/04/2017,2nd,1,Royal Challengers Bengaluru,M Chinnaswamy Stadium,lbw b S Badree,16,11,145.45,,112,93,12.44,120.43
11,10,29/04/2017,1st,1,Mumbai Indians,Saurashtra Cricket Association Stadium,c K A Pollard b Harbhajan Singh,48,35,137.14,,160,128,16.00,125.00
12,11,01/05/2017,1st,1,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c Washington Sundar b Imran Tahir,31,24,129.17,,191,152,17.36,125.66
13,12,04/05/2017,1st,6,Delhi Capitals,Arun Jaitley Stadium,c S S Iyer b P J Cummins,4,6,66.67,,195,158,16.25,123.42
14,13,07/05/2017,2nd,2,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c sub b T Natarajan,29,24,120.83,,224,182,17.23,123.08
15,14,10/05/2017,1st,2,Delhi Capitals,Green Park,c Z Khan b A Mishra,34,25,136.00,,258,207,18.43,124.64
16,15,13/05/2017,1st,2,Sunrisers Hyderabad,Green Park,c †N V Ojha b Mohammed Siraj,61,40,152.50,,319,247,21.27,129.15
17  (k),16,07/04/2018,1st,3,Chennai Super Kings,Wankhede Stadium,c M A Wood b Imran Tahir,40,29,137.93,,359,276,22.44,130.07
18  (k),17,12/04/2018,1st,3,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c Y K Pathan b S Kaul,9,9,100.00,,368,285,21.65,129.12
19  (k),18,14/04/2018,1st,3,Delhi Capitals,Wankhede Stadium,b D T Christian,44,23,191.30,,412,308,22.89,133.77
20  (k),19,17/04/2018,1st,3,Royal Challengers Bengaluru,Wankhede Stadium,b U T Yadav,0,1,0.00,,412,309,21.68,133.33
21  (k),20,22/04/2018,1st,3,Rajasthan Royals,Sawai Mansingh Stadium,c †J C Buttler b D S Kulkarni,58,42,138.10,,470,351,23.50,133.90
22  (k),21,24/04/2018,2nd,3,Sunrisers Hyderabad,Wankhede Stadium,c sub b Mohammad Nabi,0,3,0.00,,470,354,22.38,132.77
23  (k),,28/04/2018,2nd,-,Chennai Super Kings,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,470,354,22.38,132.77
24  (k),22,01/05/2018,2nd,2,Royal Challengers Bengaluru,M Chinnaswamy Stadium,b T G Southee,0,1,0.00,,470,355,21.36,132.39
25  (k),23,04/05/2018,2nd,3,Punjab Kings,Holkar Cricket Stadium,b Mujeeb Ur Rahman,25,19,131.58,,495,374,21.52,132.35
26  (k),,06/05/2018,1st,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,495,374,21.52,132.35
27  (k),24,09/05/2018,1st,4,Kolkata Knight Riders,Eden Gardens,c R V Uthappa b S P Narine,62,21,295.24,,557,395,23.21,141.01
28  (k),25,13/05/2018,1st,4,Rajasthan Royals,Wankhede Stadium,c S V Samson b B A Stokes,12,11,109.09,,569,406,22.76,140.15
29  (k),26,16/05/2018,1st,3,Punjab Kings,Wankhede Stadium,c M P Stoinis b A J Tye,20,12,166.67,,589,418,22.65,140.91
30  (k),27,20/05/2018,2nd,3,Delhi Capitals,Arun Jaitley Stadium,c V Shankar b A Mishra,5,13,38.46,,594,431,22.00,137.82
31,28,06/04/2019,1st,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,run out,17,21,80.95,,611,452,21.82,135.18
32,29,10/04/2019,2nd,5,Punjab Kings,Wankhede Stadium,run out,7,10,70.00,,618,462,21.31,133.77
