Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,18/04/2008,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
2,,20/04/2008,2nd,-,Deccan Chargers,Eden Gardens,did not bat,-,-,-,,0,0,,-
3,1,26/04/2008,1st,10,Chennai Super Kings,MA Chidambaram Stadium,not out,4*,3,133.33,,4,3,,133.33
4,2,29/04/2008,1st,10,Mumbai Indians,Eden Gardens,not out,0*,0,-,,4,3,,133.33
5,3,01/05/2008,2nd,10,Rajasthan Royals,Sawai Mansingh Stadium,not out,1*,1,100.00,,5,4,,125.00
6,,03/05/2008,2nd,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,5,4,,125.00
7,,08/05/2008,1st,-,Royal Challengers Bengaluru,Eden Gardens,did not bat,-,-,-,,5,4,,125.00
8,,11/05/2008,1st,-,Deccan Chargers,Rajiv Gandhi International Stadium,did not bat,-,-,-,,5,4,,125.00
9,,13/05/2008,1st,-,Delhi Capitals,Eden Gardens,did not bat,-,-,-,,5,4,,125.00
10,4,16/05/2008,1st,10,Mumbai Indians,Wankhede Stadium,c & b D  Thornely,4,5,80.00,,9,9,9.00,100.00
11,,18/05/2008,1st,-,Chennai Super Kings,Eden Gardens,did not bat,-,-,-,,9,9,9.00,100.00
12,5,20/05/2008,1st,10,Rajasthan Royals,Eden Gardens,not out,2*,1,200.00,,11,10,11.00,110.00
13,6,25/05/2008,2nd,9,Punjab Kings,Eden Gardens,not out,0*,1,0.00,,11,11,11.00,100.00
14,7,19/04/2009,1st,10,Deccan Chargers,Newlands,b R P Singh,9,9,100.00,,20,20,10.00,100.00
15,,21/04/2009,2nd,-,Punjab Kings,Kingsmead,did not bat,-,-,-,,20,20,10.00,100.00
16,8,23/04/2009,2nd,9,Rajasthan Royals,Newlands,run out,1,1,100.00,,21,21,7.00,100.00
17,9,27/04/2009,2nd,8,Mumbai Indians,St George's Park,not out,6*,3,200.00,,27,24,9.00,112.50
18,,29/04/2009,1st,-,Royal Challengers Bengaluru,Kingsmead,did not bat,-,-,-,,27,24,9.00,112.50
19,,01/05/2009,2nd,-,Mumbai Indians,Buffalo Park,did not bat,-,-,-,,27,24,9.00,112.50
20,,03/05/2009,1st,-,Punjab Kings,St George's Park,did not bat,-,-,-,,27,24,9.00,112.50
21,,05/05/2009,1st,-,Delhi Capitals,Kingsmead,did not bat,-,-,-,,27,24,9.00,112.50
22,,10/05/2009,1st,-,Delhi Capitals,Wanderers Stadium,did not bat,-,-,-,,27,24,9.00,112.50
23,,12/05/2009,1st,-,Royal Challengers Bengaluru,SuperSport Park,did not bat,-,-,-,,27,24,9.00,112.50
24,,16/05/2009,1st,-,Deccan Chargers,Wanderers Stadium,did not bat,-,-,-,,27,24,9.00,112.50
25,,12/03/2010,1st,-,Deccan Chargers,Dr DY Patil Sports Academy,did not bat,-,-,-,,27,24,9.00,112.50
26,,14/03/2010,2nd,-,Royal Challengers Bengaluru,Eden Gardens,did not bat,-,-,-,,27,24,9.00,112.50
27,10,16/03/2010,2nd,11,Chennai Super Kings,Eden Gardens,not out,6*,15,40.00,,33,39,11.00,84.62
28,,20/03/2010,2nd,-,Rajasthan Royals,Narendra Modi Stadium,did not bat,-,-,-,,33,39,11.00,84.62
29,,22/03/2010,1st,-,Mumbai Indians,Brabourne Stadium,did not bat,-,-,-,,33,39,11.00,84.62
30,,29/03/2010,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,33,39,11.00,84.62
31,11,10/04/2010,1st,10,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c †R V Uthappa b R Vinay Kumar,0,2,0.00,,33,41,8.25,80.49
32,12,09/04/2011,1st,10,Rajasthan Royals,Rajiv Gandhi International Stadium,not out,1*,1,100.00,,34,42,8.50,80.95
33,13,11/04/2011,2nd,10,Kolkata Knight Riders,Eden Gardens,not out,1*,1,100.00,,35,43,8.75,81.40
