Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,04/04/2013,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
2,,21/04/2013,1st,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,0,0,,-
3,1,19/04/2014,1st,11,Royal Challengers Bengaluru,Dubai International Cricket Stadium,not out,1*,1,100.00,,1,1,,100.00
4,,03/05/2014,2nd,-,Punjab Kings,Wankhede Stadium,did not bat,-,-,-,,1,1,,100.00
5,,06/05/2014,1st,-,Royal Challengers Bengaluru,Wankhede Stadium,did not bat,-,-,-,,1,1,,100.00
6,,10/05/2014,1st,-,Chennai Super Kings,Wankhede Stadium,did not bat,-,-,-,,1,1,,100.00
7,,12/05/2014,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,1,1,,100.00
8,,14/05/2014,1st,-,Kolkata Knight Riders,Barabati Stadium,did not bat,-,-,-,,1,1,,100.00
9,,19/05/2014,1st,-,Rajasthan Royals,Narendra Modi Stadium,did not bat,-,-,-,,1,1,,100.00
10,,21/05/2014,2nd,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,1,1,,100.00
11,2,23/05/2014,1st,11,Delhi Capitals,Wankhede Stadium,not out,0*,2,0.00,,1,3,,33.33
12,,25/05/2014,2nd,-,Rajasthan Royals,Wankhede Stadium,did not bat,-,-,-,,1,3,,33.33
13,,28/05/2014,1st,-,Chennai Super Kings,Brabourne Stadium,did not bat,-,-,-,,1,3,,33.33
14,,08/04/2015,1st,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,1,3,,33.33
15,,19/04/2015,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,1,3,,33.33
16,3,23/04/2015,2nd,11,Delhi Capitals,Arun Jaitley Stadium,not out,0*,0,-,,1,3,,33.33
17,,10/05/2015,2nd,-,Royal Challengers Bengaluru,Wankhede Stadium,did not bat,-,-,-,,1,3,,33.33
18,,09/04/2016,1st,-,Rising Pune Supergiant,Wankhede Stadium,did not bat,-,-,-,,1,3,,33.33
19,,13/04/2016,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,1,3,,33.33
20,,16/04/2016,1st,-,Gujarat Lions,Wankhede Stadium,did not bat,-,-,-,,1,3,,33.33
21,,18/04/2016,1st,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,1,3,,33.33
22,,20/04/2016,2nd,-,Royal Challengers Bengaluru,Barabati Stadium,did not bat,-,-,-,,1,3,,33.33
23,,23/04/2016,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,1,3,,33.33
24,,25/04/2016,1st,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,1,3,,33.33
25,,28/04/2016,2nd,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,1,3,,33.33
