Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,09/05/2015,2nd,-,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,did not bat,-,-,-,,0,0,,-
2,,12/05/2015,2nd,-,Chennai Super Kings,Shaheed Veer Narayan Sing International Stadium,did not bat,-,-,-,,0,0,,-
3,,17/05/2015,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
4,,15/04/2016,2nd,-,Punjab Kings,Arun Jaitley Stadium,did not bat,-,-,-,,0,0,,-
5,1,05/05/2016,1st,8,Rising Pune Supergiant,Arun Jaitley Stadium,run out,1,3,33.33,,1,3,1.00,33.33
6,,12/05/2016,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,1,3,1.00,33.33
7,,20/05/2016,2nd,-,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,did not bat,-,-,-,,1,3,1.00,33.33
8,2,22/05/2016,1st,9,Royal Challengers Bengaluru,Shaheed Veer Narayan Sing International Stadium,run out,5,7,71.43,,6,10,3.00,60.00
9,,19/04/2017,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,6,10,3.00,60.00
10,,02/05/2017,2nd,-,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bat,-,-,-,,6,10,3.00,60.00
11,,18/04/2019,1st,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,6,10,3.00,60.00
12,,07/05/2019,2nd,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,6,10,3.00,60.00
13,,31/10/2020,2nd,-,Delhi Capitals,Dubai International Cricket Stadium,did not bat,-,-,-,,6,10,3.00,60.00
14,,10/11/2020,2nd,-,Delhi Capitals,Dubai International Cricket Stadium,did not bat,-,-,-,,6,10,3.00,60.00
15,3,20/04/2021,1st,8,Delhi Capitals,MA Chidambaram Stadium,c & b K Rabada,23,22,104.55,,29,32,9.67,90.63
16,4,23/04/2021,1st,8,Punjab Kings,MA Chidambaram Stadium,not out,0*,0,-,,29,32,9.67,90.63
17,,29/04/2021,2nd,-,Rajasthan Royals,Arun Jaitley Stadium,did not bat,-,-,-,,29,32,9.67,90.63
18,5,02/10/2021,1st,9,Delhi Capitals,Sharjah Cricket Stadium,c S P D Smith b R Ashwin,11,4,275.00,,40,36,10.00,111.11
19,,05/10/2021,2nd,-,Rajasthan Royals,Sharjah Cricket Stadium,did not bat,-,-,-,,40,36,10.00,111.11
20,,22/04/2023,1st,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,40,36,10.00,111.11
