Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,04/04/2010,1st,-,Punjab Kings,Eden Gardens,did not bat,-,-,-,,0,0,,-
2,,17/04/2010,2nd,-,Rajasthan Royals,Eden Gardens,did not bat,-,-,-,,0,0,,-
3,,19/04/2010,2nd,-,Mumbai Indians,Eden Gardens,did not bat,-,-,-,,0,0,,-
4,,11/04/2011,1st,-,Deccan Chargers,Eden Gardens,did not bat,-,-,-,,0,0,,-
5,,22/04/2011,1st,-,Royal Challengers Bengaluru,Eden Gardens,did not bat,-,-,-,,0,0,,-
6,,28/04/2011,1st,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,0,0,,-
7,,03/05/2011,1st,-,Deccan Chargers,Rajiv Gandhi International Stadium,did not bat,-,-,-,,0,0,,-
8,,05/05/2011,2nd,-,Kochi Tuskers Kerala,Nehru Stadium (Kochi),did not bat,-,-,-,,0,0,,-
9,,07/05/2011,2nd,-,Chennai Super Kings,Eden Gardens,did not bat,-,-,-,,0,0,,-
10,,14/05/2011,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
11,,15/04/2012,2nd,-,Punjab Kings,Eden Gardens,did not bat,-,-,-,,0,0,,-
12,,04/04/2013,1st,-,Mumbai Indians,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
13,1,07/04/2013,1st,10,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,1*,1,100.00,,1,1,,100.00
14,,09/04/2013,2nd,-,Sunrisers Hyderabad,M Chinnaswamy Stadium,did not bat,-,-,-,,1,1,,100.00
15,,11/04/2013,2nd,-,Kolkata Knight Riders,M Chinnaswamy Stadium,did not bat,-,-,-,,1,1,,100.00
16,,16/04/2013,2nd,-,Delhi Capitals,M Chinnaswamy Stadium,did not bat,-,-,-,,1,1,,100.00
