Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1  (k),1,15/04/2025,1st,4,Kolkata Knight Riders,Maharaja Yadavindra Singh International Cricket St,b C V Varun,2,6,33.33,,2,6,2.00,33.33
2  (k),2,18/04/2025,2nd,4,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c S Sharma b J R Hazlewood,14,17,82.35,,16,23,8.00,69.57
3  (k),3,20/04/2025,1st,4,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,b S Sharma,29,17,170.59,,45,40,15.00,112.50
4  (k),4,26/04/2025,1st,6,Kolkata Knight Riders,Eden Gardens,not out,11*,6,183.33,,56,46,18.67,121.74
5  (k),5,30/04/2025,2nd,6,Chennai Super Kings,MA Chidambaram Stadium,not out,6*,6,100.00,,62,52,20.67,119.23
6  (k),6,04/05/2025,1st,3,Lucknow Super Giants,Himachal Pradesh Cricket Association Stadium,c D A Miller b Akash Singh,30,14,214.29,,92,66,23.00,139.39
7  (k),7,24/05/2025,1st,3,Delhi Capitals,Sawai Mansingh Stadium,st T Stubbs b V Nigam,32,12,266.67,,124,78,24.80,158.97
8  (k),8,26/05/2025,2nd,3,Mumbai Indians,Sawai Mansingh Stadium,lbw b M J Santner,73,42,173.81,,197,120,32.83,164.17
9  (k),9,29/05/2025,1st,3,Royal Challengers Bengaluru,Maharaja Yadavindra Singh International Cricket St,c B Kumar b J R Hazlewood,4,7,57.14,,201,127,28.71,158.27
10  (k),10,01/06/2025,2nd,3,Mumbai Indians,Narendra Modi Stadium,c †J M Bairstow b H H Pandya,38,21,180.95,,239,148,29.88,161.49
