Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,26/09/2020,2nd,-,Sunrisers Hyderabad,Sheikh Zayed Stadium,did not bat,-,-,-,,0,0,,-
2,1,30/09/2020,1st,8,Rajasthan Royals,Dubai International Cricket Stadium,not out,8*,5,160.00,,8,5,,160.00
3,2,03/10/2020,2nd,9,Delhi Capitals,Sharjah Cricket Stadium,not out,3*,3,100.00,,11,8,,137.50
4,3,07/10/2020,1st,9,Chennai Super Kings,Sheikh Zayed Stadium,c F du Plessis b D J J Bravo,0,2,0.00,,11,10,11.00,110.00
5,,10/10/2020,1st,-,Punjab Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,11,10,11.00,110.00
6,4,12/10/2020,2nd,9,Royal Challengers Bengaluru,Sharjah Cricket Stadium,b C H Morris,4,7,57.14,,15,17,7.50,88.24
7,,24/10/2020,1st,-,Delhi Capitals,Sheikh Zayed Stadium,did not bat,-,-,-,,15,17,7.50,88.24
8,5,26/10/2020,1st,7,Punjab Kings,Sharjah Cricket Stadium,b M Ashwin,6,13,46.15,,21,30,7.00,70.00
9,,29/10/2020,1st,-,Chennai Super Kings,Dubai International Cricket Stadium,did not bat,-,-,-,,21,30,7.00,70.00
10,6,01/11/2020,1st,9,Rajasthan Royals,Dubai International Cricket Stadium,not out,1*,1,100.00,,22,31,7.33,70.97
11,7,21/04/2021,2nd,9,Chennai Super Kings,Wankhede Stadium,c F du Plessis b L Ngidi,0,2,0.00,,22,33,5.50,66.67
12,,27/03/2022,2nd,-,Mumbai Indians,Brabourne Stadium,did not bat,-,-,-,,22,33,5.50,66.67
