Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,04/04/2013,1st,6,Mumbai Indians,M Chinnaswamy Stadium,lbw b J J Bumrah,0,3,0.00,,0,3,0.00,0.00
2,2,07/04/2013,1st,4,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,lbw b A Mishra,9,9,100.00,,9,12,4.50,75.00
3,3,26/04/2014,2nd,2,Royal Challengers Bengaluru,Sheikh Zayed Stadium,c †P A Patel b M A Starc,8,12,66.67,,17,24,5.67,70.83
4,4,29/04/2014,1st,2,Kolkata Knight Riders,Sheikh Zayed Stadium,b R Vinay Kumar,1,5,20.00,,18,29,4.50,62.07
5,5,03/05/2014,2nd,2,Delhi Capitals,Arun Jaitley Stadium,not out,73*,50,146.00,,91,79,22.75,115.19
6,6,05/05/2014,1st,2,Kolkata Knight Riders,Narendra Modi Stadium,st R V Uthappa b Shakib Al Hasan,44,35,125.71,,135,114,27.00,118.42
7,7,08/05/2014,2nd,2,Sunrisers Hyderabad,Narendra Modi Stadium,c †N V Ojha b D W Steyn,12,9,133.33,,147,123,24.50,119.51
8,8,11/05/2014,2nd,2,Royal Challengers Bengaluru,M Chinnaswamy Stadium,b Yuvraj Singh,56,39,143.59,,203,162,29.00,125.31
9,9,13/05/2014,1st,4,Chennai Super Kings,JSCA International Stadium Complex,b S Badree,8,11,72.73,,211,173,26.38,121.97
10,10,15/05/2014,1st,2,Delhi Capitals,Narendra Modi Stadium,lbw b S Nadeem,19,14,135.71,,230,187,25.56,122.99
11,11,19/05/2014,2nd,1,Mumbai Indians,Narendra Modi Stadium,c K Santokie b Harbhajan Singh,48,24,200.00,,278,211,27.80,131.75
12,12,23/05/2014,2nd,2,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c G J Bailey b L Balaji,11,6,183.33,,289,217,26.27,133.18
13,13,25/05/2014,1st,3,Mumbai Indians,Wankhede Stadium,c L M P Simmons b J J Bumrah,50,27,185.19,,339,244,28.25,138.93
14,14,10/04/2015,1st,4,Punjab Kings,Maharashtra Cricket Association Stadium,b A R Patel,8,11,72.73,,347,255,26.69,136.08
15,15,12/04/2015,2nd,4,Delhi Capitals,Arun Jaitley Stadium,st K M Jadhav b A Mishra,20,12,166.67,,367,267,26.21,137.45
16,,14/04/2015,2nd,-,Mumbai Indians,Narendra Modi Stadium,did not bat,-,-,-,,367,267,26.21,137.45
