Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,11/04/2013,2nd,-,Kolkata Knight Riders,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
2,1,16/04/2013,2nd,2,Delhi Capitals,M Chinnaswamy Stadium,c D P M D Jayawardene b A Nehra,12,12,100.00,,12,12,12.00,100.00
3,,02/05/2013,1st,-,Pune Warriors,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,12,12,12.00,100.00
4,2,14/05/2013,1st,6,Punjab Kings,M Chinnaswamy Stadium,c Mandeep Singh b Azhar Mahmood,8,4,200.00,,20,16,10.00,125.00
5  (k),,18/05/2013,1st,-,Chennai Super Kings,M Chinnaswamy Stadium,did not bat,-,-,-,,20,16,10.00,125.00
6  (k),3,18/04/2014,1st,4,Rajasthan Royals,Sheikh Zayed Stadium,c A M Rahane b D S Kulkarni,20,18,111.11,,40,34,13.33,117.65
7  (k),4,22/04/2014,2nd,4,Punjab Kings,Sharjah Cricket Stadium,c D A Miller b A R Patel,27,27,100.00,,67,61,16.75,109.84
8,,25/04/2014,1st,-,Delhi Capitals,Dubai International Cricket Stadium,did not bat,-,-,-,,67,61,16.75,109.84
9  (k),5,27/04/2014,1st,4,Chennai Super Kings,Sharjah Cricket Stadium,c I C Pandey b D R Smith,25,27,92.59,,92,88,18.40,104.55
10,6,30/04/2014,1st,3,Mumbai Indians,Dubai International Cricket Stadium,c †C M  Gautam b S L Malinga,46,40,115.00,,138,128,23.00,107.81
11,7,04/05/2014,1st,3,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c C H Gayle b A B Dinda,6,6,100.00,,144,134,20.57,107.46
12,8,08/05/2014,1st,3,Rajasthan Royals,Narendra Modi Stadium,b R Bhatia,18,18,100.00,,162,152,20.25,106.58
13,,10/05/2014,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,162,152,20.25,106.58
14,9,12/05/2014,1st,3,Mumbai Indians,Rajiv Gandhi International Stadium,run out,10,13,76.92,,172,165,19.11,104.24
15,,14/05/2014,1st,-,Punjab Kings,Rajiv Gandhi International Stadium,did not bat,-,-,-,,172,165,19.11,104.24
16,10,18/05/2014,1st,5,Kolkata Knight Riders,Rajiv Gandhi International Stadium,lbw b P P Chawla,14,15,93.33,,186,180,18.60,103.33
17,11,11/04/2015,2nd,3,Chennai Super Kings,MA Chidambaram Stadium,b M M Sharma,5,8,62.50,,191,188,17.36,101.60
18,12,13/04/2015,2nd,4,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,44*,28,157.14,,235,216,21.36,108.80
19,13,16/04/2015,1st,3,Rajasthan Royals,Dr YS Rajasekhara Reddy Cricket Stadium,lbw b D S Kulkarni,2,5,40.00,,237,221,19.75,107.24
20,14,18/04/2015,2nd,4,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,b A D Mathews,24,21,114.29,,261,242,20.08,107.85
21,15,22/04/2015,1st,6,Kolkata Knight Riders,Dr YS Rajasekhara Reddy Cricket Stadium,not out,0*,3,0.00,,261,245,20.08,106.53
22,16,25/04/2015,2nd,3,Mumbai Indians,Wankhede Stadium,c A T Rayudu b M J McClenaghan,25,27,92.59,,286,272,20.43,105.15
23,17,11/05/2015,1st,6,Punjab Kings,Rajiv Gandhi International Stadium,not out,17*,10,170.00,,303,282,21.64,107.45
24,,15/05/2015,1st,-,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,did not bat,-,-,-,,303,282,21.64,107.45
25,18,17/05/2015,1st,5,Mumbai Indians,Rajiv Gandhi International Stadium,b Harbhajan Singh,25,24,104.17,,328,306,21.87,107.19
26  (k),19,20/04/2016,1st,2,Mumbai Indians,Barabati Stadium,c Harbhajan Singh b M J McClenaghan,23,14,164.29,,351,320,21.94,109.69
27  (k),20,22/04/2016,1st,2,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c I Sharma b N L T C Perera,7,10,70.00,,358,330,21.06,108.48
28  (k),21,24/04/2016,1st,4,Gujarat Lions,Saurashtra Cricket Association Stadium,not out,51*,35,145.71,,409,365,24.06,112.05
29  (k),22,30/04/2016,2nd,2,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c †N V Ojha b M C Henriques,51,28,182.14,,460,393,25.56,117.05
30  (k),23,02/05/2016,1st,1,Kolkata Knight Riders,M Chinnaswamy Stadium,c Y K Pathan b P P Chawla,52,32,162.50,,512,425,26.95,120.47
31  (k),24,07/05/2016,2nd,2,Rising Pune Supergiant,M Chinnaswamy Stadium,c G J Bailey b A Zampa,38,35,108.57,,550,460,27.50,119.57
32  (k),25,09/05/2016,1st,2,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,b K C Cariappa,42,25,168.00,,592,485,28.19,122.06
33  (k),26,11/05/2016,1st,4,Mumbai Indians,M Chinnaswamy Stadium,not out,68*,53,128.30,,660,538,31.43,122.68
34  (k),,14/05/2016,1st,-,Gujarat Lions,M Chinnaswamy Stadium,did not bat,-,-,-,,660,538,31.43,122.68
35  (k),,16/05/2016,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,660,538,31.43,122.68
36  (k),27,18/05/2016,1st,4,Punjab Kings,M Chinnaswamy Stadium,not out,16*,6,266.67,,676,544,32.19,124.26
37  (k),28,22/05/2016,2nd,4,Delhi Capitals,Shaheed Veer Narayan Sing International Stadium,b C R Brathwaite,38,23,165.22,,714,567,32.45,125.93
38  (k),29,24/05/2016,2nd,4,Gujarat Lions,M Chinnaswamy Stadium,c D R Smith b D S Kulkarni,0,1,0.00,,714,568,31.04,125.70
39  (k),30,29/05/2016,2nd,4,Sunrisers Hyderabad,M Chinnaswamy Stadium,b B C J Cutting,11,9,122.22,,725,577,30.21,125.65
40  (k),31,08/04/2018,2nd,1,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,c Mohammed Shami b T A Boult,51,16,318.75,,776,593,31.04,130.86
41  (k),32,13/04/2018,1st,1,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c S N Khan b Washington Sundar,47,30,156.67,,823,623,31.65,132.10
42  (k),33,15/04/2018,1st,1,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,c D J J Bravo b Harbhajan Singh,37,22,168.18,,860,645,31.85,133.33
43  (k),34,19/04/2018,1st,1,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,lbw b Rashid Khan,18,21,85.71,,878,666,31.36,131.83
44  (k),35,21/04/2018,2nd,1,Kolkata Knight Riders,Eden Gardens,c T K Curran b S P Narine,60,27,222.22,,938,693,32.34,135.35
45  (k),36,23/04/2018,1st,1,Delhi Capitals,Arun Jaitley Stadium,c Avesh Khan b L E Plunkett,23,15,153.33,,961,708,32.03,135.73
46  (k),37,26/04/2018,2nd,1,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,b Rashid Khan,32,26,123.08,,993,734,32.03,135.29
47  (k),38,04/05/2018,1st,1,Mumbai Indians,Holkar Cricket Stadium,c J-P Duminy b M Markande,24,20,120.00,,1017,754,31.78,134.88
48  (k),39,06/05/2018,2nd,1,Rajasthan Royals,Holkar Cricket Stadium,not out,84*,54,155.56,,1101,808,34.41,136.26
49  (k),40,08/05/2018,2nd,1,Rajasthan Royals,Sawai Mansingh Stadium,not out,95*,70,135.71,,1196,878,37.38,136.22
50  (k),41,12/05/2018,2nd,1,Kolkata Knight Riders,Holkar Cricket Stadium,b S P Narine,66,29,227.59,,1262,907,38.24,139.14
51  (k),42,14/05/2018,1st,1,Royal Challengers Bengaluru,Holkar Cricket Stadium,c C de Grandhomme b U T Yadav,21,15,140.00,,1283,922,37.74,139.15
52  (k),43,16/05/2018,2nd,1,Mumbai Indians,Wankhede Stadium,c B C J Cutting b J J Bumrah,94,60,156.67,,1377,982,39.34,140.22
53  (k),44,20/05/2018,1st,1,Chennai Super Kings,Maharashtra Cricket Association Stadium,b L Ngidi,7,11,63.64,,1384,993,38.44,139.38
54,45,25/03/2019,1st,1,Rajasthan Royals,Sawai Mansingh Stadium,c †J C Buttler b D S Kulkarni,4,4,100.00,,1388,997,37.51,139.22
55  (k),46,27/03/2019,2nd,1,Kolkata Knight Riders,Eden Gardens,c Kuldeep Yadav b L H Ferguson,1,5,20.00,,1389,1002,36.55,138.62
56  (k),47,30/03/2019,2nd,1,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,not out,71*,57,124.56,,1460,1059,38.42,137.87
57  (k),48,01/04/2019,1st,1,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,lbw b C H Morris,15,11,136.36,,1475,1070,37.82,137.85
58  (k),49,06/04/2019,2nd,1,Chennai Super Kings,MA Chidambaram Stadium,c R A Jadeja b S C Kuggeleijn,55,47,117.02,,1530,1117,38.25,136.97
59  (k),50,08/04/2019,2nd,1,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,not out,71*,53,133.96,,1601,1170,40.03,136.84
60  (k),51,10/04/2019,1st,1,Mumbai Indians,Wankhede Stadium,not out,100*,64,156.25,,1701,1234,42.53,137.84
61,52,13/04/2019,1st,1,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,st P A Patel b Y S Chahal,18,15,120.00,,1719,1249,41.93,137.63
62,53,16/04/2019,1st,1,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,c J C Archer b J D Unadkat,52,47,110.64,,1771,1296,42.17,136.65
63  (k),54,20/04/2019,1st,1,Delhi Capitals,Arun Jaitley Stadium,st R R Pant b S Lamichhane,12,9,133.33,,1783,1305,41.47,136.63
64,55,24/04/2019,2nd,1,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c T G Southee b M M Ali,42,27,155.56,,1825,1332,41.48,137.01
65,56,29/04/2019,2nd,1,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c K S Williamson b K K Ahmed,79,56,141.07,,1904,1388,42.31,137.18
66,57,03/05/2019,1st,2,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,c C A Lynn b S Sandeep Warrier,2,7,28.57,,1906,1395,41.43,136.63
67,58,05/05/2019,2nd,1,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,c Imran Tahir b Harbhajan Singh,71,36,197.22,,1977,1431,42.06,138.16
68  (c)(k),59,20/09/2020,2nd,1,Delhi Capitals,Dubai International Cricket Stadium,b M M Sharma,21,19,110.53,,1998,1450,41.63,137.79
69  (c)(k),60,24/09/2020,1st,1,Royal Challengers Bengaluru,Dubai International Cricket Stadium,not out,132*,69,191.30,,2130,1519,44.38,140.22
70  (c)(k),61,27/09/2020,1st,1,Rajasthan Royals,Sharjah Cricket Stadium,c S Gopal b A S Rajpoot,69,54,127.78,,2199,1573,44.88,139.80
