Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,16/04/2016,1st,8,Gujarat Lions,Wankhede Stadium,not out,20*,11,181.82,,20,11,,181.82
2,2,18/04/2016,1st,6,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,49*,28,175.00,,69,39,,176.92
3,,20/04/2016,2nd,-,Royal Challengers Bengaluru,Barabati Stadium,did not bat,-,-,-,,69,39,,176.92
4,3,23/04/2016,2nd,4,Delhi Capitals,Arun Jaitley Stadium,run out,36,17,211.76,,105,56,105.00,187.50
5,4,25/04/2016,1st,7,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,0*,0,-,,105,56,105.00,187.50
6,5,28/04/2016,2nd,4,Kolkata Knight Riders,Wankhede Stadium,b S P Narine,6,5,120.00,,111,61,55.50,181.97
7,,01/05/2016,2nd,-,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,111,61,55.50,181.97
8,6,08/05/2016,2nd,4,Sunrisers Hyderabad,Dr YS Rajasekhara Reddy Cricket Stadium,c S Dhawan b B B Sran,17,11,154.55,,128,72,42.67,177.78
9,,11/05/2016,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,128,72,42.67,177.78
10,7,13/05/2016,1st,7,Punjab Kings,Dr YS Rajasekhara Reddy Cricket Stadium,c A R Patel b M P Stoinis,19,12,158.33,,147,84,36.75,175.00
11,8,15/05/2016,1st,3,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,b C H Morris,86,37,232.43,,233,121,46.60,192.56
12,9,21/05/2016,1st,4,Gujarat Lions,Green Park,c A J Finch b D R Smith,4,3,133.33,,237,124,39.50,191.13
13,10,06/04/2017,1st,6,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,c †M S Dhoni b R Bhatia,3,5,60.00,,240,129,34.29,186.05
14,11,09/04/2017,2nd,5,Kolkata Knight Riders,Wankhede Stadium,c †R V Uthappa b A S Rajpoot,11,6,183.33,,251,135,31.38,185.93
15,12,12/04/2017,2nd,6,Sunrisers Hyderabad,Wankhede Stadium,c B C J Cutting b B Kumar,37,20,185.00,,288,155,32.00,185.81
16,13,14/04/2017,2nd,7,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,37*,30,123.33,,325,185,36.11,175.68
17,,16/04/2017,2nd,-,Gujarat Lions,Wankhede Stadium,did not bat,-,-,-,,325,185,36.11,175.68
18,,20/04/2017,2nd,-,Punjab Kings,Holkar Cricket Stadium,did not bat,-,-,-,,325,185,36.11,175.68
19,14,22/04/2017,1st,6,Delhi Capitals,Wankhede Stadium,c †R R Pant b A Mishra,17,16,106.25,,342,201,34.20,170.15
20,15,29/04/2017,2nd,6,Gujarat Lions,Saurashtra Cricket Association Stadium,run out,29,20,145.00,,371,221,33.73,167.87
21,16,01/05/2017,2nd,6,Royal Challengers Bengaluru,Wankhede Stadium,retired hurt,2*,2,100.00,,373,223,33.91,167.26
22,17,13/05/2017,1st,7,Kolkata Knight Riders,Eden Gardens,not out,0*,1,0.00,,373,224,33.91,166.52
23,18,16/05/2017,2nd,7,Rising Pune Supergiant,Wankhede Stadium,c D T Christian b S N Thakur,15,11,136.36,,388,235,32.33,165.11
24,19,19/05/2017,2nd,5,Kolkata Knight Riders,M Chinnaswamy Stadium,not out,45*,30,150.00,,433,265,36.08,163.40
25,20,21/05/2017,1st,5,Rising Pune Supergiant,Rajiv Gandhi International Stadium,c A M Rahane b D T Christian,47,38,123.68,,480,303,36.92,158.42
26,21,07/04/2018,1st,6,Chennai Super Kings,Wankhede Stadium,not out,41*,22,186.36,,521,325,40.08,160.31
27,22,12/04/2018,1st,5,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c K S Williamson b Shakib Al Hasan,15,10,150.00,,536,335,38.29,160.00
28,23,14/04/2018,1st,6,Delhi Capitals,Wankhede Stadium,c R Tewatia b Mohammed Shami,11,10,110.00,,547,345,36.47,158.55
29,24,17/04/2018,1st,5,Royal Challengers Bengaluru,Wankhede Stadium,run out,15,12,125.00,,562,357,35.13,157.42
30,25,22/04/2018,1st,6,Rajasthan Royals,Sawai Mansingh Stadium,c H Klaasen b J C Archer,7,6,116.67,,569,363,33.47,156.75
31,26,24/04/2018,2nd,5,Sunrisers Hyderabad,Wankhede Stadium,lbw b Rashid Khan,24,20,120.00,,593,383,32.94,154.83
