Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,10/04/2022,1st,-,Lucknow Super Giants,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
2,1,14/04/2022,2nd,11,Gujarat Titans,Dr DY Patil Sports Academy,not out,0*,3,0.00,,0,3,,0.00
3,,26/04/2022,1st,-,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,0,3,,0.00
4,,30/04/2022,1st,-,Mumbai Indians,Dr DY Patil Sports Academy,did not bat,-,-,-,,0,3,,0.00
5,,02/05/2022,1st,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,0,3,,0.00
6,,07/05/2022,2nd,-,Punjab Kings,Wankhede Stadium,did not bat,-,-,-,,0,3,,0.00
7,,11/05/2022,1st,-,Delhi Capitals,Dr DY Patil Sports Academy,did not bat,-,-,-,,0,3,,0.00
8,,12/04/2023,1st,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,0,3,,0.00
9,,30/04/2023,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,0,3,,0.00
10,,10/04/2024,1st,-,Gujarat Titans,Sawai Mansingh Stadium,did not bat,-,-,-,,0,3,,0.00
11,,13/04/2024,2nd,-,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bat,-,-,-,,0,3,,0.00
12,,16/04/2024,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,0,3,,0.00
