Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,13/04/2019,2nd,6,Mumbai Indians,Wankhede Stadium,b K H Pandya,1,2,50.00,,1,2,1.00,50.00
2,2,27/04/2019,2nd,2,Sunrisers Hyderabad,Sawai Mansingh Stadium,c †W P Saha b Rashid Khan,44,26,169.23,,45,28,22.50,160.71
3,3,30/04/2019,2nd,2,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,11*,7,157.14,,56,35,28.00,160.00
4,4,04/05/2019,1st,2,Delhi Capitals,Arun Jaitley Stadium,b I Sharma,14,13,107.69,,70,48,23.33,145.83
5,5,21/09/2021,1st,4,Punjab Kings,Dubai International Cricket Stadium,c F A Allen b Arshdeep Singh,25,17,147.06,,95,65,23.75,146.15
6,6,25/09/2021,2nd,1,Delhi Capitals,Sheikh Zayed Stadium,c †R R Pant b Avesh Khan,1,3,33.33,,96,68,19.20,141.18
7,7,27/09/2021,1st,4,Sunrisers Hyderabad,Dubai International Cricket Stadium,c Abdul Samad b Rashid Khan,4,6,66.67,,100,74,16.67,135.14
8,8,29/09/2021,1st,5,Royal Challengers Bengaluru,Dubai International Cricket Stadium,c A B de Villiers b Y S Chahal,6,9,66.67,,106,83,15.14,127.71
9,9,07/10/2021,2nd,2,Kolkata Knight Riders,Sharjah Cricket Stadium,c R A Tripathi b L H Ferguson,6,6,100.00,,112,89,14.00,125.84
10,10,27/03/2022,2nd,4,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,c Anuj Rawat b Akash Deep,19,10,190.00,,131,99,14.56,132.32
11,11,01/04/2022,1st,4,Kolkata Knight Riders,Wankhede Stadium,c T G Southee b U T Yadav,19,16,118.75,,150,115,15.00,130.43
12,12,03/04/2022,1st,4,Chennai Super Kings,Brabourne Stadium,c A T Rayudu b R A Jadeja,60,32,187.50,,210,147,19.09,142.86
13,13,08/04/2022,1st,4,Gujarat Titans,Brabourne Stadium,c D A Miller b Rashid Khan,64,27,237.04,,274,174,22.83,157.47
14,14,13/04/2022,1st,4,Mumbai Indians,Maharashtra Cricket Association Stadium,b J J Bumrah,2,3,66.67,,276,177,21.23,155.93
15,15,17/04/2022,1st,4,Sunrisers Hyderabad,Dr DY Patil Sports Academy,c K S Williamson b B Kumar,60,33,181.82,,336,210,24.00,160.00
