Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,30/04/2018,1st,-,Delhi Capitals,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,0,0,,-
2,,03/05/2018,1st,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,0,0,,-
3,,05/05/2018,2nd,-,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,0,0,,-
4,,18/05/2018,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,0,0,,-
5,,20/05/2018,2nd,-,Punjab Kings,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,0,0,,-
6,,22/05/2018,2nd,-,Sunrisers Hyderabad,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
7,,27/05/2018,2nd,-,Sunrisers Hyderabad,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
8,,19/09/2020,2nd,-,Mumbai Indians,Sheikh Zayed Stadium,did not bat,-,-,-,,0,0,,-
9,,22/09/2020,2nd,-,Rajasthan Royals,Sharjah Cricket Stadium,did not bat,-,-,-,,0,0,,-
10,,29/10/2020,2nd,-,Kolkata Knight Riders,Dubai International Cricket Stadium,did not bat,-,-,-,,0,0,,-
11,,01/11/2020,2nd,-,Punjab Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,0,0,,-
12,,21/04/2021,1st,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
13,,28/04/2021,2nd,-,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bat,-,-,-,,0,0,,-
14,,01/05/2021,1st,-,Mumbai Indians,Arun Jaitley Stadium,did not bat,-,-,-,,0,0,,-
15,,03/05/2025,1st,-,Chennai Super Kings,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
16,1,23/05/2025,2nd,11,Sunrisers Hyderabad,BRSABV Ekana Cricket Stadium,not out,0*,2,0.00,,0,2,,0.00
