Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,11/04/2016,1st,6,Gujarat Lions,Punjab Cricket Association IS Bindra Stadium,c A J Finch b D J J Bravo,33,22,150.00,,33,22,33.00,150.00
2,2,01/05/2016,1st,2,Gujarat Lions,Saurashtra Cricket Association Stadium,st K D Karthik b R A Jadeja,27,17,158.82,,60,39,30.00,153.85
3,3,04/05/2016,2nd,2,Kolkata Knight Riders,Eden Gardens,c P P Chawla b A D Russell,0,3,0.00,,60,42,20.00,142.86
4,4,07/05/2016,1st,2,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,c S V Samson b Z Khan,52,44,118.18,,112,86,28.00,130.23
5,5,09/05/2016,2nd,5,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,not out,34*,22,154.55,,146,108,36.50,135.19
6,,13/05/2016,2nd,-,Mumbai Indians,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-,-,,146,108,36.50,135.19
7,,15/05/2016,1st,-,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,146,108,36.50,135.19
8,,08/04/2017,2nd,-,Rising Pune Supergiant,Holkar Cricket Stadium,did not bat,-,-,-,,146,108,36.50,135.19
9,,10/04/2017,2nd,-,Royal Challengers Bengaluru,Holkar Cricket Stadium,did not bat,-,-,-,,146,108,36.50,135.19
10,6,13/04/2017,1st,3,Kolkata Knight Riders,Eden Gardens,b S P Narine,9,12,75.00,,155,120,31.00,129.17
11,7,20/04/2017,1st,5,Mumbai Indians,Holkar Cricket Stadium,c K A Pollard b M J McClenaghan,1,3,33.33,,156,123,26.00,126.83
12,8,23/04/2017,1st,5,Gujarat Lions,Saurashtra Cricket Association Stadium,c B B McCullum b A J Tye,7,9,77.78,,163,132,23.29,123.48
13,9,08/04/2018,2nd,6,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,not out,22*,15,146.67,,185,147,26.43,125.85
14,10,13/04/2018,1st,6,Royal Challengers Bengaluru,M Chinnaswamy Stadium,st Q de Kock b Washington Sundar,11,9,122.22,,196,156,24.50,125.64
15,11,04/05/2018,1st,6,Mumbai Indians,Holkar Cricket Stadium,not out,29*,15,193.33,,225,171,28.13,131.58
16,12,06/05/2018,2nd,6,Rajasthan Royals,Holkar Cricket Stadium,not out,23*,16,143.75,,248,187,31.00,132.62
17,13,08/05/2018,2nd,8,Rajasthan Royals,Sawai Mansingh Stadium,c K Gowtham b J D Unadkat,11,16,68.75,,259,203,28.78,127.59
18,14,14/05/2018,1st,5,Royal Challengers Bengaluru,Holkar Cricket Stadium,b Y S Chahal,2,3,66.67,,261,206,26.10,126.70
19,15,16/05/2018,2nd,4,Mumbai Indians,Wankhede Stadium,c †Ishan Kishan b J J Bumrah,1,2,50.00,,262,208,23.82,125.96
20,16,02/04/2019,1st,5,Rajasthan Royals,Sawai Mansingh Stadium,not out,31*,28,110.71,,293,236,26.64,124.15
21,17,05/04/2019,1st,4,Kolkata Knight Riders,M Chinnaswamy Stadium,not out,28*,13,215.38,,321,249,29.18,128.92
22,18,07/04/2019,1st,4,Delhi Capitals,M Chinnaswamy Stadium,c R Tewatia b A R Patel,15,17,88.24,,336,266,28.00,126.32
23,19,13/04/2019,2nd,4,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,28*,16,175.00,,364,282,30.33,129.08
24,20,15/04/2019,1st,5,Mumbai Indians,Wankhede Stadium,c R G Sharma b S L Malinga,0,2,0.00,,364,284,28.00,128.17
25,21,19/04/2019,1st,5,Kolkata Knight Riders,Eden Gardens,not out,17*,8,212.50,,381,292,29.31,130.48
26,22,21/04/2019,1st,5,Chennai Super Kings,M Chinnaswamy Stadium,c sub b Imran Tahir,14,13,107.69,,395,305,28.21,129.51
27,23,24/04/2019,1st,6,Punjab Kings,M Chinnaswamy Stadium,not out,46*,34,135.29,,441,339,31.50,130.09
28,24,28/04/2019,2nd,7,Delhi Capitals,Arun Jaitley Stadium,not out,32*,24,133.33,,473,363,33.79,130.30
29,25,30/04/2019,1st,3,Rajasthan Royals,M Chinnaswamy Stadium,c S P D Smith b S Gopal,0,1,0.00,,473,364,31.53,129.95
30,26,20/09/2020,1st,6,Punjab Kings,Dubai International Cricket Stadium,run out,53,21,252.38,,526,385,32.88,136.62
31,27,25/09/2020,1st,5,Chennai Super Kings,Dubai International Cricket Stadium,not out,5*,3,166.67,,531,388,33.19,136.86
32,28,29/09/2020,2nd,6,Sunrisers Hyderabad,Sheikh Zayed Stadium,lbw b T Natarajan,11,9,122.22,,542,397,31.88,136.52
33,29,03/10/2020,1st,5,Kolkata Knight Riders,Sharjah Cricket Stadium,c C V Varun b A D Russell,1,3,33.33,,543,400,30.17,135.75
34,30,05/10/2020,1st,5,Royal Challengers Bengaluru,Dubai International Cricket Stadium,not out,53*,26,203.85,,596,426,33.11,139.91
35,31,09/10/2020,1st,5,Rajasthan Royals,Sharjah Cricket Stadium,c S P D Smith b R Tewatia,39,30,130.00,,635,456,33.42,139.25
36,32,11/10/2020,1st,5,Mumbai Indians,Sheikh Zayed Stadium,run out,13,8,162.50,,648,464,32.40,139.66
37,33,14/10/2020,1st,5,Rajasthan Royals,Dubai International Cricket Stadium,c R Tewatia b J C Archer,18,19,94.74,,666,483,31.71,137.89
38,34,17/10/2020,2nd,5,Chennai Super Kings,Sharjah Cricket Stadium,c A T Rayudu b S N Thakur,24,14,171.43,,690,497,31.36,138.83
39,35,20/10/2020,1st,5,Punjab Kings,Dubai International Cricket Stadium,c M A Agarwal b Mohammed Shami,9,10,90.00,,699,507,30.39,137.87
40,36,24/10/2020,2nd,6,Kolkata Knight Riders,Sheikh Zayed Stadium,c R A Tripathi b C V Varun,6,6,100.00,,705,513,29.38,137.43
41,37,27/10/2020,2nd,3,Sunrisers Hyderabad,Dubai International Cricket Stadium,c D A Warner b S Nadeem,5,6,83.33,,710,519,28.40,136.80
42,38,31/10/2020,1st,5,Mumbai Indians,Dubai International Cricket Stadium,c †Q de Kock b J J Bumrah,2,3,66.67,,712,522,27.38,136.40
43,39,02/11/2020,2nd,6,Royal Challengers Bengaluru,Sheikh Zayed Stadium,not out,10*,5,200.00,,722,527,27.77,137.00
44,40,05/11/2020,2nd,6,Mumbai Indians,Dubai International Cricket Stadium,b J J Bumrah,65,46,141.30,,787,573,29.15,137.35
45,41,08/11/2020,1st,1,Sunrisers Hyderabad,Sheikh Zayed Stadium,b Rashid Khan,38,27,140.74,,825,600,29.46,137.50
46,42,10/11/2020,1st,1,Mumbai Indians,Dubai International Cricket Stadium,c †Q de Kock b T A Boult,0,1,0.00,,825,601,28.45,137.27
47,43,10/04/2021,2nd,4,Chennai Super Kings,Wankhede Stadium,c S M Curran b S N Thakur,14,9,155.56,,839,610,27.97,137.54
48,44,15/04/2021,1st,5,Rajasthan Royals,Wankhede Stadium,c J C Buttler b Mustafizur Rahman,0,5,0.00,,839,615,27.06,136.42
49,45,18/04/2021,2nd,5,Punjab Kings,Wankhede Stadium,not out,27*,13,207.69,,866,628,27.94,137.90
50,,20/04/2021,2nd,-,Mumbai Indians,MA Chidambaram Stadium,did not bat,-,-,-,,866,628,27.94,137.90
51,46,25/04/2021,1st,6,Sunrisers Hyderabad,MA Chidambaram Stadium,not out,2*,2,100.00,,868,630,28.00,137.78
52,47,27/04/2021,2nd,5,Royal Challengers Bengaluru,Narendra Modi Stadium,c †A B de Villiers b H V Patel,22,17,129.41,,890,647,27.81,137.56
53,48,29/04/2021,2nd,4,Kolkata Knight Riders,Narendra Modi Stadium,not out,6*,3,200.00,,896,650,28.00,137.85
54,,02/05/2021,2nd,-,Punjab Kings,Narendra Modi Stadium,did not bat,-,-,-,,896,650,28.00,137.85
55,,22/09/2021,2nd,-,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bat,-,-,-,,896,650,28.00,137.85
56,49,13/10/2021,1st,3,Kolkata Knight Riders,Sharjah Cricket Stadium,b Shivam Mavi,18,23,78.26,,914,673,27.70,135.81
57,50,10/04/2022,2nd,8,Rajasthan Royals,Wankhede Stadium,not out,38*,17,223.53,,952,690,28.85,137.97
