Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,07/04/2018,1st,-,Chennai Super Kings,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
2,1,12/04/2018,1st,9,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,6*,3,200.00,,6,3,,200.00
3,2,14/04/2018,1st,9,Delhi Capitals,Wankhede Stadium,not out,4*,3,133.33,,10,6,,166.67
4,,17/04/2018,1st,-,Royal Challengers Bengaluru,Wankhede Stadium,did not bat,-,-,-,,10,6,,166.67
5,3,22/04/2018,1st,9,Rajasthan Royals,Sawai Mansingh Stadium,not out,0*,1,0.00,,10,7,,142.86
6,4,24/04/2018,2nd,9,Sunrisers Hyderabad,Wankhede Stadium,lbw b S Kaul,1,2,50.00,,11,9,11.00,122.22
7,,28/04/2018,2nd,-,Chennai Super Kings,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,11,9,11.00,122.22
8,,01/05/2018,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,11,9,11.00,122.22
9,,04/05/2018,2nd,-,Punjab Kings,Holkar Cricket Stadium,did not bat,-,-,-,,11,9,11.00,122.22
10,,06/05/2018,1st,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,11,9,11.00,122.22
11,,09/05/2018,1st,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,11,9,11.00,122.22
12,,13/05/2018,1st,-,Rajasthan Royals,Wankhede Stadium,did not bat,-,-,-,,11,9,11.00,122.22
13,5,16/05/2018,1st,10,Punjab Kings,Wankhede Stadium,not out,7*,5,140.00,,18,14,18.00,128.57
14,6,20/05/2018,2nd,9,Delhi Capitals,Arun Jaitley Stadium,b T A Boult,3,10,30.00,,21,24,10.50,87.50
15,7,28/03/2019,1st,9,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c †P A Patel b Mohammed Siraj,6,5,120.00,,27,29,9.00,93.10
16,8,30/03/2019,1st,9,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,0*,0,-,,27,29,9.00,93.10
17,,20/04/2019,1st,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,27,29,9.00,93.10
18,,02/10/2021,2nd,-,Chennai Super Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,27,29,9.00,93.10
19,,17/05/2022,2nd,-,Sunrisers Hyderabad,Wankhede Stadium,did not bat,-,-,-,,27,29,9.00,93.10
20,,21/05/2022,2nd,-,Delhi Capitals,Wankhede Stadium,did not bat,-,-,-,,27,29,9.00,93.10
21,,09/04/2023,2nd,-,Punjab Kings,Rajiv Gandhi International Stadium,did not bat,-,-,-,,27,29,9.00,93.10
22,,14/04/2023,1st,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,27,29,9.00,93.10
23,9,18/04/2023,2nd,11,Mumbai Indians,Rajiv Gandhi International Stadium,not out,2*,2,100.00,,29,31,9.67,93.55
24,,21/04/2023,1st,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,29,31,9.67,93.55
25,,24/04/2023,2nd,-,Delhi Capitals,Rajiv Gandhi International Stadium,did not bat,-,-,-,,29,31,9.67,93.55
26,,29/04/2023,1st,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,29,31,9.67,93.55
27,10,04/05/2023,2nd,10,Kolkata Knight Riders,Rajiv Gandhi International Stadium,not out,1*,2,50.00,,30,33,10.00,90.91
28,,07/05/2023,2nd,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,30,33,10.00,90.91
29,,13/05/2023,1st,-,Lucknow Super Giants,Rajiv Gandhi International Stadium,did not bat,-,-,-,,30,33,10.00,90.91
30,11,15/05/2023,2nd,10,Gujarat Titans,Narendra Modi Stadium,not out,18*,9,200.00,,48,42,16.00,114.29
31,,23/03/2024,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,48,42,16.00,114.29
32,,27/03/2024,1st,-,Mumbai Indians,Rajiv Gandhi International Stadium,did not bat,-,-,-,,48,42,16.00,114.29
33,,31/03/2024,1st,-,Gujarat Titans,Narendra Modi Stadium,did not bat,-,-,-,,48,42,16.00,114.29
34,,05/04/2024,2nd,-,Chennai Super Kings,Rajiv Gandhi International Stadium,did not bat,-,-,-,,48,42,16.00,114.29
35,,15/04/2024,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,48,42,16.00,114.29
36,,20/04/2024,1st,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,48,42,16.00,114.29
37,,25/04/2024,2nd,-,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,did not bat,-,-,-,,48,42,16.00,114.29
