Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,08/04/2010,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,0,0,,-
2,1,16/04/2010,2nd,6,Punjab Kings,Himachal Pradesh Cricket Association Stadium,c D P M D Jayawardene b Yuvraj Singh,15,11,136.36,,15,11,15.00,136.36
3,2,18/04/2010,1st,6,Delhi Capitals,Arun Jaitley Stadium,c M  Manhas b A Nehra,13,19,68.42,,28,30,14.00,93.33
4,3,27/04/2011,1st,7,Chennai Super Kings,Dr DY Patil Sports Academy,c R Ashwin b D E Bollinger,11,15,73.33,,39,45,13.00,86.67
5,4,08/05/2011,2nd,7,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,not out,2*,6,33.33,,41,51,13.67,80.39
6,,10/05/2011,2nd,-,Deccan Chargers,Rajiv Gandhi International Stadium,did not bat,-,-,-,,41,51,13.67,80.39
7,5,16/05/2011,1st,8,Deccan Chargers,Dr DY Patil Sports Academy,b P P Ojha,37,28,132.14,,78,79,19.50,98.73
8,,21/05/2011,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,78,79,19.50,98.73
9,6,05/04/2013,2nd,8,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,run out,7,3,233.33,,85,82,17.00,103.66
10,7,07/04/2013,1st,8,Punjab Kings,Maharashtra Cricket Association Stadium,b R J Harris,15,8,187.50,,100,90,16.67,111.11
11,,11/04/2013,2nd,-,Rajasthan Royals,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,100,90,16.67,111.11
12,8,13/04/2013,2nd,7,Mumbai Indians,Wankhede Stadium,c S Dhawan b M G Johnson,38,26,146.15,,138,116,19.71,118.97
13,9,15/04/2013,1st,5,Chennai Super Kings,MA Chidambaram Stadium,c J A Morkel b D J J Bravo,2,4,50.00,,140,120,17.50,116.67
14,10,17/04/2013,2nd,6,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,c A Ashish Reddy b D W Steyn,14,13,107.69,,154,133,17.11,115.79
15,11,23/04/2013,2nd,6,Royal Challengers Bengaluru,M Chinnaswamy Stadium,b R Vinay Kumar,25,23,108.70,,179,156,17.90,114.74
16,12,05/05/2013,1st,4,Rajasthan Royals,Sawai Mansingh Stadium,not out,35*,21,166.67,,214,177,21.40,120.90
17,13,09/05/2013,2nd,6,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,c M K Tiwary b R Bhatia,5,8,62.50,,219,185,19.91,118.38
