Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,08/04/2013,2nd,10,Rajasthan Royals,Sawai Mansingh Stadium,c A M Rahane b K  Cooper,5,10,50.00,,5,10,5.00,50.00
2,,28/04/2013,2nd,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,5,10,5.00,50.00
3,,19/05/2013,1st,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,5,10,5.00,50.00
4,,17/04/2014,1st,-,Royal Challengers Bengaluru,Sharjah Cricket Stadium,did not bat,-,-,-,,5,10,5.00,50.00
5,,19/04/2014,2nd,-,Kolkata Knight Riders,Dubai International Cricket Stadium,did not bat,-,-,-,,5,10,5.00,50.00
6,2,21/04/2014,2nd,9,Chennai Super Kings,Sheikh Zayed Stadium,c B B McCullum b R Ashwin,1,3,33.33,,6,13,3.00,46.15
7,,25/04/2014,2nd,-,Sunrisers Hyderabad,Dubai International Cricket Stadium,did not bat,-,-,-,,6,13,3.00,46.15
8,,27/04/2014,2nd,-,Mumbai Indians,Sharjah Cricket Stadium,did not bat,-,-,-,,6,13,3.00,46.15
9,,03/05/2014,1st,-,Rajasthan Royals,Arun Jaitley Stadium,did not bat,-,-,-,,6,13,3.00,46.15
10,,05/05/2014,1st,-,Chennai Super Kings,Arun Jaitley Stadium,did not bat,-,-,-,,6,13,3.00,46.15
11,,07/05/2014,1st,-,Kolkata Knight Riders,Arun Jaitley Stadium,did not bat,-,-,-,,6,13,3.00,46.15
12,,10/05/2014,1st,-,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bat,-,-,-,,6,13,3.00,46.15
13,3,13/05/2014,2nd,9,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,1*,1,100.00,,7,14,3.50,50.00
14,4,19/05/2014,1st,9,Punjab Kings,Arun Jaitley Stadium,not out,1*,2,50.00,,8,16,4.00,50.00
15,5,25/05/2014,1st,9,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,b A R Patel,0,1,0.00,,8,17,2.67,47.06
16,,17/04/2016,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,8,17,2.67,47.06
17,,23/04/2016,1st,-,Mumbai Indians,Arun Jaitley Stadium,did not bat,-,-,-,,8,17,2.67,47.06
18,6,30/04/2016,1st,9,Kolkata Knight Riders,Arun Jaitley Stadium,not out,0*,1,0.00,,8,18,2.67,44.44
19,,03/05/2016,2nd,-,Gujarat Lions,Saurashtra Cricket Association Stadium,did not bat,-,-,-,,8,18,2.67,44.44
20,7,05/05/2016,1st,9,Rising Pune Supergiant,Arun Jaitley Stadium,not out,2*,3,66.67,,10,21,3.33,47.62
21,,07/05/2016,2nd,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,10,21,3.33,47.62
22,,12/05/2016,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,10,21,3.33,47.62
23,,17/05/2016,1st,-,Rising Pune Supergiant,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-,-,,10,21,3.33,47.62
24,8,17/04/2017,1st,9,Kolkata Knight Riders,Arun Jaitley Stadium,not out,0*,1,0.00,,10,22,3.33,45.45
25,9,30/04/2017,1st,10,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,c Sandeep Sharma b V R Aaron,2,4,50.00,,12,26,3.00,46.15
26,,02/05/2017,2nd,-,Sunrisers Hyderabad,Arun Jaitley Stadium,did not bat,-,-,-,,12,26,3.00,46.15
27,,04/05/2017,2nd,-,Gujarat Lions,Arun Jaitley Stadium,did not bat,-,-,-,,12,26,3.00,46.15
28,10,06/05/2017,2nd,10,Mumbai Indians,Barabati Stadium,c K A Pollard b Harbhajan Singh,7,4,175.00,,19,30,3.80,63.33
29,11,10/05/2017,2nd,9,Gujarat Lions,Green Park,not out,4*,2,200.00,,23,32,4.60,71.88
30,12,12/05/2017,1st,9,Rising Pune Supergiant,Arun Jaitley Stadium,c B A Stokes b J D Unadkat,2,4,50.00,,25,36,4.17,69.44
31,13,14/05/2017,2nd,9,Royal Challengers Bengaluru,Arun Jaitley Stadium,st Vishnu Vinod b P Negi,21,9,233.33,,46,45,6.57,102.22
32,,08/04/2018,1st,-,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,46,45,6.57,102.22
33,,11/04/2018,2nd,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,46,45,6.57,102.22
34,,14/04/2018,2nd,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,46,45,6.57,102.22
35,14,16/04/2018,2nd,9,Kolkata Knight Riders,Eden Gardens,c A D Russell b S P Narine,7,6,116.67,,53,51,6.63,103.92
36,,25/03/2019,1st,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,53,51,6.63,103.92
37,,27/03/2019,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,53,51,6.63,103.92
38,,30/03/2019,2nd,-,Mumbai Indians,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,53,51,6.63,103.92
39,15,01/04/2019,1st,10,Delhi Capitals,Punjab Cricket Association IS Bindra Stadium,run out,0,1,0.00,,53,52,5.89,101.92
40,,06/04/2019,2nd,-,Chennai Super Kings,MA Chidambaram Stadium,did not bat,-,-,-,,53,52,5.89,101.92
41,,08/04/2019,2nd,-,Sunrisers Hyderabad,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,53,52,5.89,101.92
42,,10/04/2019,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,53,52,5.89,101.92
43,,13/04/2019,1st,-,Royal Challengers Bengaluru,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,53,52,5.89,101.92
44,16,16/04/2019,1st,8,Rajasthan Royals,Punjab Cricket Association IS Bindra Stadium,not out,0*,1,0.00,,53,53,5.89,100.00
45,,20/04/2019,1st,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,53,53,5.89,100.00
46,,24/04/2019,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,53,53,5.89,100.00
47,17,29/04/2019,2nd,10,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,not out,1*,1,100.00,,54,54,6.00,100.00
48,,03/05/2019,1st,-,Kolkata Knight Riders,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,54,54,6.00,100.00
49,,05/05/2019,2nd,-,Chennai Super Kings,Punjab Cricket Association IS Bindra Stadium,did not bat,-,-,-,,54,54,6.00,100.00
