Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1  (c)(k),1,19/04/2008,1st,4,Punjab Kings,Punjab Cricket Association IS Bindra Stadium,lbw b J R Hopes,2,3,66.67,,2,3,2.00,66.67
2  (c)(k),2,23/04/2008,1st,5,Mumbai Indians,MA Chidambaram Stadium,c D J J Bravo b M  Khote,30,16,187.50,,32,19,16.00,168.42
3  (c)(k),3,26/04/2008,2nd,3,Kolkata Knight Riders,MA Chidambaram Stadium,not out,43*,27,159.26,,75,46,37.50,163.04
4  (c)(k),4,28/04/2008,1st,5,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c sub b Z Khan,65,30,216.67,,140,76,46.67,184.21
5  (c)(k),5,02/05/2008,1st,4,Delhi Capitals,MA Chidambaram Stadium,c Shoaib Malik b Mohammad Asif,32,27,118.52,,172,103,43.00,166.99
6  (c)(k),6,04/05/2008,1st,6,Rajasthan Royals,Sawai Mansingh Stadium,c G C Smith b S K Warne,1,7,14.29,,173,110,34.60,157.27
7  (c)(k),7,06/05/2008,1st,6,Deccan Chargers,MA Chidambaram Stadium,c Shahid Afridi b P P Ojha,23,31,74.19,,196,141,32.67,139.01
8  (c)(k),8,08/05/2008,2nd,3,Delhi Capitals,Arun Jaitley Stadium,c A B de Villiers b V Y  Mahesh,33,33,100.00,,229,174,32.71,131.61
9  (c)(k),9,10/05/2008,1st,5,Punjab Kings,MA Chidambaram Stadium,not out,60*,43,139.53,,289,217,41.29,133.18
10  (c)(k),10,14/05/2008,1st,6,Mumbai Indians,Wankhede Stadium,not out,43*,35,122.86,,332,252,47.43,131.75
11  (c)(k),,18/05/2008,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,332,252,47.43,131.75
12  (c),11,21/05/2008,2nd,3,Royal Challengers Bengaluru,MA Chidambaram Stadium,c A Kumble b R Vinay Kumar,4,8,50.00,,336,260,42.00,129.23
