Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,31/03/2022,1st,-,Lucknow Super Giants,Brabourne Stadium,did not bat,-,-,-,,0,0,,-
2,1,03/04/2022,2nd,11,Punjab Kings,Brabourne Stadium,not out,2*,2,100.00,,2,2,,100.00
3,,09/04/2022,1st,-,Sunrisers Hyderabad,Dr DY Patil Sports Academy,did not bat,-,-,-,,2,2,,100.00
4,,12/04/2022,1st,-,Royal Challengers Bengaluru,Dr DY Patil Sports Academy,did not bat,-,-,-,,2,2,,100.00
5,,17/04/2022,1st,-,Gujarat Titans,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,2,2,,100.00
6,,21/04/2022,2nd,-,Mumbai Indians,Dr DY Patil Sports Academy,did not bat,-,-,-,,2,2,,100.00
7,,25/04/2022,2nd,-,Punjab Kings,Wankhede Stadium,did not bat,-,-,-,,2,2,,100.00
8,,01/05/2022,1st,-,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,2,2,,100.00
9,,04/05/2022,2nd,-,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,2,2,,100.00
10,,08/05/2022,1st,-,Delhi Capitals,Dr DY Patil Sports Academy,did not bat,-,-,-,,2,2,,100.00
11,2,12/05/2022,1st,11,Mumbai Indians,Wankhede Stadium,run out,4,4,100.00,,6,6,6.00,100.00
12,,15/05/2022,1st,-,Gujarat Titans,Wankhede Stadium,did not bat,-,-,-,,6,6,6.00,100.00
13,,20/05/2022,1st,-,Rajasthan Royals,Brabourne Stadium,did not bat,-,-,-,,6,6,6.00,100.00
14,,05/04/2024,1st,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,6,6,6.00,100.00
15,,05/04/2025,2nd,-,Delhi Capitals,MA Chidambaram Stadium,did not bat,-,-,-,,6,6,6.00,100.00
16,,08/04/2025,2nd,-,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bat,-,-,-,,6,6,6.00,100.00
