Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,24/03/2024,2nd,3,Gujarat Titans,Narendra Modi Stadium,lbw b Azmatullah Omarzai,20,10,200.00,,20,10,20.00,200.00
2,2,27/03/2024,2nd,3,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,c P J Cummins b J D Unadkat,30,14,214.29,,50,24,25.00,208.33
3,3,01/04/2024,1st,3,Rajasthan Royals,Wankhede Stadium,lbw b T A Boult,0,1,0.00,,50,25,16.67,200.00
4,4,03/05/2024,2nd,3,Kolkata Knight Riders,Wankhede Stadium,b C V Varun,11,11,100.00,,61,36,15.25,169.44
5,5,06/05/2024,2nd,3,Sunrisers Hyderabad,Wankhede Stadium,c M Jansen b B Kumar,0,9,0.00,,61,45,12.20,135.56
6,6,11/05/2024,2nd,8,Kolkata Knight Riders,Eden Gardens,c Ramandeep Singh b H P Rana,17,6,283.33,,78,51,13.00,152.94
7,7,17/05/2024,2nd,7,Lucknow Super Giants,Wankhede Stadium,not out,62*,28,221.43,,140,79,23.33,177.22
8,8,23/03/2025,1st,7,Chennai Super Kings,MA Chidambaram Stadium,b Noor Ahmad,17,12,141.67,,157,91,22.43,172.53
9,9,29/03/2025,2nd,7,Gujarat Titans,Narendra Modi Stadium,not out,18*,11,163.64,,175,102,25.00,171.57
10,,31/03/2025,2nd,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,175,102,25.00,171.57
11,10,04/04/2025,2nd,3,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,b Digvesh Rathi,46,24,191.67,,221,126,27.63,175.40
12,11,07/04/2025,2nd,7,Royal Challengers Bengaluru,Wankhede Stadium,c Y Dayal b K H Pandya,11,6,183.33,,232,132,25.78,175.76
13,12,13/04/2025,1st,6,Delhi Capitals,Arun Jaitley Stadium,not out,38*,17,223.53,,270,149,30.00,181.21
14,13,17/04/2025,2nd,7,Sunrisers Hyderabad,Wankhede Stadium,lbw b Eshan Malinga,0,3,0.00,,270,152,27.00,177.63
15,,20/04/2025,2nd,-,Chennai Super Kings,Wankhede Stadium,did not bat,-,-,-,,270,152,27.00,177.63
16,,23/04/2025,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,270,152,27.00,177.63
17,14,27/04/2025,1st,7,Lucknow Super Giants,Wankhede Stadium,not out,25*,11,227.27,,295,163,29.50,180.98
18,,01/05/2025,1st,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,295,163,29.50,180.98
19,15,06/05/2025,1st,7,Gujarat Titans,Wankhede Stadium,c Shubman Gill b M Prasidh Krishna,7,10,70.00,,302,173,27.45,174.57
20,16,21/05/2025,1st,7,Delhi Capitals,Wankhede Stadium,not out,24*,8,300.00,,326,181,29.64,180.11
21,17,26/05/2025,1st,7,Punjab Kings,Sawai Mansingh Stadium,c P Arya b Arshdeep Singh,20,12,166.67,,346,193,28.83,179.27
22,18,30/05/2025,1st,6,Gujarat Titans,Maharaja Yadavindra Singh International Cricket St,c Rashid Khan b M Prasidh Krishna,9,6,150.00,,355,199,27.31,178.39
