Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,18/05/2023,1st,-,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,did not bat,-,-,-,,0,0,,-
2,,21/05/2023,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
3,1,05/04/2024,2nd,6,Chennai Super Kings,Rajiv Gandhi International Stadium,not out,14*,8,175.00,,14,8,,175.00
4,2,09/04/2024,1st,4,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,c K Rabada b Arshdeep Singh,64,37,172.97,,78,45,78.00,173.33
5,,15/04/2024,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,78,45,78.00,173.33
6,3,20/04/2024,1st,5,Delhi Capitals,Arun Jaitley Stadium,c D A Warner b Kuldeep Yadav,37,27,137.04,,115,72,57.50,159.72
7,4,25/04/2024,2nd,4,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium,b K V Sharma,13,13,100.00,,128,85,42.67,150.59
8,5,28/04/2024,2nd,5,Chennai Super Kings,MA Chidambaram Stadium,c †M S Dhoni b R A Jadeja,15,15,100.00,,143,100,35.75,143.00
9,6,02/05/2024,1st,4,Rajasthan Royals,Rajiv Gandhi International Stadium,not out,76*,42,180.95,,219,142,54.75,154.23
10,7,06/05/2024,1st,4,Mumbai Indians,Wankhede Stadium,c Anshul Kamboj b H H Pandya,20,15,133.33,,239,157,47.80,152.23
11,,08/05/2024,2nd,-,Lucknow Super Giants,Rajiv Gandhi International Stadium,did not bat,-,-,-,,239,157,47.80,152.23
12,8,19/05/2024,2nd,4,Punjab Kings,Rajiv Gandhi International Stadium,c Shivam Singh b H V Patel,37,25,148.00,,276,182,46.00,151.65
13,9,21/05/2024,1st,4,Kolkata Knight Riders,Narendra Modi Stadium,c †Rahmanullah Gurbaz b M A Starc,9,10,90.00,,285,192,40.71,148.44
14,10,24/05/2024,1st,6,Rajasthan Royals,MA Chidambaram Stadium,c Y S Chahal b Avesh Khan,5,10,50.00,,290,202,36.25,143.56
15,11,26/05/2024,1st,5,Kolkata Knight Riders,MA Chidambaram Stadium,c †Rahmanullah Gurbaz b H P Rana,13,10,130.00,,303,212,33.67,142.92
16,12,23/03/2025,1st,4,Rajasthan Royals,Rajiv Gandhi International Stadium,c Y B K Jaiswal b M M Theekshana,30,15,200.00,,333,227,33.30,146.70
17,13,27/03/2025,1st,4,Lucknow Super Giants,Rajiv Gandhi International Stadium,b Ravi Bishnoi,32,28,114.29,,365,255,33.18,143.14
18,14,30/03/2025,1st,4,Delhi Capitals,Dr YS Rajasekhara Reddy Cricket Stadium,c A R Patel b M A Starc,0,2,0.00,,365,257,30.42,142.02
19,15,03/04/2025,2nd,4,Kolkata Knight Riders,Eden Gardens,c S P Narine b A D Russell,19,15,126.67,,384,272,29.54,141.18
20,16,06/04/2025,1st,4,Gujarat Titans,Rajiv Gandhi International Stadium,c Rashid Khan b R S Kishore,31,34,91.18,,415,306,29.64,135.62
21,,12/04/2025,2nd,-,Punjab Kings,Rajiv Gandhi International Stadium,did not bat,-,-,-,,415,306,29.64,135.62
22,17,17/04/2025,1st,4,Mumbai Indians,Wankhede Stadium,c Tilak Varma b T A Boult,19,21,90.48,,434,327,28.93,132.72
23,18,23/04/2025,1st,4,Mumbai Indians,Rajiv Gandhi International Stadium,c M J Santner b D L Chahar,2,6,33.33,,436,333,27.25,130.93
