Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,16/04/2023,1st,-,Rajasthan Royals,Narendra Modi Stadium,did not bat,-,-,-,,0,0,,-
2,,22/04/2023,1st,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,0,0,,-
3,,25/04/2023,1st,-,Mumbai Indians,Narendra Modi Stadium,did not bat,-,-,-,,0,0,,-
4,,29/04/2023,2nd,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,0,0,,-
5,,02/05/2023,2nd,-,Delhi Capitals,Narendra Modi Stadium,did not bat,-,-,-,,0,0,,-
6,,05/05/2023,2nd,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,0,0,,-
7,,07/05/2023,1st,-,Lucknow Super Giants,Narendra Modi Stadium,did not bat,-,-,-,,0,0,,-
8,1,12/05/2023,2nd,9,Mumbai Indians,Wankhede Stadium,b Kumar Kartikeya,1,3,33.33,,1,3,1.00,33.33
9,2,15/05/2023,1st,9,Sunrisers Hyderabad,Narendra Modi Stadium,run out,0,1,0.00,,1,4,0.50,25.00
10,,21/05/2023,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,1,4,0.50,25.00
11,3,23/05/2023,2nd,10,Chennai Super Kings,MA Chidambaram Stadium,not out,7*,5,140.00,,8,9,4.00,88.89
12,,26/05/2023,1st,-,Mumbai Indians,Narendra Modi Stadium,did not bat,-,-,-,,8,9,4.00,88.89
13,,29/05/2023,1st,-,Chennai Super Kings,Narendra Modi Stadium,did not bat,-,-,-,,8,9,4.00,88.89
14,,31/03/2024,2nd,-,Sunrisers Hyderabad,Narendra Modi Stadium,did not bat,-,-,-,,8,9,4.00,88.89
15,,04/04/2024,1st,-,Punjab Kings,Narendra Modi Stadium,did not bat,-,-,-,,8,9,4.00,88.89
16,4,07/04/2024,2nd,11,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,c Q de Kock b Y Thakur,4,2,200.00,,12,11,4.00,109.09
17,5,10/04/2024,2nd,9,Rajasthan Royals,Sawai Mansingh Stadium,not out,0*,0,-,,12,11,4.00,109.09
18,6,17/04/2024,1st,10,Delhi Capitals,Narendra Modi Stadium,b M Kumar,1,7,14.29,,13,18,3.25,72.22
19,,21/04/2024,2nd,-,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bat,-,-,-,,13,18,3.25,72.22
20,,24/04/2024,2nd,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,13,18,3.25,72.22
21,,28/04/2024,1st,-,Royal Challengers Bengaluru,Narendra Modi Stadium,did not bat,-,-,-,,13,18,3.25,72.22
22,7,04/05/2024,1st,11,Royal Challengers Bengaluru,M Chinnaswamy Stadium,not out,0*,0,-,,13,18,3.25,72.22
23,,10/05/2024,1st,-,Chennai Super Kings,Narendra Modi Stadium,did not bat,-,-,-,,13,18,3.25,72.22
24,,23/03/2025,2nd,-,Mumbai Indians,MA Chidambaram Stadium,did not bat,-,-,-,,13,18,3.25,72.22
25,8,28/03/2025,2nd,10,Royal Challengers Bengaluru,MA Chidambaram Stadium,not out,0*,2,0.00,,13,20,3.25,65.00
26,,30/03/2025,2nd,-,Rajasthan Royals,Barsapara Cricket Stadium,did not bat,-,-,-,,13,20,3.25,65.00
27,,05/04/2025,2nd,-,Delhi Capitals,MA Chidambaram Stadium,did not bat,-,-,-,,13,20,3.25,65.00
28,,08/04/2025,2nd,-,Punjab Kings,Maharaja Yadavindra Singh International Cricket St,did not bat,-,-,-,,13,20,3.25,65.00
29,9,11/04/2025,1st,10,Kolkata Knight Riders,MA Chidambaram Stadium,c C V Varun b V G Arora,1,8,12.50,,14,28,2.80,50.00
30,,14/04/2025,2nd,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,14,28,2.80,50.00
31,,20/04/2025,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,14,28,2.80,50.00
