Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,20/05/2014,2nd,-,Chennai Super Kings,Eden Gardens,did not bat,-,-,-,,0,0,,-
2,1,28/04/2015,2nd,8,Chennai Super Kings,MA Chidambaram Stadium,c R A Jadeja b D J J Bravo,0,2,0.00,,0,2,0.00,0.00
3,,30/04/2015,2nd,-,Chennai Super Kings,Eden Gardens,did not bat,-,-,-,,0,2,0.00,0.00
4,,02/05/2015,1st,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,0,2,0.00,0.00
5,2,08/04/2017,2nd,8,Royal Challengers Bengaluru,M Chinnaswamy Stadium,b S R Watson,6,6,100.00,,6,8,3.00,75.00
6,,11/04/2017,1st,-,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,6,8,3.00,75.00
7,3,15/04/2017,1st,8,Punjab Kings,Arun Jaitley Stadium,not out,12*,6,200.00,,18,14,9.00,128.57
8,4,17/04/2017,1st,8,Kolkata Knight Riders,Arun Jaitley Stadium,not out,3*,4,75.00,,21,18,10.50,116.67
9,,19/04/2017,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,21,18,10.50,116.67
10,5,22/04/2017,2nd,9,Mumbai Indians,Wankhede Stadium,not out,4*,5,80.00,,25,23,12.50,108.70
11,6,28/04/2017,1st,8,Kolkata Knight Riders,Eden Gardens,not out,0*,0,-,,25,23,12.50,108.70
12,,04/05/2017,2nd,-,Gujarat Lions,Arun Jaitley Stadium,did not bat,-,-,-,,25,23,12.50,108.70
13,7,06/05/2017,2nd,7,Mumbai Indians,Barabati Stadium,c †P A Patel b Harbhajan Singh,10,10,100.00,,35,33,11.67,106.06
14,8,10/05/2017,2nd,8,Gujarat Lions,Green Park,c D R Smith b J P Faulkner,24,13,184.62,,59,46,14.75,128.26
15,9,12/05/2017,1st,7,Rising Pune Supergiant,Arun Jaitley Stadium,b B A Stokes,11,6,183.33,,70,52,14.00,134.62
16,10,14/05/2017,2nd,7,Royal Challengers Bengaluru,Arun Jaitley Stadium,c V Kohli b T M Head,7,3,233.33,,77,55,12.83,140.00
17,11,23/09/2020,2nd,8,Mumbai Indians,Sheikh Zayed Stadium,c H H Pandya b J L Pattinson,33,12,275.00,,110,67,15.71,164.18
18,,26/09/2020,2nd,-,Sunrisers Hyderabad,Sheikh Zayed Stadium,did not bat,-,-,-,,110,67,15.71,164.18
19,12,30/09/2020,1st,7,Rajasthan Royals,Dubai International Cricket Stadium,c S V Samson b T K Curran,12,10,120.00,,122,77,15.25,158.44
20,13,03/10/2020,2nd,7,Delhi Capitals,Sharjah Cricket Stadium,c H V Patel b A Nortje,5,4,125.00,,127,81,14.11,156.79
21,14,07/10/2020,1st,8,Chennai Super Kings,Sheikh Zayed Stadium,not out,17*,9,188.89,,144,90,16.00,160.00
22,15,10/10/2020,1st,7,Punjab Kings,Sheikh Zayed Stadium,not out,5*,4,125.00,,149,94,16.56,158.51
