Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,,06/05/2018,2nd,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,0,0,,-
2,1,09/05/2018,2nd,11,Mumbai Indians,Eden Gardens,not out,1*,5,20.00,,1,5,,20.00
3,,12/05/2018,1st,-,Punjab Kings,Holkar Cricket Stadium,did not bat,-,-,-,,1,5,,20.00
4,,15/05/2018,2nd,-,Rajasthan Royals,Eden Gardens,did not bat,-,-,-,,1,5,,20.00
5,,19/05/2018,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,1,5,,20.00
6,,23/05/2018,1st,-,Rajasthan Royals,Eden Gardens,did not bat,-,-,-,,1,5,,20.00
7,2,25/05/2018,2nd,11,Sunrisers Hyderabad,Eden Gardens,not out,0*,0,-,,1,5,,20.00
8,,24/03/2019,2nd,-,Sunrisers Hyderabad,Eden Gardens,did not bat,-,-,-,,1,5,,20.00
9,,27/03/2019,1st,-,Punjab Kings,Eden Gardens,did not bat,-,-,-,,1,5,,20.00
10,,30/03/2019,1st,-,Delhi Capitals,Arun Jaitley Stadium,did not bat,-,-,-,,1,5,,20.00
11,,05/04/2019,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,1,5,,20.00
12,,07/04/2019,2nd,-,Rajasthan Royals,Sawai Mansingh Stadium,did not bat,-,-,-,,1,5,,20.00
13,3,09/04/2019,1st,10,Chennai Super Kings,MA Chidambaram Stadium,c Harbhajan Singh b R A Jadeja,0,2,0.00,,1,7,1.00,14.29
14,,12/04/2019,1st,-,Delhi Capitals,Eden Gardens,did not bat,-,-,-,,1,7,1.00,14.29
15,,14/04/2019,1st,-,Chennai Super Kings,Eden Gardens,did not bat,-,-,-,,1,7,1.00,14.29
16,,19/04/2019,2nd,-,Royal Challengers Bengaluru,Eden Gardens,did not bat,-,-,-,,1,7,1.00,14.29
17,,25/04/2019,1st,-,Rajasthan Royals,Eden Gardens,did not bat,-,-,-,,1,7,1.00,14.29
18,,05/05/2019,1st,-,Mumbai Indians,Wankhede Stadium,did not bat,-,-,-,,1,7,1.00,14.29
19,,10/10/2020,1st,-,Punjab Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,1,7,1.00,14.29
20,4,12/10/2020,2nd,11,Royal Challengers Bengaluru,Sharjah Cricket Stadium,not out,2*,3,66.67,,3,10,3.00,30.00
21,,16/10/2020,1st,-,Mumbai Indians,Sheikh Zayed Stadium,did not bat,-,-,-,,3,10,3.00,30.00
22,,21/10/2020,1st,-,Royal Challengers Bengaluru,Sheikh Zayed Stadium,did not bat,-,-,-,,3,10,3.00,30.00
23,,24/10/2020,1st,-,Delhi Capitals,Sheikh Zayed Stadium,did not bat,-,-,-,,3,10,3.00,30.00
24,5,26/10/2020,1st,11,Punjab Kings,Sharjah Cricket Stadium,not out,0*,1,0.00,,3,11,3.00,27.27
25,,11/04/2021,1st,-,Sunrisers Hyderabad,MA Chidambaram Stadium,did not bat,-,-,-,,3,11,3.00,27.27
26,,13/04/2021,2nd,-,Mumbai Indians,MA Chidambaram Stadium,did not bat,-,-,-,,3,11,3.00,27.27
27,,18/04/2021,2nd,-,Royal Challengers Bengaluru,MA Chidambaram Stadium,did not bat,-,-,-,,3,11,3.00,27.27
28,6,21/04/2021,2nd,11,Chennai Super Kings,Wankhede Stadium,run out,0,1,0.00,,3,12,1.50,25.00
29,7,24/04/2021,1st,10,Rajasthan Royals,Wankhede Stadium,not out,0*,0,-,,3,12,1.50,25.00
30,,26/04/2021,2nd,-,Punjab Kings,Narendra Modi Stadium,did not bat,-,-,-,,3,12,1.50,25.00
31,,29/04/2021,1st,-,Delhi Capitals,Narendra Modi Stadium,did not bat,-,-,-,,3,12,1.50,25.00
32,,20/09/2021,2nd,-,Royal Challengers Bengaluru,Sheikh Zayed Stadium,did not bat,-,-,-,,3,12,1.50,25.00
33,,23/09/2021,2nd,-,Mumbai Indians,Sheikh Zayed Stadium,did not bat,-,-,-,,3,12,1.50,25.00
34,,26/09/2021,1st,-,Chennai Super Kings,Sheikh Zayed Stadium,did not bat,-,-,-,,3,12,1.50,25.00
35,,29/03/2022,1st,-,Sunrisers Hyderabad,Maharashtra Cricket Association Stadium,did not bat,-,-,-,,3,12,1.50,25.00
36,,02/04/2022,1st,-,Mumbai Indians,Dr DY Patil Sports Academy,did not bat,-,-,-,,3,12,1.50,25.00
37,,05/04/2022,1st,-,Royal Challengers Bengaluru,Wankhede Stadium,did not bat,-,-,-,,3,12,1.50,25.00
38,,10/04/2022,1st,-,Lucknow Super Giants,Wankhede Stadium,did not bat,-,-,-,,3,12,1.50,25.00
39,8,14/04/2022,2nd,9,Gujarat Titans,Dr DY Patil Sports Academy,not out,4*,7,57.14,,7,19,3.50,36.84
40,,18/04/2022,1st,-,Kolkata Knight Riders,Brabourne Stadium,did not bat,-,-,-,,7,19,3.50,36.84
41,,22/04/2022,1st,-,Delhi Capitals,Wankhede Stadium,did not bat,-,-,-,,7,19,3.50,36.84
42,9,26/04/2022,1st,9,Royal Challengers Bengaluru,Maharashtra Cricket Association Stadium,run out,2,5,40.00,,9,24,3.00,37.50
43,,30/04/2022,1st,-,Mumbai Indians,Dr DY Patil Sports Academy,did not bat,-,-,-,,9,24,3.00,37.50
44,,02/05/2022,1st,-,Kolkata Knight Riders,Wankhede Stadium,did not bat,-,-,-,,9,24,3.00,37.50
45,,07/05/2022,2nd,-,Punjab Kings,Wankhede Stadium,did not bat,-,-,-,,9,24,3.00,37.50
46,,11/05/2022,1st,-,Delhi Capitals,Dr DY Patil Sports Academy,did not bat,-,-,-,,9,24,3.00,37.50
47,,15/05/2022,1st,-,Lucknow Super Giants,Brabourne Stadium,did not bat,-,-,-,,9,24,3.00,37.50
48,,20/05/2022,2nd,-,Chennai Super Kings,Brabourne Stadium,did not bat,-,-,-,,9,24,3.00,37.50
49,,24/05/2022,1st,-,Gujarat Titans,Eden Gardens,did not bat,-,-,-,,9,24,3.00,37.50
50,,27/05/2022,2nd,-,Royal Challengers Bengaluru,Narendra Modi Stadium,did not bat,-,-,-,,9,24,3.00,37.50
51,10,29/05/2022,1st,10,Gujarat Titans,Narendra Modi Stadium,not out,0*,0,-,,9,24,3.00,37.50
52,,25/03/2025,2nd,-,Punjab Kings,Narendra Modi Stadium,did not bat,-,-,-,,9,24,3.00,37.50
53,,29/03/2025,1st,-,Mumbai Indians,Narendra Modi Stadium,did not bat,-,-,-,,9,24,3.00,37.50
54,,02/04/2025,2nd,-,Royal Challengers Bengaluru,M Chinnaswamy Stadium,did not bat,-,-,-,,9,24,3.00,37.50
55,,06/04/2025,2nd,-,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,did not bat,-,-,-,,9,24,3.00,37.50
56,,09/04/2025,1st,-,Rajasthan Royals,Narendra Modi Stadium,did not bat,-,-,-,,9,24,3.00,37.50
57,,12/04/2025,1st,-,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,did not bat,-,-,-,,9,24,3.00,37.50
58,,19/04/2025,2nd,-,Delhi Capitals,Narendra Modi Stadium,did not bat,-,-,-,,9,24,3.00,37.50
59,,21/04/2025,1st,-,Kolkata Knight Riders,Eden Gardens,did not bat,-,-,-,,9,24,3.00,37.50
