Match,Innings,Date,M/Inns,Posn,Versus,Ground,How Dismissed,Runs,B/F,S/R,,Runs,B/F,Avg,S/R
1,1,17/04/2013,1st,2,Pune Warriors,Maharashtra Cricket Association Stadium,c M R Marsh b A B Dinda,2,8,25.00,,2,8,2.00,25.00
2  (k),2,19/04/2013,2nd,1,Punjab Kings,Rajiv Gandhi International Stadium,b P Kumar,0,4,0.00,,2,12,1.00,16.67
3  (k),3,25/04/2013,1st,1,Chennai Super Kings,MA Chidambaram Stadium,c M Vijay b M M Sharma,4,3,133.33,,6,15,2.00,40.00
4,4,25/04/2014,2nd,1,Sunrisers Hyderabad,Dubai International Cricket Stadium,c A J Finch b K V Sharma,48,30,160.00,,54,45,13.50,120.00
5,5,27/04/2014,2nd,1,Mumbai Indians,Sharjah Cricket Stadium,c M E K Hussey b C J Anderson,16,24,66.67,,70,69,14.00,101.45
6,6,03/05/2014,1st,1,Rajasthan Royals,Arun Jaitley Stadium,c & b P V Tambe,42,33,127.27,,112,102,18.67,109.80
7,7,05/05/2014,1st,1,Chennai Super Kings,Arun Jaitley Stadium,run out,24,16,150.00,,136,118,19.43,115.25
8,8,07/05/2014,1st,1,Kolkata Knight Riders,Arun Jaitley Stadium,c G Gambhir b U T Yadav,10,9,111.11,,146,127,18.25,114.96
9,9,10/05/2014,1st,1,Sunrisers Hyderabad,Arun Jaitley Stadium,c K L Rahul b D W Steyn,7,12,58.33,,153,139,17.00,110.07
10  (k),10,13/05/2014,2nd,1,Royal Challengers Bengaluru,M Chinnaswamy Stadium,b M A Starc,6,6,100.00,,159,145,15.90,109.66
11  (k),11,09/05/2015,2nd,1,Sunrisers Hyderabad,Shaheed Veer Narayan Sing International Stadium,st N V Ojha b K V Sharma,50,31,161.29,,209,176,19.00,118.75
12  (k),12,12/05/2015,2nd,1,Chennai Super Kings,Shaheed Veer Narayan Sing International Stadium,c R Ashwin b I C Pandey,3,7,42.86,,212,183,17.67,115.85
13  (k),13,17/05/2015,1st,1,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c V Kohli b Y S Chahal,69,39,176.92,,281,222,21.62,126.58
14  (k),14,10/04/2016,1st,2,Kolkata Knight Riders,Eden Gardens,c Y K Pathan b A D Russell,17,10,170.00,,298,232,21.29,128.45
15  (k),15,15/04/2016,2nd,1,Punjab Kings,Arun Jaitley Stadium,not out,59*,42,140.48,,357,274,25.50,130.29
16  (k),16,17/04/2016,2nd,1,Royal Challengers Bengaluru,M Chinnaswamy Stadium,c †K M Jadhav b S R Watson,108,51,211.76,,465,325,31.00,143.08
17  (k),17,23/04/2016,1st,1,Mumbai Indians,Arun Jaitley Stadium,c H H Pandya b M J McClenaghan,9,7,128.57,,474,332,29.63,142.77
18  (k),18,27/04/2016,2nd,1,Gujarat Lions,Arun Jaitley Stadium,c S K Raina b D S Kulkarni,5,11,45.45,,479,343,28.18,139.65
19  (k),19,30/04/2016,1st,1,Kolkata Knight Riders,Arun Jaitley Stadium,c G B Hogg b A D Russell,1,3,33.33,,480,346,26.67,138.73
20  (k),20,03/05/2016,2nd,1,Gujarat Lions,Saurashtra Cricket Association Stadium,c D R Smith b S  Kaushik,46,45,102.22,,526,391,27.68,134.53
